stage,model_or_target,metric,value,source,caveat
PR #14,pilot_2000_positive_weight_20,overall_average_precision,0.8786580381970212,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/pilot_2000_weight_sweep/ieee118_paper_gcn_weight_sweep_summary.csv,paper-aligned pilot; not paper-8000
PR #14,pilot_2000_positive_weight_20,overall_f1,0.6104054412154403,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/pilot_2000_weight_sweep/ieee118_paper_gcn_weight_sweep_summary.csv,paper-aligned pilot; not paper-8000
PR #14,pilot_2000_positive_weight_20,S0_average_precision,0.5138462200376092,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/pilot_2000_weight_sweep/ieee118_paper_gcn_weight_sweep_summary.csv,paper-aligned pilot; not paper-8000
PR #14,pilot_2000_positive_weight_20,S1_average_precision,0.8809111030786823,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/pilot_2000_weight_sweep/ieee118_paper_gcn_weight_sweep_summary.csv,paper-aligned pilot; not paper-8000
PR #18,critical_count_top10,positive_ratio,0.1067761806981519,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,critical_count_top10,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,critical_count_top20,positive_ratio,0.2067077344284736,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,critical_count_top20,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,critical_count_top30,positive_ratio,0.3066392881587953,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,critical_count_top30,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,relay_count_top10,positive_ratio,0.1067761806981519,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,relay_count_top10,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,relay_count_top20,positive_ratio,0.2067077344284736,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,relay_count_top20,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
PR #18,relay_count_top30,positive_ratio,0.3066392881587953,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,strict first-line target diagnostic/refinement
PR #18,relay_count_top30,degenerate,False,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_targets/ieee118_strict_fragility_target_summary.csv,should be false for trainable strict targets
