metric,value,source,interpretation
suppressed_critical_union,313,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Critical paths suppressed by strict p_first gating.
class_A,180,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Diagnostic class A from PR #15.
class_B,203,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Diagnostic class B from PR #15.
K1000_second_only_only_critical_hits,500,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Hits found by second_only but not strict path_prob.
K1000_path_prob_only_critical_hits,199,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Hits found by strict path_prob but not second_only.
second_only_only_mean_p_first,0.027451,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Low first-step probability suppresses many useful paths.
second_only_only_mean_p_second,0.992166,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Second-step model is highly confident on those suppressed hits.
path_prob_only_mean_p_first,0.570718,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Strict path_prob favors higher p_first paths.
valid_N2_paths_with_first_step_positive_S0_label,0 / 32560,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Early-stop valid paths remove direct first-step shed lines.
relay_cascade_suppressed_ratio,0.189897,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Suppression is more pronounced for relay cascade than island-only.
island_only_suppressed_ratio,0.009009,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/s0_bottleneck_diagnostics/s0_first_probability_bottleneck_diagnostics.json,Island-only suppression is much smaller.
