method,category,K,critical_hits,relay_hits,precision,recall_critical,relative_to_random,relative_to_lodf,relative_to_pfw,relative_to_strict_path_prob,relative_to_second_only,caveat,source
line_order,baseline,100,6.0,6.0,0.06,0.0034207525655644,-0.5999999999999996,-4.0,0.0,-51.0,-88.0,deterministic weak baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
random,baseline,100,6.6,6.3,0.066,0.0037628278221208,0.0,-3.4000000000000004,0.5999999999999996,-50.4,-87.4,stochastic baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
second_only,diagnostic_ablation,100,94.0,88.0,0.94,0.0535917901938426,87.4,84.0,88.0,37.0,0.0,strong ablation; not original main method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
any_critical_fragility_path_prob,diagnostic_failed_label,100,87.0,86.0,0.87,0.0496009122006841,80.4,77.0,81.0,30.0,-7.0,any-critical label is all-positive,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
strict_path_prob,paper_aligned_pilot,100,57.0,51.0,0.57,0.032497149372862,50.4,47.0,51.0,0.0,-37.0,original paper-style path probability on pilot-2000,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
LODF_yP,physics_baseline,100,10.0,10.0,0.1,0.0057012542759407,3.4000000000000004,0.0,4.0,-47.0,-84.0,physical LODF_yP baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
PFW,physics_baseline,100,6.0,3.0,0.06,0.0034207525655644,-0.5999999999999996,-4.0,0.0,-51.0,-88.0,power-flow-weighted baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_alpha_path_prob,ranking_improvement,100,94.0,88.0,0.94,0.0535917901938426,87.4,84.0,88.0,37.0,0.0,calibrated ranking; not original paper method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_strict_fragility_path_prob,strict_fragility_refinement,100,95.0,89.0,0.95,0.0541619156214367,88.4,85.0,89.0,38.0,1.0,"slight low-budget gains, not decisive breakthrough",artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
line_order,baseline,500,24.0,24.0,0.048,0.0136830102622576,-3.6000000000000014,-9.0,-12.0,-179.0,-445.0,deterministic weak baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
random,baseline,500,27.6,26.6,0.0552,0.0157354618015963,0.0,-5.399999999999999,-8.399999999999999,-175.4,-441.4,stochastic baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
second_only,diagnostic_ablation,500,469.0,461.0,0.938,0.2673888255416191,441.4,436.0,433.0,266.0,0.0,strong ablation; not original main method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
any_critical_fragility_path_prob,diagnostic_failed_label,500,372.0,364.0,0.744,0.2120866590649943,344.4,339.0,336.0,169.0,-97.0,any-critical label is all-positive,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
strict_path_prob,paper_aligned_pilot,500,203.0,190.0,0.406,0.1157354618015963,175.4,170.0,167.0,0.0,-266.0,original paper-style path probability on pilot-2000,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
LODF_yP,physics_baseline,500,33.0,26.0,0.066,0.0188141391106043,5.399999999999999,0.0,-3.0,-170.0,-436.0,physical LODF_yP baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
PFW,physics_baseline,500,36.0,15.0,0.072,0.0205245153933865,8.399999999999999,3.0,0.0,-167.0,-433.0,power-flow-weighted baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_alpha_path_prob,ranking_improvement,500,469.0,461.0,0.938,0.2673888255416191,441.4,436.0,433.0,266.0,0.0,calibrated ranking; not original paper method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_strict_fragility_path_prob,strict_fragility_refinement,500,469.0,461.0,0.938,0.2673888255416191,441.4,436.0,433.0,266.0,0.0,"slight low-budget gains, not decisive breakthrough",artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
line_order,baseline,1000,56.0,56.0,0.056,0.0319270239452679,0.6000000000000014,-2.0,-10.0,-304.0,-605.0,deterministic weak baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
random,baseline,1000,55.4,52.7,0.0553999999999999,0.0315849486887115,0.0,-2.6000000000000014,-10.6,-304.6,-605.6,stochastic baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
second_only,diagnostic_ablation,1000,661.0,645.0,0.661,0.3768529076396807,605.6,603.0,595.0,301.0,0.0,strong ablation; not original main method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
any_critical_fragility_path_prob,diagnostic_failed_label,1000,673.0,656.0,0.673,0.3836944127708095,617.6,615.0,607.0,313.0,12.0,any-critical label is all-positive,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
Algorithm1,original_method_completion,1000,62.0,,0.062,0.03534777651083238,2.0,4.0,-4.0,-327.0,-629.0,completed original Algorithm 1; weak in current pilot,manual_checked_value
strict_path_prob,paper_aligned_pilot,1000,360.0,341.0,0.36,0.2052451539338654,304.6,302.0,294.0,0.0,-301.0,original paper-style path probability on pilot-2000,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
LODF_yP,physics_baseline,1000,58.0,49.0,0.058,0.0330672748004561,2.6000000000000014,0.0,-8.0,-302.0,-603.0,physical LODF_yP baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
PFW,physics_baseline,1000,66.0,41.0,0.066,0.0376282782212086,10.6,8.0,0.0,-294.0,-595.0,power-flow-weighted baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_alpha_path_prob,ranking_improvement,1000,661.0,645.0,0.661,0.3768529076396807,605.6,603.0,595.0,301.0,0.0,calibrated ranking; not original paper method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
