line_label,as_first_critical_count,as_first_total_count,as_first_critical_frequency,as_second_critical_count,as_second_total_count,as_second_critical_frequency,total_critical_count
L020,133,185,0.7189189189189189,9,51,0.17647058823529413,142
L015,131,185,0.7081081081081081,10,51,0.19607843137254902,141
L018,138,185,0.745945945945946,0,51,0.0,138
L014,135,185,0.7297297297297297,0,51,0.0,135
L045,128,185,0.6918918918918919,0,51,0.0,128
L019,124,185,0.6702702702702703,0,51,0.0,124
L046,124,185,0.6702702702702703,0,51,0.0,124
L001,122,185,0.6594594594594595,1,51,0.0196078431372549,123
L013,56,185,0.3027027027027027,47,51,0.9215686274509803,103
L034,50,185,0.2702702702702703,48,51,0.9411764705882353,98
L033,49,185,0.2648648648648649,46,51,0.9019607843137255,95
L016,48,185,0.2594594594594595,46,51,0.9019607843137255,94
L047,45,185,0.24324324324324326,49,51,0.9607843137254902,94
L017,46,185,0.24864864864864866,45,51,0.8823529411764706,91
L006,54,185,0.2918918918918919,33,51,0.6470588235294118,87
L029,40,185,0.21621621621621623,47,51,0.9215686274509803,87
L011,41,185,0.22162162162162163,45,51,0.8823529411764706,86
L010,38,185,0.20540540540540542,46,51,0.9019607843137255,84
L028,36,185,0.1945945945945946,46,51,0.9019607843137255,82
L008,41,185,0.22162162162162163,40,51,0.7843137254901961,81
L027,37,185,0.2,43,51,0.8431372549019608,80
L003,43,185,0.23243243243243245,36,51,0.7058823529411765,79
L023,41,185,0.22162162162162163,38,51,0.7450980392156863,79
L036,42,185,0.22702702702702704,36,51,0.7058823529411765,78
L004,51,185,0.2756756756756757,22,51,0.43137254901960786,73
L031,47,185,0.25405405405405407,26,51,0.5098039215686274,73
L038,39,185,0.21081081081081082,34,51,0.6666666666666666,73
L002,56,185,0.3027027027027027,14,51,0.27450980392156865,70
L051,51,185,0.2756756756756757,17,51,0.3333333333333333,68
L050,58,185,0.31351351351351353,9,51,0.17647058823529413,67
L022,47,185,0.25405405405405407,17,51,0.3333333333333333,64
L030,56,185,0.3027027027027027,7,51,0.13725490196078433,63
L007,53,185,0.2864864864864865,10,51,0.19607843137254902,63
L009,53,185,0.2864864864864865,10,51,0.19607843137254902,63
L032,52,185,0.2810810810810811,10,51,0.19607843137254902,62
L021,50,185,0.2702702702702703,11,51,0.21568627450980393,61
L012,43,185,0.23243243243243245,15,51,0.29411764705882354,58
L005,45,185,0.24324324324324326,11,51,0.21568627450980393,56
L040,47,185,0.25405405405405407,8,51,0.1568627450980392,55
L035,46,185,0.24864864864864866,9,51,0.17647058823529413,55
L049,45,185,0.24324324324324326,10,51,0.19607843137254902,55
L044,46,185,0.24864864864864866,8,51,0.1568627450980392,54
L048,46,185,0.24864864864864866,8,51,0.1568627450980392,54
L042,44,185,0.23783783783783785,9,51,0.17647058823529413,53
L024,45,185,0.24324324324324326,6,51,0.11764705882352941,51
L070,0,0,0.0,51,51,1.0,51
L071,0,0,0.0,51,51,1.0,51
L090,0,0,0.0,51,51,1.0,51
L103,0,0,0.0,51,51,1.0,51
L139,0,0,0.0,51,51,1.0,51
L152,0,0,0.0,51,51,1.0,51
L161,0,0,0.0,51,51,1.0,51
L167,0,0,0.0,51,51,1.0,51
L184,0,0,0.0,51,51,1.0,51
L185,0,0,0.0,51,51,1.0,51
L026,45,185,0.24324324324324326,5,51,0.09803921568627451,50
L041,39,185,0.21081081081081082,11,51,0.21568627450980393,50
L083,0,0,0.0,50,51,0.9803921568627451,50
L093,0,0,0.0,50,51,0.9803921568627451,50
L094,0,0,0.0,50,51,0.9803921568627451,50
L097,0,0,0.0,50,51,0.9803921568627451,50
L107,0,0,0.0,49,51,0.9607843137254902,49
L116,0,0,0.0,49,51,0.9607843137254902,49
L183,0,0,0.0,49,51,0.9607843137254902,49
L181,0,0,0.0,48,51,0.9411764705882353,48
L133,0,0,0.0,47,51,0.9215686274509803,47
L039,40,185,0.21621621621621623,6,51,0.11764705882352941,46
L043,41,185,0.22162162162162163,4,51,0.0784313725490196,45
L069,0,0,0.0,44,51,0.8627450980392157,44
L162,0,0,0.0,44,51,0.8627450980392157,44
L171,0,0,0.0,43,51,0.8431372549019608,43
L173,0,0,0.0,43,51,0.8431372549019608,43
L148,0,0,0.0,42,51,0.8235294117647058,42
L151,0,0,0.0,42,51,0.8235294117647058,42
L037,34,185,0.1837837837837838,7,51,0.13725490196078433,41
L025,37,185,0.2,3,51,0.058823529411764705,40
L119,0,0,0.0,36,51,0.7058823529411765,36
L063,0,0,0.0,34,52,0.6538461538461539,34
L157,0,0,0.0,34,51,0.6666666666666666,34
L052,19,65,0.2923076923076923,9,51,0.17647058823529413,28
L141,0,0,0.0,24,51,0.47058823529411764,24
L144,0,0,0.0,20,51,0.39215686274509803,20
L145,0,0,0.0,20,51,0.39215686274509803,20
L146,0,0,0.0,20,51,0.39215686274509803,20
L147,0,0,0.0,20,51,0.39215686274509803,20
L072,0,0,0.0,19,51,0.37254901960784315,19
L073,0,0,0.0,18,51,0.35294117647058826,18
L074,0,0,0.0,18,51,0.35294117647058826,18
L096,0,0,0.0,17,51,0.3333333333333333,17
L132,0,0,0.0,16,51,0.3137254901960784,16
L180,0,0,0.0,16,51,0.3137254901960784,16
L068,0,0,0.0,13,51,0.2549019607843137,13
L061,0,0,0.0,12,52,0.23076923076923078,12
L062,0,0,0.0,12,52,0.23076923076923078,12
L105,0,0,0.0,12,51,0.23529411764705882,12
L059,0,0,0.0,11,52,0.21153846153846154,11
L106,0,0,0.0,11,51,0.21568627450980393,11
L129,0,0,0.0,11,51,0.21568627450980393,11
L130,0,0,0.0,11,51,0.21568627450980393,11
L131,0,0,0.0,11,51,0.21568627450980393,11
L136,0,0,0.0,11,51,0.21568627450980393,11
L137,0,0,0.0,11,51,0.21568627450980393,11
L108,0,0,0.0,10,51,0.19607843137254902,10
L117,0,0,0.0,10,51,0.19607843137254902,10
L118,0,0,0.0,10,51,0.19607843137254902,10
L089,0,0,0.0,9,51,0.17647058823529413,9
L121,0,0,0.0,9,51,0.17647058823529413,9
L122,0,0,0.0,9,51,0.17647058823529413,9
L125,0,0,0.0,9,51,0.17647058823529413,9
L053,0,0,0.0,8,52,0.15384615384615385,8
L054,0,0,0.0,8,52,0.15384615384615385,8
L056,0,0,0.0,8,52,0.15384615384615385,8
L058,0,0,0.0,8,52,0.15384615384615385,8
L066,0,0,0.0,8,52,0.15384615384615385,8
L067,0,0,0.0,8,51,0.1568627450980392,8
L088,0,0,0.0,8,51,0.1568627450980392,8
L100,0,0,0.0,8,51,0.1568627450980392,8
L113,0,0,0.0,8,51,0.1568627450980392,8
L123,0,0,0.0,8,51,0.1568627450980392,8
L134,0,0,0.0,8,51,0.1568627450980392,8
L143,0,0,0.0,8,51,0.1568627450980392,8
L149,0,0,0.0,8,51,0.1568627450980392,8
L150,0,0,0.0,8,51,0.1568627450980392,8
L154,0,0,0.0,8,51,0.1568627450980392,8
L159,0,0,0.0,8,51,0.1568627450980392,8
L170,0,0,0.0,8,51,0.1568627450980392,8
L172,0,0,0.0,8,51,0.1568627450980392,8
L174,0,0,0.0,8,51,0.1568627450980392,8
L176,0,0,0.0,8,51,0.1568627450980392,8
L177,0,0,0.0,8,51,0.1568627450980392,8
L057,0,0,0.0,7,52,0.1346153846153846,7
L098,0,0,0.0,7,51,0.13725490196078433,7
L099,0,0,0.0,7,51,0.13725490196078433,7
L104,0,0,0.0,7,51,0.13725490196078433,7
L112,0,0,0.0,7,51,0.13725490196078433,7
L055,0,0,0.0,6,52,0.11538461538461539,6
L075,0,0,0.0,6,51,0.11764705882352941,6
L076,0,0,0.0,6,51,0.11764705882352941,6
L110,0,0,0.0,6,51,0.11764705882352941,6
L120,0,0,0.0,5,51,0.09803921568627451,5
L084,0,0,0.0,4,51,0.0784313725490196,4
L085,0,0,0.0,4,51,0.0784313725490196,4
L086,0,0,0.0,4,51,0.0784313725490196,4
L081,0,0,0.0,3,51,0.058823529411764705,3
L101,0,0,0.0,3,51,0.058823529411764705,3
L109,0,0,0.0,3,51,0.058823529411764705,3
L114,0,0,0.0,3,51,0.058823529411764705,3
L126,0,0,0.0,3,51,0.058823529411764705,3
L127,0,0,0.0,3,51,0.058823529411764705,3
L064,0,0,0.0,2,52,0.038461538461538464,2
L080,0,0,0.0,2,51,0.0392156862745098,2
L179,0,0,0.0,2,51,0.0392156862745098,2
L078,0,0,0.0,1,51,0.0196078431372549,1
L079,0,0,0.0,1,51,0.0196078431372549,1
L082,0,0,0.0,1,51,0.0196078431372549,1
L124,0,0,0.0,1,51,0.0196078431372549,1
L135,0,0,0.0,1,51,0.0196078431372549,1
L138,0,0,0.0,1,51,0.0196078431372549,1
L140,0,0,0.0,1,51,0.0196078431372549,1
L142,0,0,0.0,1,51,0.0196078431372549,1
L060,0,0,0.0,0,52,0.0,0
L065,0,0,0.0,0,52,0.0,0
L077,0,0,0.0,0,51,0.0,0
L087,0,0,0.0,0,51,0.0,0
L091,0,0,0.0,0,51,0.0,0
L092,0,0,0.0,0,51,0.0,0
L095,0,0,0.0,0,51,0.0,0
L102,0,0,0.0,0,51,0.0,0
L111,0,0,0.0,0,51,0.0,0
L115,0,0,0.0,0,51,0.0,0
L128,0,0,0.0,0,51,0.0,0
L153,0,0,0.0,0,51,0.0,0
L155,0,0,0.0,0,51,0.0,0
L156,0,0,0.0,0,51,0.0,0
L158,0,0,0.0,0,51,0.0,0
L160,0,0,0.0,0,51,0.0,0
L163,0,0,0.0,0,51,0.0,0
L164,0,0,0.0,0,51,0.0,0
L165,0,0,0.0,0,51,0.0,0
L166,0,0,0.0,0,51,0.0,0
L168,0,0,0.0,0,51,0.0,0
L169,0,0,0.0,0,51,0.0,0
L175,0,0,0.0,0,51,0.0,0
L178,0,0,0.0,0,51,0.0,0
L182,0,0,0.0,0,51,0.0,0
L186,0,0,0.0,0,51,0.0,0
