line_label,relay_trip_count
L128,1069
L155,1056
L115,1050
L102,1046
L140,1033
L156,1033
L169,1022
L060,1014
L111,1013
L158,1013
L178,1006
L182,1006
L109,1003
L160,997
L150,996
L179,996
L149,994
L030,990
L044,990
L048,990
L056,990
L058,990
L110,990
L134,990
L143,989
L091,986
L040,985
L065,984
L186,982
L114,980
L054,977
L175,974
L035,968
L113,968
L176,968
L112,961
L153,959
L121,955
L122,946
L125,938
L104,930
L020,914
L106,902
L064,898
L180,896
L062,891
L045,883
L046,879
L154,860
L015,849
L068,845
L022,837
L057,834
L129,831
L159,808
L105,796
L082,791
L074,775
L095,762
L130,758
L073,757
L019,756
L131,697
L072,676
L018,624
L132,557
L148,508
L126,506
L127,506
L078,504
L147,492
L157,474
L039,472
L077,470
L025,402
L063,393
L001,391
L014,366
L012,333
L092,318
L080,300
L151,286
L120,281
L069,254
L075,252
L076,252
L119,241
L026,236
L043,231
L081,218
L084,204
L037,199
L116,198
L135,162
L136,161
L024,159
L107,157
L002,146
L162,131
L004,126
L137,125
L101,121
L088,120
L089,120
L027,119
L079,112
L042,110
L070,109
L093,105
L094,105
L145,102
L028,101
L032,101
L083,101
L055,96
L006,88
L013,88
L146,82
L011,77
L144,75
L133,73
L029,70
L010,68
L053,61
L172,59
L059,54
L152,53
L170,51
L052,50
L100,49
L071,45
L138,44
L090,39
L017,36
L181,29
L034,28
L061,27
L185,25
L097,23
L142,23
L085,22
L086,22
L103,22
L021,16
L049,16
L047,14
L098,14
L099,14
L016,12
L041,12
L066,10
L067,10
L031,8
L117,8
L124,8
L171,8
L173,8
L033,7
L096,6
L161,6
L023,5
L036,5
L087,4
L038,3
L003,1
L050,1
L051,1
