line_label,relay_trip_count
L128,124
L155,120
L102,116
L156,114
L158,114
L115,113
L140,113
L178,111
L018,110
L060,110
L111,109
L182,109
L150,108
L169,108
L019,107
L044,107
L046,107
L109,107
L030,106
L040,106
L045,106
L110,106
L134,106
L143,106
L154,106
L160,106
L179,106
L058,105
L149,105
L056,104
L153,104
L112,102
L054,99
L113,99
L159,97
L175,95
L057,88
L065,87
L104,87
L114,86
L129,84
L130,81
L186,80
L091,73
L095,65
L157,65
L148,64
L131,55
L176,55
L078,51
L132,49
L039,45
L077,44
L082,41
L073,40
L126,37
L127,37
L135,37
L020,36
L025,31
L064,31
L106,31
L022,30
L015,29
L074,27
L062,26
L105,24
L092,20
L063,18
L180,18
L026,17
L014,13
L080,12
L043,11
L120,11
L024,10
L037,10
L053,10
L075,10
L076,10
L088,10
L119,10
L146,10
L012,9
L055,9
L081,9
L084,9
L042,8
L089,8
L048,7
L122,7
L027,6
L032,6
L079,6
L093,6
L094,6
L101,6
L121,6
L145,6
L151,6
L068,5
L116,5
L136,5
L147,5
L017,4
L028,4
L035,4
L083,4
L100,4
L162,4
L006,3
L029,3
L034,3
L052,3
L059,3
L070,3
L071,3
L098,3
L099,3
L103,3
L161,3
L185,3
L047,2
L061,2
L072,2
L085,2
L086,2
L087,2
L107,2
L142,2
L152,2
L170,2
L181,2
L010,1
L011,1
L031,1
L041,1
L049,1
L117,1
L123,1
L124,1
L138,1
L144,1
L171,1
L172,1
L173,1
