top_rank,top_bucket,scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,max_event_loading_ratio,max_pre_redispatch_loading_ratio,num_relay_trips,relay_trip_labels,num_passive_outages,has_overload_cascade,critical_mechanism,error
1,"top_20,top_50,top_100",1,20260708,L001->L108,L001,L108,True,True,384.0374543313658,370.7245609613887,13.312893369977196,1.0000000000000064,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L082,L092,L095,L102,L104,L105,L106,L108,L109,L110,L111,L113,L114,L115,L116,L117,L119,L120,L126,L127,L128,L129,L130,L131,L134,L140,L143,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L180,L182,L186",68,32.32305468638871,32.32305468638871,66,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L082,L092,L095,L102,L104,L105,L106,L109,L110,L111,L113,L114,L115,L116,L117,L119,L120,L126,L127,L128,L129,L130,L131,L134,L140,L143,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L180,L182,L186",66,True,relay_cascade,
2,"top_20,top_50,top_100",1,20260708,L001->L007,L001,L007,True,True,349.56812844622425,347.7023328616734,1.8657955845507967,1.0000000000000009,"L001,L007,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L064,L065,L068,L073,L074,L077,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L160,L161,L162,L169,L175,L176,L178,L179,L182,L186",71,86.14603574229243,86.14603574229243,69,"L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L064,L065,L068,L073,L074,L077,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L160,L161,L162,L169,L175,L176,L178,L179,L182,L186",69,True,relay_cascade,
3,"top_20,top_50,top_100",1,20260708,L001->L009,L001,L009,True,True,349.56812844622425,347.7023328616734,1.8657955845507967,1.0000000000000009,"L001,L009,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L064,L065,L068,L073,L074,L077,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L160,L161,L162,L169,L175,L176,L178,L179,L182,L186",71,86.14603574229243,86.14603574229243,69,"L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L064,L065,L068,L073,L074,L077,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L160,L161,L162,L169,L175,L176,L178,L179,L182,L186",69,True,relay_cascade,
4,"top_20,top_50,top_100",1,20260708,L001->L038,L001,L038,True,True,314.2229426289165,300.9100492589393,13.3128933699772,1.0000000000000002,"L001,L018,L019,L020,L025,L027,L028,L029,L030,L031,L032,L034,L035,L037,L038,L039,L040,L042,L043,L044,L045,L046,L056,L057,L058,L060,L062,L063,L064,L065,L077,L078,L082,L091,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L119,L121,L122,L126,L127,L128,L134,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L181,L182,L186",74,22.432566303791493,22.432566303791493,72,"L018,L019,L020,L025,L027,L028,L029,L030,L031,L032,L034,L035,L037,L039,L040,L042,L043,L044,L045,L046,L056,L057,L058,L060,L062,L063,L064,L065,L077,L078,L082,L091,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L119,L121,L122,L126,L127,L128,L134,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L181,L182,L186",72,True,relay_cascade,
5,"top_20,top_50,top_100",1,20260708,L001->L107,L001,L107,True,True,312.7596763445246,299.44678297454743,13.312893369977209,1.0000000000000089,"L001,L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L102,L104,L105,L106,L107,L109,L110,L111,L112,L113,L114,L115,L119,L120,L121,L122,L126,L127,L128,L134,L140,L143,L145,L146,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",57,15.195874825856956,15.195874825856956,55,"L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L119,L120,L121,L122,L126,L127,L128,L134,L140,L143,L145,L146,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",55,True,relay_cascade,
6,"top_20,top_50,top_100",1,20260708,L001->L010,L001,L010,True,True,312.63274361564254,310.7669480310917,1.8657955845507967,1.0000000000000029,"L001,L010,L011,L012,L014,L015,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L058,L060,L065,L102,L104,L109,L110,L111,L112,L113,L114,L115,L126,L127,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",58,69.89193872895596,69.89193872895596,56,"L011,L012,L014,L015,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L058,L060,L065,L102,L104,L109,L110,L111,L112,L113,L114,L115,L126,L127,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",56,True,relay_cascade,
7,"top_20,top_50,top_100",1,20260708,L001->L126,L001,L126,True,True,309.97418785183686,308.10839226728604,1.8657955845507967,1.0,"L001,L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L064,L065,L073,L074,L077,L078,L082,L091,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L126,L128,L129,L130,L131,L134,L140,L143,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L180,L182,L185,L186",66,10.090962631841537,10.090962631841537,64,"L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L064,L065,L073,L074,L077,L078,L082,L091,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L128,L129,L130,L131,L134,L140,L143,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L180,L182,L185,L186",64,True,relay_cascade,
8,"top_20,top_50,top_100",1,20260708,L001->L127,L001,L127,True,True,309.97418785183686,308.10839226728604,1.8657955845507967,1.0,"L001,L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L064,L065,L073,L074,L077,L078,L082,L091,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L127,L128,L129,L130,L131,L134,L140,L143,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L180,L182,L185,L186",66,10.090962631841537,10.090962631841537,64,"L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L064,L065,L073,L074,L077,L078,L082,L091,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L128,L129,L130,L131,L134,L140,L143,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L180,L182,L185,L186",64,True,relay_cascade,
9,"top_20,top_50,top_100",1,20260708,L001->L125,L001,L125,True,True,294.6607936116142,281.34790024163703,13.312893369977209,1.0000000000000004,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L121,L125,L126,L127,L128,L129,L130,L131,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L175,L178,L179,L182,L186",62,71.57709823693548,71.57709823693548,60,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L121,L126,L127,L128,L129,L130,L131,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L175,L178,L179,L182,L186",60,True,relay_cascade,
10,"top_20,top_50,top_100",1,20260708,L001->L008,L001,L008,True,True,292.54242718374644,281.09532939832,11.447097785426408,1.0000000000000004,"L001,L008,L015,L017,L018,L019,L020,L022,L024,L025,L026,L030,L037,L040,L044,L045,L046,L048,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L082,L091,L092,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",71,78.6540097165763,78.6540097165763,69,"L015,L017,L018,L019,L020,L022,L024,L025,L026,L030,L037,L040,L044,L045,L046,L048,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L082,L091,L092,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",69,True,relay_cascade,
11,"top_20,top_50,top_100",1,20260708,L001->L183,L001,L183,True,True,291.9059741179506,278.59308074797343,13.312893369977209,1.0000000000000004,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L126,L127,L128,L134,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182,L183,L186",63,70.82335375890602,70.82335375890602,61,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L078,L082,L091,L093,L094,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L126,L127,L128,L134,L140,L143,L148,L149,L150,L151,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182,L186",61,True,relay_cascade,
12,"top_20,top_50,top_100",1,20260708,L001->L036,L001,L036,True,True,286.6850324414564,275.2379346560299,11.447097785426452,1.0,"L001,L006,L012,L014,L015,L017,L018,L019,L020,L025,L030,L032,L036,L039,L042,L044,L045,L046,L048,L054,L056,L057,L058,L060,L062,L063,L064,L065,L091,L102,L104,L105,L106,L109,L110,L111,L112,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L161,L162,L169,L175,L176,L178,L179,L182,L186",70,83.95001574846867,83.95001574846867,68,"L006,L012,L014,L015,L017,L018,L019,L020,L025,L030,L032,L039,L042,L044,L045,L046,L048,L054,L056,L057,L058,L060,L062,L063,L064,L065,L091,L102,L104,L105,L106,L109,L110,L111,L112,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L161,L162,L169,L175,L176,L178,L179,L182,L186",68,True,relay_cascade,
13,"top_20,top_50,top_100",1,20260708,L001->L116,L001,L116,True,True,283.93407669545184,269.51471375682263,14.419362938629195,1.0000000000000058,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L082,L091,L095,L102,L104,L105,L106,L107,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L122,L123,L124,L126,L127,L128,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L169,L178,L179,L180,L182,L186",64,65.56605363463714,65.56605363463714,62,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L082,L091,L095,L102,L104,L105,L106,L107,L109,L110,L111,L112,L113,L114,L115,L119,L120,L122,L123,L124,L126,L127,L128,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L169,L178,L179,L180,L182,L186",62,True,relay_cascade,
14,"top_20,top_50,top_100",1,20260708,L001->L098,L001,L098,True,True,274.4299472009496,262.9828494155232,11.447097785426395,1.0000000000000009,"L001,L018,L019,L025,L027,L030,L039,L040,L044,L045,L046,L048,L053,L054,L055,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L079,L080,L081,L082,L084,L088,L089,L091,L092,L095,L098,L099,L100,L101,L102,L103,L104,L105,L106,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L160,L169,L175,L178,L179,L182,L186",74,76.87639239324665,76.87639239324665,72,"L018,L019,L025,L027,L030,L039,L040,L044,L045,L046,L048,L053,L054,L055,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L079,L080,L081,L082,L084,L088,L089,L091,L092,L095,L099,L100,L101,L102,L103,L104,L105,L106,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L160,L169,L175,L178,L179,L182,L186",72,True,relay_cascade,
15,"top_20,top_50,top_100",1,20260708,L001->L099,L001,L099,True,True,274.4299472009496,262.9828494155232,11.447097785426395,1.0000000000000009,"L001,L018,L019,L025,L027,L030,L039,L040,L044,L045,L046,L048,L053,L054,L055,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L079,L080,L081,L082,L084,L088,L089,L091,L092,L095,L098,L099,L100,L101,L102,L103,L104,L105,L106,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L160,L169,L175,L178,L179,L182,L186",74,76.87639239324665,76.87639239324665,72,"L018,L019,L025,L027,L030,L039,L040,L044,L045,L046,L048,L053,L054,L055,L056,L057,L058,L060,L062,L063,L064,L065,L073,L074,L077,L078,L079,L080,L081,L082,L084,L088,L089,L091,L092,L095,L098,L100,L101,L102,L103,L104,L105,L106,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L160,L169,L175,L178,L179,L182,L186",72,True,relay_cascade,
16,"top_20,top_50,top_100",1,20260708,L001->L011,L001,L011,True,True,255.6008709634436,253.7350753788928,1.8657955845507967,1.0000000000000004,"L001,L006,L010,L011,L012,L014,L015,L017,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L058,L060,L102,L104,L109,L110,L111,L112,L113,L114,L115,L126,L127,L128,L129,L130,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",55,75.52941693315098,75.52941693315098,53,"L006,L010,L012,L014,L015,L017,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L058,L060,L102,L104,L109,L110,L111,L112,L113,L114,L115,L126,L127,L128,L129,L130,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",53,True,relay_cascade,
17,"top_20,top_50,top_100",1,20260708,L003->L107,L003,L107,True,True,255.2354861826297,240.04403062661356,15.191455556016177,1.0000000000000058,"L001,L002,L003,L004,L011,L012,L014,L015,L018,L019,L020,L022,L030,L037,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L073,L077,L078,L082,L091,L095,L102,L104,L105,L106,L107,L109,L110,L111,L112,L113,L114,L115,L116,L119,L120,L121,L122,L126,L127,L128,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L175,L178,L179,L182,L186",71,2.5259311456726685,2.5259311456726685,16,"L062,L063,L064,L073,L077,L078,L091,L105,L106,L116,L119,L120,L121,L122,L126,L127",69,True,relay_cascade,
18,"top_20,top_50,top_100",1,20260708,L001->L121,L001,L121,True,True,252.6099153569197,250.7441197723689,1.8657955845507967,1.0000000000000122,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L102,L104,L109,L110,L111,L112,L113,L115,L121,L122,L128,L129,L130,L134,L140,L143,L146,L147,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L169,L175,L178,L179,L182,L186",49,19.53237081630301,19.53237081630301,47,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L102,L104,L109,L110,L111,L112,L113,L115,L122,L128,L129,L130,L134,L140,L143,L146,L147,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L169,L175,L178,L179,L182,L186",47,True,relay_cascade,
19,"top_20,top_50,top_100",1,20260708,L001->L068,L001,L068,True,True,246.96369382363733,245.09789823908653,1.8657955845507967,1.0000000000000089,"L001,L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L065,L068,L091,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",50,72.97898571912205,72.97898571912205,48,"L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L065,L091,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",48,True,relay_cascade,
20,"top_20,top_50,top_100",1,20260708,L001->L161,L001,L161,True,True,245.3095338891005,243.44373830454967,1.8657955845507967,1.0000000000000369,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L095,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L134,L140,L143,L144,L145,L146,L147,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L161,L169,L175,L178,L179,L182,L186",51,22.8827320657643,22.8827320657643,49,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L095,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L134,L140,L143,L144,L145,L146,L147,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",49,True,relay_cascade,
21,"top_50,top_100",1,20260708,L001->L090,L001,L090,True,True,244.43915226569703,242.57335668114624,1.8657955845507967,1.000000000000003,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L088,L089,L090,L091,L092,L095,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",57,77.56011414352227,77.56011414352227,55,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L088,L089,L091,L092,L095,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L136,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",55,True,relay_cascade,
22,"top_50,top_100",1,20260708,L001->L071,L001,L071,True,True,235.21545879507644,233.34966321052565,1.8657955845507967,1.0000000000000058,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L071,L074,L082,L091,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",49,73.45886522604701,73.45886522604701,47,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L074,L082,L091,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",47,True,relay_cascade,
23,"top_50,top_100",1,20260708,L001->L041,L001,L041,True,True,231.36430703400436,229.49851144945356,1.8657955845507967,1.0000000000000022,"L001,L015,L018,L019,L020,L022,L025,L030,L034,L035,L039,L040,L041,L043,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L095,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",61,75.26203200535492,75.26203200535492,59,"L015,L018,L019,L020,L022,L025,L030,L034,L035,L039,L040,L043,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L095,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L182,L186",59,True,relay_cascade,
24,"top_50,top_100",1,20260708,L001->L117,L001,L117,True,True,215.258488152686,201.9455947827088,13.312893369977182,1.0000000000000122,"L001,L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L091,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L117,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L180,L182",58,73.67224812952662,73.67224812952662,56,"L018,L019,L030,L039,L040,L044,L045,L046,L054,L056,L057,L058,L060,L062,L063,L064,L065,L091,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L176,L178,L179,L180,L182",56,True,relay_cascade,
25,"top_50,top_100",1,20260708,L001->L072,L001,L072,True,True,207.53631210348976,205.67051651893897,1.8657955845507967,1.0000000000000095,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L072,L073,L074,L077,L078,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",52,74.52640604689353,74.52640604689353,50,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L073,L074,L077,L078,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",50,True,relay_cascade,
26,"top_50,top_100",1,20260708,L001->L185,L001,L185,True,True,199.7656460581802,197.8998504736294,1.8657955845507967,1.0000000000000089,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L185,L186",51,74.73957810087413,74.73957810087413,49,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L102,L104,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",49,True,relay_cascade,
27,"top_50,top_100",1,20260708,L001->L061,L001,L061,True,True,198.53008462183325,196.66428903728243,1.8657955845507967,1.0000000000000122,"L001,L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L061,L065,L091,L095,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",51,74.96488700438118,74.96488700438118,49,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L057,L058,L060,L065,L091,L095,L102,L109,L110,L111,L112,L113,L114,L115,L128,L129,L130,L131,L132,L134,L135,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182,L186",49,True,relay_cascade,
28,"top_50,top_100",1,20260708,L001->L096,L001,L096,True,True,198.53008462183325,196.66428903728243,1.865795584550796,1.000000000000005,"L001,L018,L019,L025,L030,L040,L044,L045,L046,L056,L057,L058,L059,L060,L061,L065,L077,L078,L082,L095,L096,L102,L104,L109,L110,L111,L112,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",52,76.31409706155559,76.31409706155559,50,"L018,L019,L025,L030,L040,L044,L045,L046,L056,L057,L058,L059,L060,L061,L065,L077,L078,L082,L095,L102,L104,L109,L110,L111,L112,L115,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L175,L178,L179,L182",50,True,relay_cascade,
