top_rank,top_bucket,scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,max_event_loading_ratio,max_pre_redispatch_loading_ratio,num_relay_trips,relay_trip_labels,num_passive_outages,has_overload_cascade,critical_mechanism,error
1,"top_20,top_50,top_100",1,20260708,L086->L011,L086,L011,True,True,254.20261588082428,254.20261588082428,0.0,1.0000000000000229,"L001,L002,L004,L010,L011,L012,L014,L015,L018,L019,L020,L022,L037,L040,L044,L045,L046,L054,L056,L060,L065,L086,L102,L104,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",52,53.37890924038605,53.37890924038605,50,"L001,L002,L004,L010,L012,L014,L015,L018,L019,L020,L022,L037,L040,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",50,True,relay_cascade,
2,"top_20,top_50,top_100",1,20260708,L164->L011,L164,L011,True,True,254.20261588082428,254.20261588082428,0.0,1.0000000000000184,"L001,L002,L004,L010,L011,L012,L014,L015,L018,L019,L020,L022,L037,L040,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L164,L169,L178,L179,L182",52,53.37528316368309,53.37528316368309,50,"L001,L002,L004,L010,L012,L014,L015,L018,L019,L020,L022,L037,L040,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",50,True,relay_cascade,
3,"top_20,top_50,top_100",1,20260708,L081->L098,L081,L098,True,True,209.91883346706032,207.0572215565694,2.8616119104909075,1.0000000000000004,"L018,L019,L030,L040,L044,L045,L046,L054,L055,L056,L057,L058,L060,L062,L063,L064,L065,L074,L077,L078,L081,L082,L084,L088,L089,L090,L091,L092,L095,L098,L099,L100,L101,L102,L104,L105,L106,L109,L110,L111,L113,L115,L128,L129,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L178,L179,L182",60,59.983342320920656,59.983342320920656,54,"L018,L019,L030,L040,L044,L045,L046,L054,L055,L056,L057,L058,L060,L062,L063,L064,L065,L074,L084,L088,L089,L090,L091,L092,L095,L099,L100,L101,L104,L105,L106,L109,L110,L111,L113,L115,L128,L129,L134,L140,L143,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L178,L179,L182",58,True,relay_cascade,
4,"top_20,top_50,top_100",1,20260708,L081->L011,L081,L011,True,True,201.83170145982157,201.83170145982157,0.0,1.0000000000000024,"L001,L002,L004,L010,L011,L012,L014,L015,L018,L019,L020,L022,L030,L037,L044,L045,L046,L056,L057,L060,L077,L078,L081,L082,L095,L102,L104,L109,L110,L111,L113,L115,L128,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",51,60.62509890070832,60.62509890070832,45,"L001,L002,L004,L010,L012,L014,L015,L018,L019,L020,L022,L030,L037,L044,L045,L046,L056,L057,L060,L095,L104,L109,L110,L111,L113,L115,L128,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",49,True,relay_cascade,
5,"top_20,top_50,top_100",1,20260708,L131->L149,L131,L149,True,True,188.29405836841627,188.29405836841627,0.0,1.0000000000000184,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L113,L115,L128,L130,L131,L134,L140,L145,L146,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L169,L178,L179,L182",39,15.189357137974357,15.189357137974357,35,"L018,L019,L030,L040,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L113,L115,L130,L134,L140,L145,L146,L148,L150,L153,L154,L156,L157,L158,L160,L169,L178,L179,L182",37,True,relay_cascade,
6,"top_20,top_50,top_100",1,20260708,L144->L106,L144,L106,True,True,175.88576029994852,175.88576029994852,0.0,1.0000000000000029,"L018,L019,L030,L039,L044,L045,L046,L054,L056,L057,L060,L062,L063,L064,L065,L077,L078,L082,L095,L102,L104,L105,L106,L109,L110,L111,L112,L113,L114,L115,L128,L129,L134,L140,L143,L144,L145,L149,L150,L153,L154,L155,L156,L158,L159,L160,L169,L178,L179,L182",50,8.709368057209588,8.709368057209588,45,"L018,L019,L030,L039,L044,L045,L046,L054,L056,L057,L060,L062,L063,L064,L065,L077,L078,L082,L095,L102,L104,L105,L109,L110,L111,L112,L113,L114,L115,L129,L134,L140,L143,L145,L149,L150,L153,L154,L158,L159,L160,L169,L178,L179,L182",48,True,relay_cascade,
7,"top_20,top_50,top_100",1,20260708,L069->L036,L069,L036,True,True,169.5065121113294,169.5065121113294,0.0,1.0000000000000004,"L001,L012,L014,L015,L018,L019,L020,L025,L030,L032,L036,L039,L040,L044,L045,L046,L048,L054,L060,L065,L069,L102,L104,L109,L110,L111,L112,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L162,L169,L178,L179,L182,L186",55,63.01651430964584,63.01651430964584,50,"L001,L012,L014,L015,L018,L019,L020,L025,L030,L032,L039,L040,L044,L045,L046,L048,L054,L104,L109,L110,L111,L112,L113,L115,L126,L127,L128,L129,L130,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L160,L162,L169,L178,L179,L182,L186",53,True,relay_cascade,
8,"top_20,top_50,top_100",1,20260708,L145->L068,L145,L068,True,True,167.70152188985676,167.70152188985676,0.0,1.0000000000000024,"L018,L019,L030,L040,L044,L045,L046,L054,L060,L062,L064,L065,L068,L102,L109,L110,L111,L112,L113,L114,L115,L128,L134,L140,L143,L144,L145,L146,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",42,11.408610432640163,11.408610432640163,37,"L018,L019,L030,L040,L044,L045,L046,L054,L060,L062,L064,L065,L102,L109,L110,L111,L112,L113,L114,L115,L134,L140,L143,L144,L146,L149,L150,L153,L154,L157,L158,L159,L160,L169,L178,L179,L182",40,True,relay_cascade,
9,"top_20,top_50,top_100",1,20260708,L150->L071,L150,L071,True,True,159.7601805364269,159.7601805364269,0.0,1.0000000000000215,"L018,L019,L030,L040,L044,L045,L046,L054,L060,L071,L074,L078,L082,L102,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",42,16.86585241434659,16.86585241434659,38,"L018,L019,L030,L040,L044,L045,L046,L054,L060,L074,L078,L082,L102,L109,L110,L111,L112,L113,L115,L128,L129,L130,L131,L132,L134,L140,L143,L149,L153,L154,L157,L158,L159,L160,L169,L178,L179,L182",40,True,relay_cascade,
10,"top_20,top_50,top_100",1,20260708,L132->L028,L132,L028,True,True,158.25091444212364,158.25091444212364,0.0,1.0000000000000184,"L018,L019,L024,L025,L028,L030,L039,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L112,L113,L115,L128,L131,L132,L134,L140,L143,L148,L149,L150,L153,L154,L155,L156,L157,L158,L159,L160,L169,L178,L179,L182",43,19.89999020265445,19.89999020265445,39,"L018,L019,L024,L025,L030,L039,L044,L045,L046,L054,L056,L060,L065,L102,L104,L109,L110,L111,L112,L113,L115,L131,L134,L140,L143,L148,L149,L150,L153,L154,L156,L157,L158,L159,L160,L169,L178,L179,L182",41,True,relay_cascade,
