line_label,as_first_critical_count,as_first_total_count,as_first_critical_frequency,as_second_critical_count,as_second_total_count,as_second_critical_frequency,total_critical_count
L133,2,6,0.3333333333333333,11,11,1.0,13
L071,0,5,0.0,11,11,1.0,11
L152,3,9,0.3333333333333333,7,7,1.0,10
L147,1,2,0.5,9,9,1.0,10
L180,2,4,0.5,7,7,1.0,9
L035,1,5,0.2,8,8,1.0,9
L022,2,11,0.18181818181818182,6,6,1.0,8
L033,2,5,0.4,6,6,1.0,8
L029,1,2,0.5,7,7,1.0,8
L059,1,4,0.25,7,7,1.0,8
L028,1,4,0.25,6,6,1.0,7
L047,1,5,0.2,6,6,1.0,7
L061,1,5,0.2,6,6,1.0,7
L034,0,5,0.0,7,7,1.0,7
L185,0,4,0.0,7,7,1.0,7
L072,2,6,0.3333333333333333,4,4,1.0,6
L036,1,9,0.1111111111111111,5,5,1.0,6
L050,1,2,0.5,5,5,1.0,6
L129,1,5,0.2,5,5,1.0,6
L184,2,5,0.4,3,3,1.0,5
L107,1,6,0.16666666666666666,4,6,0.6666666666666666,5
L016,0,5,0.0,5,5,1.0,5
L017,0,5,0.0,5,5,1.0,5
L181,0,5,0.0,5,5,1.0,5
L122,4,10,0.4,0,4,0.0,4
L169,4,13,0.3076923076923077,0,5,0.0,4
L171,4,10,0.4,0,4,0.0,4
L048,2,6,0.3333333333333333,2,7,0.2857142857142857,4
L151,2,8,0.25,2,7,0.2857142857142857,4
L031,1,4,0.25,3,4,0.75,4
L131,1,4,0.25,3,9,0.3333333333333333,4
L183,1,3,0.3333333333333333,3,3,1.0,4
L070,3,6,0.5,0,1,0.0,3
L090,3,9,0.3333333333333333,0,7,0.0,3
L095,3,8,0.375,0,7,0.0,3
L099,3,6,0.5,0,8,0.0,3
L119,3,7,0.42857142857142855,0,4,0.0,3
L165,3,5,0.6,0,7,0.0,3
L084,2,4,0.5,1,8,0.125,3
L116,2,4,0.5,1,7,0.14285714285714285,3
L174,2,6,0.3333333333333333,1,6,0.16666666666666666,3
