line_label,relay_trip_count
L128,277
L115,274
L102,273
L155,273
L060,270
L156,270
L018,264
L158,262
L111,260
L182,257
L178,255
L140,253
L045,249
L109,245
L046,242
L179,241
L134,240
L113,239
L169,239
L153,234
L154,232
L160,232
L044,226
L150,218
L110,216
L065,188
L104,188
L019,78
L030,74
L157,73
L149,62
L078,50
L082,42
L057,40
L077,39
L159,37
L056,32
L054,28
L186,28
L095,27
L015,22
L112,20
L040,19
L091,19
L148,19
L039,17
L025,16
L020,15
L001,14
L073,13
L126,13
L127,13
L074,12
L114,12
L129,12
L064,11
L043,10
L092,10
L180,10
L014,9
L063,9
L026,7
L048,7
L024,6
L058,6
L089,6
L059,5
L062,5
L106,5
L119,5
L120,5
L012,4
L061,4
L080,4
L002,3
L017,3
L022,3
L032,3
L035,3
L037,3
L143,3
L081,2
L084,2
L105,2
L027,1
L034,1
L068,1
L069,1
L075,1
L076,1
L083,1
L101,1
L142,1
L173,1
L175,1
