method,budget_type,budget_label,K,search_budget_ratio,critical_hit_count,relay_cascade_hit_count,recall_critical,recall_relay_cascade,precision_at_k,captured_total_load_shed_mw,captured_total_load_shed_ratio,captured_relay_cascade_load_shed_mw,captured_relay_cascade_load_shed_ratio
GCN_smoke,fixed,50,50,0.0014530659691950015,33,33,0.01775147928994083,0.019891500904159132,0.66,847.1133195530102,0.013740373678311506,847.1133195530102,0.015092351596133976
GCN_smoke,fixed,100,100,0.002906131938390003,37,37,0.019903173749327596,0.02230259192284509,0.37,949.7937219230721,0.015405873518106841,949.7937219230722,0.01692172754718052
GCN_smoke,percent,0.5%,172,0.004998546934030805,46,46,0.02474448628294782,0.027727546714888487,0.26744186046511625,1210.9511694118887,0.01964190762894318,1210.9511694118887,0.021574564338284082
GCN_smoke,fixed,200,200,0.005812263876780006,62,62,0.03335126412049489,0.037371910789632305,0.31,1784.9640649967082,0.028952529359772272,1784.9640649967084,0.03180130052684063
GCN_smoke,percent,1%,344,0.00999709386806161,123,123,0.06616460462614308,0.07414104882459313,0.35755813953488375,4013.4992770512044,0.06509988516461483,4013.4992770512044,0.07150535922637655
GCN_smoke,fixed,500,500,0.014530659691950014,157,157,0.0844540075309306,0.09463532248342375,0.314,5263.582805050515,0.08537652868720277,5263.582805050515,0.09377711401244984
GCN_smoke,percent,2%,688,0.01999418773612322,193,193,0.10381925766541152,0.11633514165159735,0.2805232558139535,6576.103596230558,0.10666591903805098,6576.103596230558,0.1171612643976399
GCN_smoke,fixed,1000,1000,0.02906131938390003,234,226,0.1258741258741259,0.13622664255575648,0.234,9852.978108884083,0.15981758040556743,9202.1042977057,0.1639466530387604
GCN_smoke,percent,5%,1720,0.04998546934030805,381,366,0.20494889725658957,0.2206148282097649,0.22151162790697673,21750.202252436666,0.35279330359842226,20529.81385647719,0.36576354281459006
GCN_smoke,fixed,2000,2000,0.05812263876780006,381,366,0.20494889725658957,0.2206148282097649,0.1905,21750.202252436662,0.3527933035984222,20529.81385647719,0.36576354281459006
GCN_smoke,percent,10%,3441,0.1,384,368,0.20656266810112964,0.2218203737191079,0.11159546643417612,21932.11100647841,0.3557439055995908,20664.07995163276,0.36815565620574425
GCN_smoke,fixed,5000,5000,0.14530659691950015,388,372,0.2087143625605164,0.22423146473779385,0.0776,22179.178945074073,0.3597514046223022,20911.14789022843,0.3725574713010203
