method,budget_type,budget_label,K,search_budget_ratio,critical_hit_count,relay_cascade_hit_count,recall_critical,recall_relay_cascade,precision_at_k,captured_total_load_shed_mw,captured_total_load_shed_ratio,captured_relay_cascade_load_shed_mw,captured_relay_cascade_load_shed_ratio
line_order,fixed,50,50,0.0014530659691950015,5,5,0.0026896180742334587,0.0030138637733574444,0.1,145.9262009708935,0.0023669566804290897,145.92620097089352,0.002599852323539122
line_order,fixed,100,100,0.002906131938390003,6,6,0.0032275416890801506,0.003616636528028933,0.06,179.80777282719083,0.002916523600660894,179.80777282719086,0.0032034936348984315
line_order,percent,0.5%,172,0.004998546934030805,7,7,0.0037654653039268424,0.004219409282700422,0.040697674418604654,223.40042406526229,0.003623606471173979,223.4004240652623,0.003980149607962079
line_order,fixed,200,200,0.005812263876780006,12,12,0.006455083378160301,0.007233273056057866,0.06,385.96738884962093,0.006260480183730701,385.967388849621,0.0068764773291889155
line_order,percent,1%,344,0.00999709386806161,16,16,0.008606777837547068,0.009644364074743821,0.046511627906976744,531.5093798670653,0.008621204889984123,531.5093798670653,0.009469484486242815
line_order,fixed,500,500,0.014530659691950014,24,24,0.012910166756320602,0.014466546112115732,0.048,796.0256844307969,0.012911720438281185,796.0256844307969,0.014182163391459906
line_order,percent,2%,688,0.01999418773612322,35,35,0.018827326519634213,0.02109704641350211,0.050872093023255814,1135.91329423329,0.018424775964050354,1135.9132942332903,0.020237673548017913
line_order,fixed,1000,1000,0.02906131938390003,56,56,0.03012372243141474,0.03375527426160337,0.056,1820.9871955717622,0.029536832857000987,1820.987195571762,0.03244309630514221
line_order,percent,5%,1720,0.04998546934030805,103,80,0.055406132329209254,0.04822182037371911,0.05988372093023256,3246.940137557276,0.05266611889031134,2642.0910879141543,0.04707205839810578
line_order,fixed,2000,2000,0.05812263876780006,114,91,0.06132329209252286,0.05485232067510549,0.057,3632.5233164534484,0.05892036709986639,3027.6742668103257,0.05394169056080947
line_order,percent,10%,3441,0.1,194,162,0.1043571812802582,0.09764918625678119,0.056378959604766056,6222.7746724924855,0.10093484229606506,5351.510243450721,0.09534364801050282
line_order,fixed,5000,5000,0.14530659691950015,279,247,0.150080688542227,0.14888487040385776,0.0558,9051.62115584037,0.14681938555916388,8180.356726798605,0.14574298036983985
