line_label,as_first_critical_count,as_first_total_count,as_first_critical_frequency,as_second_critical_count,as_second_total_count,as_second_critical_frequency,total_critical_count
L183,0,185,0.0,177,185,0.9567567567567568,177
L184,0,185,0.0,177,185,0.9567567567567568,177
L025,5,185,0.02702702702702703,3,185,0.016216216216216217,8
L027,5,185,0.02702702702702703,3,185,0.016216216216216217,8
L028,5,185,0.02702702702702703,3,185,0.016216216216216217,8
L029,5,185,0.02702702702702703,3,185,0.016216216216216217,8
L034,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L035,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L040,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L059,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L060,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L061,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L070,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L072,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L073,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L074,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L080,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L081,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L121,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L122,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L125,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L160,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L161,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L162,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L171,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L173,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L175,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L180,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L181,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L182,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L185,4,185,0.021621621621621623,2,185,0.010810810810810811,6
L001,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L006,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L013,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L015,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L016,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L017,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L018,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L019,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L020,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L022,3,185,0.016216216216216217,1,185,0.005405405405405406,4
L044,3,185,0.016216216216216217,1,185,0.005405405405405406,4
