phase,seed,method,num_queries,critical,relay,load_shed_mw,fallback_queries,fallback_critical,fallback_relay,fallback_load_shed_mw,errors,n1_state_constructions
prospective,20261211,frozen_gcn,2100,1501,1404,46151.46627729961,500,135,131,3320.9673217680884,0,186
prospective,20261211,pair_relation,2100,1508,1410,46543.733662784995,500,142,137,3713.2347072534694,0,186
prospective,20261211,global_rrf_070,2100,1511,1412,46547.73309018389,500,145,139,3717.2341346523663,0,186
prospective,20261212,frozen_gcn,2100,1448,1367,51026.90462729615,500,88,86,2705.6077897599266,0,186
prospective,20261212,pair_relation,2100,1452,1372,51167.62064485779,500,92,91,2846.3238073215666,0,186
prospective,20261212,global_rrf_070,2100,1452,1372,51179.46365142721,500,92,91,2858.1668138909918,0,186
prospective,20261213,frozen_gcn,2100,1463,1339,41578.0039586545,500,48,43,1148.5194009034105,0,186
prospective,20261213,pair_relation,2100,1474,1352,41946.17706224075,500,59,56,1516.692504489663,0,186
prospective,20261213,global_rrf_070,2100,1474,1351,41959.55921204022,500,59,55,1530.074654289134,0,186
prospective,20261214,frozen_gcn,2100,1364,1295,47343.42452763796,500,66,62,1940.432331701539,0,186
prospective,20261214,pair_relation,2100,1363,1294,47305.550863015815,500,65,61,1902.5586670793996,0,186
prospective,20261214,global_rrf_070,2100,1370,1300,47573.966349035734,500,72,67,2170.974153099316,0,186
prospective,20261215,frozen_gcn,2100,1483,1404,49129.410975872124,500,48,46,1134.4581672778597,0,186
prospective,20261215,pair_relation,2100,1486,1404,49239.32337254306,500,51,46,1244.3705639487964,0,186
prospective,20261215,global_rrf_070,2100,1486,1404,49233.97858936494,500,51,46,1239.0257807706694,0,186
