method,universe,K,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw
second_only,full,100,0.003071253071253071,94,0.053591790193842644,0.94,88,0.05356055995130858,6,0.05405405405405406,7282.215150898945
second_only,full,163,0.005006142506142506,156,0.08893956670467502,0.9570552147239264,150,0.09129640900791236,6,0.05405405405405406,9175.966812325014
second_only,full,200,0.006142506142506142,193,0.11003420752565564,0.965,187,0.11381618989653074,6,0.05405405405405406,10186.889489374818
second_only,full,326,0.010012285012285013,311,0.17730900798175597,0.9539877300613497,304,0.18502738892270237,7,0.06306306306306306,15657.663691752772
second_only,full,500,0.015356265356265357,469,0.26738882554161914,0.938,461,0.28058429701765064,8,0.07207207207207207,21876.80834248418
second_only,full,651,0.019993857493857493,532,0.3033067274800456,0.8172043010752689,523,0.3183201460742544,9,0.08108108108108109,23774.125750243453
second_only,full,1000,0.030712530712530713,661,0.3768529076396807,0.661,645,0.39257455873402314,16,0.14414414414414414,27005.27892936892
second_only,full,1500,0.04606879606879607,944,0.5381984036488028,0.6293333333333333,922,0.5611685940353013,22,0.1981981981981982,34904.108334824574
second_only,full,1628,0.05,986,0.5621436716077537,0.6056511056511057,960,0.5842970176506391,26,0.23423423423423423,36167.266790796486
second_only,full,2000,0.06142506142506143,1159,0.6607753705815279,0.5795,1124,0.6841144248326233,35,0.3153153153153153,41324.101745659354
second_only,full,2116,0.06498771498771498,1191,0.6790193842645382,0.5628544423440454,1155,0.7029823493609252,36,0.32432432432432434,42563.979878139784
second_only,full,2500,0.07678132678132678,1268,0.7229190421892816,0.5072,1218,0.7413268411442483,50,0.45045045045045046,44647.73197515093
second_only,full,3000,0.09213759213759214,1362,0.7765108323831242,0.454,1296,0.7888009738283628,66,0.5945945945945946,47043.524406011835
second_only,full,3256,0.1,1464,0.8346636259977195,0.44963144963144963,1392,0.8472306755934267,72,0.6486486486486487,49405.40111369564
second_only,full,4000,0.12285012285012285,1623,0.9253135689851767,0.40575,1544,0.9397443700547778,79,0.7117117117117117,54716.80101722449
second_only,full,4884,0.15,1704,0.9714937286202965,0.3488943488943489,1620,0.9860012172854534,84,0.7567567567567568,57353.699028671515
second_only,full,5000,0.15356265356265356,1705,0.9720638540478905,0.341,1621,0.9866098600121729,84,0.7567567567567568,57360.971217489525
second_only,full,6512,0.2,1721,0.9811858608893956,0.26428132678132676,1632,0.9933049300060864,89,0.8018018018018018,57693.75658666655
second_only,full,10000,0.3071253071253071,1733,0.9880273660205245,0.1733,1637,0.9963481436396835,96,0.8648648648648649,57918.088257365984
second_only,full,32560,1.0,1754,1.0,0.05386977886977887,1643,1.0,111,1.0,58428.28332507551
n1_gate_plus_second_only,full,100,0.003071253071253071,99,0.056442417331812995,0.99,93,0.05660377358490566,6,0.05405405405405406,7509.281040700654
n1_gate_plus_second_only,full,163,0.005006142506142506,162,0.09236031927023945,0.9938650306748467,156,0.09494826536822885,6,0.05405405405405406,9302.631137646727
n1_gate_plus_second_only,full,200,0.006142506142506142,199,0.11345496009122007,0.995,193,0.11746804625684723,6,0.05405405405405406,10434.727675281398
n1_gate_plus_second_only,full,326,0.010012285012285013,325,0.18529076396807298,0.9969325153374233,318,0.1935483870967742,7,0.06306306306306306,16096.855680578095
n1_gate_plus_second_only,full,500,0.015356265356265357,499,0.2844925883694413,0.998,492,0.2994522215459525,7,0.06306306306306306,22864.524892646612
n1_gate_plus_second_only,full,651,0.019993857493857493,648,0.3694412770809578,0.9953917050691244,634,0.3858794887401096,14,0.12612612612612611,26519.112683474432
n1_gate_plus_second_only,full,1000,0.030712530712530713,990,0.56442417331813,0.99,961,0.5849056603773585,29,0.26126126126126126,36938.88273978367
n1_gate_plus_second_only,full,1500,0.04606879606879607,1463,0.8340935005701254,0.9753333333333334,1405,0.855143031040779,58,0.5225225225225225,50413.9765670822
n1_gate_plus_second_only,full,1628,0.05,1549,0.8831242873432155,0.9514742014742015,1483,0.9026171637248935,66,0.5945945945945946,53090.153726616925
n1_gate_plus_second_only,full,2000,0.06142506142506143,1580,0.9007981755986317,0.79,1511,0.9196591600730372,69,0.6216216216216216,53766.821855844486
n1_gate_plus_second_only,full,2116,0.06498771498771498,1589,0.9059293044469784,0.750945179584121,1520,0.9251369446135118,69,0.6216216216216216,53958.840776085075
n1_gate_plus_second_only,full,2500,0.07678132678132678,1639,0.9344355758266819,0.6556,1570,0.9555690809494827,69,0.6216216216216216,55276.1961613152
n1_gate_plus_second_only,full,3000,0.09213759213759214,1660,0.9464082098061574,0.5533333333333333,1582,0.9628727936701157,78,0.7027027027027027,55768.164518696576
n1_gate_plus_second_only,full,3256,0.1,1679,0.9572405929304447,0.5156633906633906,1595,0.970785149117468,84,0.7567567567567568,56182.15530683323
