line_label,p_shed_first,rank_first
L013,0.97479916,1
L017,0.97479916,2
L021,0.97479916,3
L022,0.97479916,4
L023,0.97479916,5
L031,0.97479916,6
L033,0.97479916,7
L036,0.97479916,8
L038,0.97479916,9
L039,0.97479916,10
L044,0.97479916,11
L047,0.97479916,12
L048,0.97479916,13
L051,0.97479916,14
L052,0.97479916,15
L053,0.97479916,16
L066,0.97479916,17
L067,0.97479916,18
L069,0.97479916,19
L070,0.97479916,20
L071,0.97479916,21
L075,0.97479916,22
L076,0.97479916,23
L096,0.97479916,24
L098,0.97479916,25
L099,0.97479916,26
L123,0.97479916,27
L124,0.97479916,28
L125,0.97479916,29
L127,0.97479916,30
L138,0.97479916,31
L139,0.97479916,32
L148,0.97479916,33
L151,0.97479916,34
L152,0.97479916,35
L153,0.97479916,36
L178,0.97479916,37
L183,0.97479916,38
L184,0.97479916,39
L020,0.9747643,40
L088,0.97473246,41
L068,0.97401863,42
L019,0.9738632,43
L057,0.973705,44
L084,0.9736483,45
L026,0.97343487,46
L141,0.9733899,47
L065,0.9733479,48
L118,0.9727237,49
L121,0.9722334,50
L008,0.9720581,51
L058,0.97193784,52
L050,0.9702894,53
L104,0.969624,54
L074,0.9694781,55
L106,0.96943384,56
L041,0.9692693,57
L120,0.9684377,58
L015,0.9681692,59
L143,0.9676262,60
L080,0.9674086,61
L087,0.96731466,62
L089,0.9666355,63
L082,0.96502787,64
L011,0.96483564,65
L100,0.96444947,66
L079,0.9637734,67
L004,0.96363044,68
L145,0.96291417,69
L077,0.96260095,70
L128,0.9624422,71
L161,0.9620667,72
L086,0.96188986,73
L018,0.96145725,74
L085,0.9611267,75
L157,0.9606435,76
L093,0.9598494,77
L119,0.95972186,78
L078,0.9595239,79
L054,0.95947593,80
L014,0.9588964,81
L142,0.95852584,82
L107,0.95820624,83
L181,0.95811003,84
L116,0.9569917,85
L144,0.95694506,86
L030,0.95611787,87
L097,0.9558809,88
L056,0.95545745,89
L012,0.9551861,90
L034,0.9547894,91
L126,0.9528747,92
L043,0.9524583,93
L055,0.95217854,94
L108,0.9517102,95
L029,0.9506037,96
L083,0.9501935,97
L185,0.94688034,98
L072,0.946803,99
L035,0.94575644,100
L150,0.9452357,101
L092,0.94338346,102
L180,0.94274384,103
L163,0.9411843,104
L105,0.94027793,105
L042,0.93954295,106
L154,0.9392749,107
L040,0.93856704,108
L005,0.9366381,109
L182,0.9364376,110
L117,0.9357209,111
L032,0.93501306,112
L103,0.93475354,113
L146,0.9320232,114
L028,0.93094546,115
L024,0.92947567,116
L003,0.9294509,117
L160,0.92862976,118
L158,0.92588246,119
L155,0.9257185,120
L164,0.92498565,121
L167,0.9235208,122
L159,0.9234328,123
L027,0.9232175,124
L025,0.92059016,125
L136,0.91996974,126
L102,0.9190915,127
L179,0.9190753,128
L147,0.9168594,129
L049,0.91495484,130
L045,0.9149304,131
L063,0.91227394,132
L133,0.91064966,133
L140,0.9085204,134
L149,0.9076619,135
L162,0.9049829,136
L091,0.9047343,137
L061,0.896413,138
L059,0.8925602,139
L081,0.8867126,140
L129,0.8858747,141
L132,0.8843961,142
L112,0.8839585,143
L156,0.8825687,144
L131,0.8820749,145
L101,0.8809519,146
L111,0.87759733,147
L166,0.8761381,148
L122,0.8732289,149
L168,0.8706986,150
L137,0.8706684,151
L046,0.8699359,152
L002,0.8671973,153
L090,0.86435056,154
L062,0.86364836,155
L064,0.85456383,156
L094,0.8520366,157
L115,0.85157466,158
L060,0.8456867,159
L165,0.841283,160
L113,0.8391404,161
L174,0.8355515,162
L001,0.8345621,163
L130,0.8286059,164
L016,0.8271061,165
L171,0.8270166,166
L135,0.8198203,167
L173,0.8194503,168
L073,0.8040034,169
L114,0.79875803,170
L186,0.7743467,171
L037,0.7679919,172
L169,0.75513226,173
L170,0.74650705,174
L134,0.73865443,175
L095,0.7203822,176
L010,0.7068841,177
L175,0.6950037,178
L177,0.6854857,179
L109,0.684219,180
L110,0.6586171,181
L172,0.65721965,182
L176,0.6514443,183
L006,0.64841884,184
L007,0.27998623,185
L009,0.18767916,186
