method,alpha,epsilon,K,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,captured_total_load_shed_mw,mean_p_first_topk,mean_p_second_topk
alpha_path_prob_a0_eps0,0.0,0.0,1000,661.0,0.3768529076396807,0.661,645.0,0.39257455873402314,27005.27892936892,0.11119751883670599,0.9921404576301575
alpha_path_prob_a0_eps1em6,0.0,1e-06,1000,661.0,0.3768529076396807,0.661,645.0,0.39257455873402314,27005.27892936892,0.11119751883670599,0.9921404576301575
alpha_path_prob_a0_eps1em4,0.0,0.0001,1000,661.0,0.3768529076396807,0.661,645.0,0.39257455873402314,27005.27892936892,0.11119751883670599,0.9921404576301575
alpha_path_prob_a0_eps1em3,0.0,0.001,1000,661.0,0.3768529076396807,0.661,645.0,0.39257455873402314,27005.27892936892,0.11119751883670599,0.9921404576301575
alpha_path_prob_a0_eps1em2,0.0,0.01,1000,661.0,0.3768529076396807,0.661,645.0,0.39257455873402314,27005.27892936892,0.11119751883670599,0.9921404576301575
alpha_path_prob_a005_eps0,0.05,0.0,1000,622.0,0.35461801596351195,0.622,601.0,0.36579427875836884,23777.048451403098,0.202160140423,0.9716497178077698
alpha_path_prob_a005_eps1em6,0.05,1e-06,1000,622.0,0.35461801596351195,0.622,601.0,0.36579427875836884,23777.048451403098,0.202160140423,0.9716497178077698
alpha_path_prob_a005_eps1em4,0.05,0.0001,1000,622.0,0.35461801596351195,0.622,601.0,0.36579427875836884,23777.048451403098,0.202160140423,0.9716497178077698
alpha_path_prob_a005_eps1em3,0.05,0.001,1000,625.0,0.3563283922462942,0.625,604.0,0.3676202069385271,23898.616906762894,0.199944151966,0.9723378001451493
alpha_path_prob_a005_eps1em2,0.05,0.01,1000,636.0,0.36259977194982895,0.636,616.0,0.37492391965916005,24617.365101967844,0.19246056266300002,0.9764961453080178
alpha_path_prob_a01_eps0,0.1,0.0,1000,583.0,0.33238312428734323,0.583,558.0,0.33962264150943394,21699.42312807071,0.252186528036,0.9486471413373947
alpha_path_prob_a01_eps1em6,0.1,1e-06,1000,583.0,0.33238312428734323,0.583,558.0,0.33962264150943394,21699.42312807071,0.252186528036,0.9486471413373947
alpha_path_prob_a01_eps1em4,0.1,0.0001,1000,583.0,0.33238312428734323,0.583,558.0,0.33962264150943394,21699.42312807071,0.25200583346600003,0.9488487389683723
alpha_path_prob_a01_eps1em3,0.1,0.001,1000,584.0,0.3329532497149373,0.584,559.0,0.3402312842361534,21725.093228663223,0.251057004343,0.9491131396889687
alpha_path_prob_a01_eps1em2,0.1,0.01,1000,591.0,0.3369441277080958,0.591,566.0,0.3444917833231893,22138.05523108568,0.24467731568099998,0.9539544165730477
alpha_path_prob_a025_eps0,0.25,0.0,1000,498.0,0.2839224629418472,0.498,478.0,0.2909312233718807,17862.829614180067,0.320268352817,0.897296450316906
alpha_path_prob_a025_eps1em6,0.25,1e-06,1000,498.0,0.2839224629418472,0.498,478.0,0.2909312233718807,17862.829614180067,0.320268352817,0.897296450316906
alpha_path_prob_a025_eps1em4,0.25,0.0001,1000,498.0,0.2839224629418472,0.498,478.0,0.2909312233718807,17862.829614180067,0.32026835281700006,0.897296450316906
alpha_path_prob_a025_eps1em3,0.25,0.001,1000,499.0,0.2844925883694413,0.499,479.0,0.2915398660986001,17895.893956188145,0.320097779844,0.8977450869083404
alpha_path_prob_a025_eps1em2,0.25,0.01,1000,512.0,0.2919042189281642,0.512,492.0,0.2994522215459525,18492.185282162707,0.311085035359,0.9061114049851894
alpha_path_prob_a05_eps0,0.5,0.0,1000,454.0,0.2588369441277081,0.454,431.0,0.26232501521606816,16063.767645318363,0.39135840209,0.8307999639511109
alpha_path_prob_a05_eps1em6,0.5,1e-06,1000,454.0,0.2588369441277081,0.454,431.0,0.26232501521606816,16063.767645318363,0.39135840208999995,0.8307999639511109
alpha_path_prob_a05_eps1em4,0.5,0.0001,1000,454.0,0.2588369441277081,0.454,431.0,0.26232501521606816,16063.767645318363,0.39135840209,0.8307999639511109
alpha_path_prob_a05_eps1em3,0.5,0.001,1000,454.0,0.2588369441277081,0.454,431.0,0.26232501521606816,16063.767645318363,0.39086544220999997,0.831283614218235
alpha_path_prob_a05_eps1em2,0.5,0.01,1000,464.0,0.2645381984036488,0.464,441.0,0.2684114424832623,16422.81235924987,0.38476480437500005,0.8384206350445748
alpha_path_prob_a075_eps0,0.75,0.0,1000,402.0,0.2291904218928164,0.402,381.0,0.23189287888009738,14049.357112216308,0.457427150331,0.7604181630015373
alpha_path_prob_a075_eps1em6,0.75,1e-06,1000,402.0,0.2291904218928164,0.402,381.0,0.23189287888009738,14049.357112216308,0.457427150331,0.7604181630015373
alpha_path_prob_a075_eps1em4,0.75,0.0001,1000,402.0,0.2291904218928164,0.402,381.0,0.23189287888009738,14049.357112216308,0.457427150331,0.7604181630015373
alpha_path_prob_a075_eps1em3,0.75,0.001,1000,402.0,0.2291904218928164,0.402,381.0,0.23189287888009738,14049.357112216312,0.457427150331,0.7604181630015373
alpha_path_prob_a075_eps1em2,0.75,0.01,1000,409.0,0.2331812998859749,0.409,388.0,0.2361533779671333,14289.643988842266,0.44993428421700005,0.7678794296532869
alpha_path_prob_a1_eps0,1.0,0.0,1000,360.0,0.20524515393386544,0.36,341.0,0.20754716981132076,12400.524042676152,0.51919157873,0.6890684499889612
alpha_path_prob_a1_eps1em6,1.0,1e-06,1000,360.0,0.20524515393386544,0.36,341.0,0.20754716981132076,12400.524042676152,0.51919157873,0.6890684499889612
alpha_path_prob_a1_eps1em4,1.0,0.0001,1000,360.0,0.20524515393386544,0.36,341.0,0.20754716981132076,12400.524042676152,0.51919157873,0.6890684499889612
alpha_path_prob_a1_eps1em3,1.0,0.001,1000,361.0,0.20581527936145952,0.361,342.0,0.20815581253804016,12437.291205264368,0.51790263981,0.6907193321809173
alpha_path_prob_a1_eps1em2,1.0,0.01,1000,370.0,0.21094640820980615,0.37,351.0,0.21363359707851493,12783.643084334806,0.506987619142,0.7037198785990476
alpha_path_prob_a0_eps0,0.0,0.0,5000,1705.0,0.9720638540478905,0.341,1621.0,0.9866098600121729,57360.971217489525,0.11290372723409542,0.6798706529349089
alpha_path_prob_a0_eps1em6,0.0,1e-06,5000,1705.0,0.9720638540478905,0.341,1621.0,0.9866098600121729,57360.971217489525,0.11290372723409542,0.6798706529349089
alpha_path_prob_a0_eps1em4,0.0,0.0001,5000,1705.0,0.9720638540478905,0.341,1621.0,0.9866098600121729,57360.971217489525,0.11290372723409542,0.6798706529349089
alpha_path_prob_a0_eps1em3,0.0,0.001,5000,1705.0,0.9720638540478905,0.341,1621.0,0.9866098600121729,57360.971217489525,0.11290372723409542,0.6798706529349089
alpha_path_prob_a0_eps1em2,0.0,0.01,5000,1705.0,0.9720638540478905,0.341,1621.0,0.9866098600121729,57360.971217489525,0.11290372723409542,0.6798706529349089
alpha_path_prob_a005_eps0,0.05,0.0,5000,1709.0,0.9743443557582668,0.3418,1622.0,0.9872185027388922,57416.66935579983,0.11978042903611522,0.6794185487627983
alpha_path_prob_a005_eps1em6,0.05,1e-06,5000,1709.0,0.9743443557582668,0.3418,1622.0,0.9872185027388922,57416.66935579983,0.11978042903611522,0.6794185487627983
alpha_path_prob_a005_eps1em4,0.05,0.0001,5000,1709.0,0.9743443557582668,0.3418,1622.0,0.9872185027388922,57416.66935579983,0.11973617655082662,0.6794572743147612
alpha_path_prob_a005_eps1em3,0.05,0.001,5000,1709.0,0.9743443557582668,0.3418,1622.0,0.9872185027388922,57416.66935579983,0.11950589880426,0.6795223510116338
alpha_path_prob_a005_eps1em2,0.05,0.01,5000,1709.0,0.9743443557582668,0.3418,1622.0,0.9872185027388922,57416.66935579983,0.11855082529835799,0.6796570911079645
alpha_path_prob_a01_eps0,0.1,0.0,5000,1708.0,0.9737742303306728,0.3416,1621.0,0.9866098600121729,57305.213341616334,0.1259882205151006,0.677752044531703
alpha_path_prob_a01_eps1em6,0.1,1e-06,5000,1708.0,0.9737742303306728,0.3416,1621.0,0.9866098600121729,57305.213341616334,0.1259882205151006,0.677752044531703
alpha_path_prob_a01_eps1em4,0.1,0.0001,5000,1709.0,0.9743443557582668,0.3418,1622.0,0.9872185027388922,57339.094913472625,0.12571019604531639,0.678141743439436
alpha_path_prob_a01_eps1em3,0.1,0.001,5000,1710.0,0.9749144811858609,0.342,1623.0,0.9878271454656117,57372.97648532894,0.12554322907050922,0.6784591907024383
alpha_path_prob_a01_eps1em2,0.1,0.01,5000,1710.0,0.9749144811858609,0.342,1623.0,0.9878271454656117,57372.97648532892,0.12327212391648,0.679122631263733
alpha_path_prob_a025_eps0,0.25,0.0,5000,1665.0,0.9492588369441277,0.333,1579.0,0.9610468654899574,55895.61364499038,0.151295275812866,0.6603204867765308
alpha_path_prob_a025_eps1em6,0.25,1e-06,5000,1665.0,0.9492588369441277,0.333,1579.0,0.9610468654899574,55895.61364499038,0.151295275812866,0.6603204867765308
alpha_path_prob_a025_eps1em4,0.25,0.0001,5000,1671.0,0.9526795895096921,0.3342,1585.0,0.9646987218502739,56131.05404807003,0.1503747168843088,0.6624042582824826
alpha_path_prob_a025_eps1em3,0.25,0.001,5000,1680.0,0.9578107183580388,0.336,1595.0,0.970785149117468,56411.2640506273,0.1483768097389866,0.6676499263629317
alpha_path_prob_a025_eps1em2,0.25,0.01,5000,1710.0,0.9749144811858609,0.342,1624.0,0.9884357881923311,57354.38949003271,0.1402134451253212,0.6749814016342163
alpha_path_prob_a05_eps0,0.5,0.0,5000,1492.0,0.8506271379703535,0.2984,1404.0,0.8545343883140597,50036.95929337284,0.20470248252456,0.5991842840462923
alpha_path_prob_a05_eps1em6,0.5,1e-06,5000,1492.0,0.8506271379703535,0.2984,1404.0,0.8545343883140597,50036.95929337284,0.20470248252456,0.5991842840462923
alpha_path_prob_a05_eps1em4,0.5,0.0001,5000,1493.0,0.8511972633979475,0.2986,1405.0,0.855143031040779,50058.60775478918,0.20404394627880001,0.6000267312988639
alpha_path_prob_a05_eps1em3,0.5,0.001,5000,1533.0,0.8740022805017104,0.3066,1445.0,0.8794887401095557,51529.8464293854,0.20000567042474,0.6111281796805561
alpha_path_prob_a05_eps1em2,0.5,0.01,5000,1648.0,0.9395667046750285,0.3296,1562.0,0.9506999391357274,55367.71836235033,0.1791253427654826,0.6524930391713977
alpha_path_prob_a075_eps0,0.75,0.0,5000,1317.0,0.7508551881413911,0.2634,1228.0,0.7474132684114425,44045.24542484142,0.25117836588942,0.5366731598827988
alpha_path_prob_a075_eps1em6,0.75,1e-06,5000,1317.0,0.7508551881413911,0.2634,1228.0,0.7474132684114425,44045.24542484142,0.25117836588942,0.5366731598827988
alpha_path_prob_a075_eps1em4,0.75,0.0001,5000,1318.0,0.7514253135689852,0.2636,1229.0,0.7480219111381619,44082.012587429635,0.25102130023494,0.5371614533655346
