method,candidate_evaluations,critical_paths_found,relay_cascade_paths_found,captured_load_shed_mw
strict_path_prob,100,57,51,2018.21342097023
strict_path_prob,163,85,79,3030.497140350286
strict_path_prob,326,139,129,4831.639565859364
strict_path_prob,500,203,190,7027.016386988351
strict_path_prob,651,250,237,8657.416881273051
strict_path_prob,1000,360,341,12400.524042676152
strict_path_prob,1628,559,522,18729.60131236268
strict_path_prob,2000,634,593,21342.40583018616
strict_path_prob,3256,922,859,31083.7885346141
strict_path_prob,5000,1185,1099,39757.715412389065
strict_path_prob,10000,1531,1434,51170.796120571315
second_only,100,94,88,7282.215150898945
second_only,163,156,150,9175.966812325014
second_only,326,311,304,15657.663691752772
second_only,500,469,461,21876.80834248418
second_only,651,532,523,23774.125750243453
second_only,1000,661,645,27005.27892936892
second_only,1628,986,960,36167.266790796486
second_only,2000,1159,1124,41324.101745659354
second_only,3256,1464,1392,49405.40111369564
second_only,5000,1705,1621,57360.971217489525
second_only,10000,1733,1637,57918.088257365984
line_order,100,6,6,179.80777282719086
line_order,163,7,7,223.4004240652623
line_order,326,15,15,487.91672862899384
line_order,500,24,24,796.0256844307969
line_order,651,35,35,1135.9132942332901
line_order,1000,56,56,1820.9871955717622
line_order,1628,95,76,2985.2472332367124
line_order,2000,114,91,3632.5233164534484
line_order,3256,184,161,5912.766641855772
line_order,5000,281,258,9105.886062534737
line_order,10000,554,501,18062.068459450522
alpha_path_prob_a0_eps0,100,94,88,7282.215150898945
alpha_path_prob_a0_eps0,163,156,150,9175.966812325014
alpha_path_prob_a0_eps0,326,311,304,15657.663691752772
alpha_path_prob_a0_eps0,500,469,461,21876.80834248418
alpha_path_prob_a0_eps0,651,532,523,23774.125750243453
alpha_path_prob_a0_eps0,1000,661,645,27005.27892936892
alpha_path_prob_a0_eps0,1628,986,960,36167.266790796486
alpha_path_prob_a0_eps0,2000,1159,1124,41324.101745659354
alpha_path_prob_a0_eps0,3256,1464,1392,49405.40111369564
alpha_path_prob_a0_eps0,5000,1705,1621,57360.971217489525
alpha_path_prob_a0_eps0,10000,1733,1637,57918.088257365984
alpha_path_prob_a025_eps1em2,100,62,60,2422.9061791407535
alpha_path_prob_a025_eps1em2,163,91,85,3453.6111018758893
alpha_path_prob_a025_eps1em2,326,175,166,6468.931876715507
alpha_path_prob_a025_eps1em2,500,265,253,9717.949587479634
alpha_path_prob_a025_eps1em2,651,334,318,12213.568806902826
alpha_path_prob_a025_eps1em2,1000,512,492,18492.185282162707
alpha_path_prob_a025_eps1em2,1628,835,789,29777.846755000115
alpha_path_prob_a025_eps1em2,2000,1002,948,35316.520223084415
alpha_path_prob_a025_eps1em2,3256,1455,1383,49556.96353794186
alpha_path_prob_a025_eps1em2,5000,1710,1624,57354.38949003271
alpha_path_prob_a025_eps1em2,10000,1736,1639,57962.05344210573
