sample_index,seed,split,sample_type,current_outage_labels,num_candidate_labels,num_positive_labels
0,20260708,test,S0,,186,9
1,20260708,test,S1,"L152,L156",184,8
2,20260708,test,S1,L018,185,7
3,20260708,test,S1,L001,185,9
4,20260708,test,S1,"L041,L111,L182",183,8
5,20260708,test,S1,L027,185,11
6,20260708,test,S1,"L144,L156",184,9
7,20260708,test,S1,L026,185,8
8,20260708,test,S1,L014,185,8
9,20260708,test,S1,L064,185,9
10,20260708,test,S1,L053,185,8
11,20260708,test,S1,L067,185,7
12,20260708,test,S1,"L128,L141,L156",183,8
13,20260708,test,S1,L166,185,8
14,20260708,test,S1,"L018,L045,L046,L050,L060,L102,L109,L110,L111,L113,L134,L155,L156,L178,L179,L182",170,12
15,20260708,test,S1,L156,185,7
16,20260708,test,S1,L004,185,9
17,20260708,test,S1,"L003,L018",184,9
18,20260708,test,S1,L101,185,9
19,20260708,test,S1,L161,185,10
20,20260708,test,S1,L142,185,7
21,20260708,test,S1,L040,185,10
22,20260708,test,S1,L185,185,10
23,20260708,test,S1,L109,185,8
24,20260708,test,S1,"L018,L045,L046,L102,L109,L110,L111,L113,L133,L155,L156,L178,L179,L182",172,9
25,20260708,test,S1,L028,185,11
26,20260708,test,S1,"L018,L029,L045",183,12
27,20260708,test,S1,L085,185,7
28,20260708,test,S1,L075,185,7
29,20260708,test,S1,L105,185,8
30,20260708,test,S1,L076,185,7
31,20260708,test,S1,L104,185,7
32,20260708,test,S1,L116,185,8
33,20260708,test,S1,L112,185,8
34,20260708,test,S1,L125,185,9
35,20260708,test,S1,L115,185,8
36,20260708,test,S1,"L018,L031,L045,L109,L111,L182",180,11
37,20260708,test,S1,L139,185,8
38,20260708,test,S1,L186,185,9
39,20260708,test,S1,L110,185,8
40,20260708,test,S1,"L128,L129,L156",183,9
41,20260708,test,S1,"L018,L045,L054,L109,L111",181,27
42,20260708,test,S1,L086,185,7
43,20260708,test,S1,"L093,L102",184,8
44,20260708,test,S1,L124,185,7
45,20260708,test,S1,"L011,L018",184,9
46,20260708,test,S1,L052,185,8
47,20260708,test,S1,L083,185,8
48,20260708,test,S1,L120,185,8
49,20260708,test,S1,L079,185,8
50,20260708,test,S1,L045,185,9
51,20260708,test,S1,L143,185,8
52,20260708,test,S1,L039,185,8
53,20260708,test,S1,L074,185,10
54,20260708,test,S1,L165,185,7
55,20260708,test,S1,L002,185,7
56,20260708,test,S1,L046,185,8
57,20260708,test,S1,L126,185,9
58,20260708,test,S1,L048,185,8
59,20260708,test,S1,L058,185,9
60,20260708,test,S1,L081,185,10
61,20260708,test,S1,"L018,L019,L020,L036,L045,L046,L102,L109,L110,L111,L113,L134,L155,L156,L178,L179,L182",169,11
62,20260708,test,S1,L080,185,10
63,20260708,test,S1,L179,185,8
64,20260708,test,S1,"L008,L018,L019,L020,L045,L046,L102,L109,L110,L111,L113,L128,L134,L155,L156,L178,L182",169,14
65,20260708,test,S1,L175,185,9
66,20260708,test,S1,L155,185,9
67,20260708,test,S1,L167,185,7
68,20260708,test,S1,L066,185,7
69,20260708,test,S1,L020,185,9
70,20260708,test,S1,"L107,L111",184,10
71,20260708,test,S1,L119,185,8
72,20260708,test,S1,"L018,L023,L045",183,9
73,20260708,test,S1,"L034,L182",184,10
74,20260708,test,S1,"L108,L111",184,8
75,20260708,test,S1,L102,185,7
76,20260708,test,S1,L172,185,7
77,20260708,test,S1,L100,185,8
78,20260708,test,S1,L015,185,9
79,20260708,test,S1,L140,185,7
80,20260708,test,S1,L127,185,9
81,20260708,test,S1,L069,185,9
82,20260708,test,S1,L084,185,8
83,20260708,test,S1,L088,185,8
84,20260708,test,S1,L114,185,8
85,20260708,test,S1,L168,185,8
86,20260708,test,S1,L013,185,9
87,20260708,test,S1,L160,185,10
88,20260708,test,S1,L006,185,9
89,20260708,test,S1,L171,185,10
90,20260708,test,S1,"L018,L045,L046,L102,L109,L110,L111,L113,L134,L155,L156,L177,L178,L179,L182",171,9
91,20260708,test,S1,L092,185,7
92,20260708,test,S1,"L009,L018,L019,L030,L045,L046,L102,L109,L110,L111,L113,L128,L134,L155,L156,L178,L179,L182",168,11
93,20260708,test,S1,L095,185,8
94,20260708,test,S1,L030,185,7
95,20260708,test,S1,"L012,L018",184,8
96,20260708,test,S1,L149,185,8
97,20260708,test,S1,L173,185,10
98,20260708,test,S1,L044,185,8
99,20260708,test,S1,"L094,L102",184,8
100,20260708,test,S1,L182,185,8
101,20260701,train,S0,,186,9
102,20260701,train,S1,L019,185,9
103,20260701,train,S1,"L102,L103",184,10
104,20260701,train,S1,L126,185,9
105,20260701,train,S1,L074,185,12
106,20260701,train,S1,"L045,L102,L109,L110,L111,L113,L115,L118,L134,L140,L143,L155,L156,L178,L186",171,10
107,20260701,train,S1,L002,185,9
108,20260701,train,S1,L060,185,11
109,20260701,train,S1,"L137,L156",184,10
110,20260701,train,S1,L059,185,11
111,20260701,train,S1,L102,185,8
112,20260701,train,S1,"L032,L045",184,9
113,20260701,train,S1,L158,185,9
114,20260701,train,S1,L115,185,8
115,20260701,train,S1,"L129,L140,L156",183,8
116,20260701,train,S1,L082,185,9
117,20260701,train,S1,"L045,L054",184,23
118,20260701,train,S1,L148,185,9
119,20260701,train,S1,L003,185,8
120,20260701,train,S1,"L138,L140",184,9
121,20260701,train,S1,L077,185,8
122,20260701,train,S1,L127,185,9
123,20260701,train,S1,L146,185,9
124,20260701,train,S1,L022,185,10
125,20260701,train,S1,L089,185,9
126,20260701,train,S1,L153,185,8
127,20260701,train,S1,L034,185,11
128,20260701,train,S1,L080,185,11
129,20260701,train,S1,L011,185,9
130,20260701,train,S1,"L115,L117",184,9
131,20260701,train,S1,"L093,L102",184,8
132,20260701,train,S1,L122,185,10
133,20260701,train,S1,"L018,L019,L020,L036,L045,L102,L109,L110,L111,L113,L115,L134,L140,L143,L155,L156,L178,L179",168,11
134,20260701,train,S1,L144,185,9
135,20260701,train,S1,L071,185,10
136,20260701,train,S1,L076,185,8
137,20260701,train,S1,L170,185,8
138,20260701,train,S1,L106,185,9
139,20260701,train,S1,"L007,L018,L019,L030,L045,L102,L109,L110,L111,L113,L134,L140,L143,L155,L156,L178",170,11
140,20260701,train,S1,"L045,L048",184,10
141,20260701,train,S1,L092,185,9
142,20260701,train,S1,"L031,L045,L109,L111,L182",181,16
143,20260701,train,S1,L172,185,9
144,20260701,train,S1,L063,185,9
145,20260701,train,S1,L026,185,9
146,20260701,train,S1,L078,185,8
147,20260701,train,S1,L178,185,9
148,20260701,train,S1,L075,185,8
149,20260701,train,S1,L088,185,8
150,20260701,train,S1,L005,185,9
151,20260701,train,S1,"L008,L018,L019,L020,L045,L102,L109,L110,L111,L113,L115,L134,L140,L143,L155",171,14
152,20260701,train,S1,"L045,L108,L115",183,10
153,20260701,train,S1,L162,185,10
154,20260701,train,S1,"L044,L045",184,9
155,20260701,train,S1,L052,185,11
156,20260701,train,S1,L171,185,10
157,20260701,train,S1,L104,185,9
158,20260701,train,S1,L100,185,9
159,20260701,train,S1,L157,185,10
160,20260701,train,S1,L045,185,9
161,20260701,train,S1,"L018,L019,L021,L045",182,10
162,20260701,train,S1,"L045,L061",184,12
163,20260701,train,S1,L112,185,9
164,20260701,train,S1,L085,185,8
165,20260701,train,S1,L154,185,8
166,20260701,train,S1,L070,185,11
167,20260701,train,S1,L110,185,9
168,20260701,train,S1,L065,185,9
169,20260701,train,S1,"L029,L045",184,12
170,20260701,train,S1,L068,185,10
171,20260701,train,S1,L186,185,9
172,20260701,train,S1,L046,185,9
