first_line,num_suppressed_critical,num_suppressed_relay,mean_p_first,median_p_first,p10_p_first,p90_p_first,mean_p_second,median_p_second,mean_rank_gap,max_rank_gap,max_total_load_shed_mw,representative_paths,representative_second_lines,relay_cascade_ratio,mechanism_distribution
L088,11,10,0.00023202552999999998,0.00023202553,0.00023202553,0.00023202553,0.8318452293222601,0.8636288046836853,18354.363636363636,18971,81.35922639729833,L088->L181;L088->L183;L088->L016;L088->L090;L088->L061,L181;L183;L016;L090;L061,0.9090909090909091,"{""island_only"": 1, ""relay_cascade"": 10}"
L122,11,11,0.001769534,0.001769534,0.001769534,0.001769534,0.861449431289326,0.9660577774047852,10255.636363636364,10903,81.35922639729833,L122->L183;L122->L181;L122->L061;L122->L016;L122->L184,L183;L181;L061;L016;L184,1.0,"{""relay_cascade"": 11}"
L095,10,10,8.346317e-06,8.346317e-06,8.346317e-06,8.346317e-06,0.8906667590141296,0.9699332118034363,28033.2,28969,81.35922639729833,L095->L183;L095->L181;L095->L016;L095->L180;L095->L047,L183;L181;L016;L180;L047,1.0,"{""relay_cascade"": 10}"
L084,10,10,0.00041880562999999993,0.00041880563,0.00041880563,0.00041880563,0.8703260093927383,0.8952034115791321,15981.9,16590,81.35922639729833,L084->L181;L084->L183;L084->L061;L084->L016;L084->L180,L181;L183;L061;L016;L180,1.0,"{""relay_cascade"": 10}"
L087,10,10,0.00042327464,0.00042327464,0.00042327464,0.00042327464,0.8860403060913086,0.9450328946113586,15927.5,16532,81.35922639729833,L087->L181;L087->L183;L087->L016;L087->L061;L087->L180,L181;L183;L016;L061;L180,1.0,"{""relay_cascade"": 10}"
L079,10,10,0.0005169866,0.0005169866,0.0005169866,0.0005169866,0.8859755605459213,0.9447073638439178,15104.3,15725,81.35922639729833,L079->L181;L079->L183;L079->L016;L079->L061;L079->L180,L181;L183;L016;L061;L180,1.0,"{""relay_cascade"": 10}"
L065,10,10,0.0011059785,0.0011059785,0.0011059785,0.0011059785,0.8871351569890976,0.9250365495681763,11986.8,12613,81.35922639729833,L065->L181;L065->L061;L065->L183;L065->L016;L065->L180,L181;L061;L183;L016;L180,1.0,"{""relay_cascade"": 10}"
L026,10,10,0.0012266245000000001,0.0012266245,0.0012266245,0.0012266245,0.9031935781240463,0.9620468020439148,11629.0,12162,81.35922639729833,L026->L061;L026->L181;L026->L183;L026->L016;L026->L051,L061;L181;L183;L016;L051,1.0,"{""relay_cascade"": 10}"
L093,9,9,0.00015086027,0.00015086027,0.00015086027,0.00015086027,0.8829900622367859,0.9600990414619446,20047.11111111111,20745,81.35922639729833,L093->L183;L093->L181;L093->L016;L093->L180;L093->L051,L183;L181;L016;L180;L051,1.0,"{""relay_cascade"": 9}"
L091,9,9,0.00015664459,0.00015664459,0.00015664459,0.00015664459,0.8265484505229526,0.9189056754112244,19914.777777777777,20596,81.35922639729833,L091->L183;L091->L181;L091->L016;L091->L061;L091->L184,L183;L181;L016;L061;L184,1.0,"{""relay_cascade"": 9}"
L089,9,9,0.0003553937,0.0003553937,0.0003553937,0.0003553937,0.841566628879971,0.9480153918266296,16773.777777777777,17197,81.35922639729833,L089->L181;L089->L016;L089->L183;L089->L061;L089->L184,L181;L016;L183;L061;L184,1.0,"{""relay_cascade"": 9}"
L128,9,9,0.00074385025,0.00074385025,0.00074385025,0.00074385025,0.8096599611971114,0.9206719994544983,13700.555555555555,14219,81.35922639729833,L128->L181;L128->L061;L128->L016;L128->L183;L128->L184,L181;L061;L016;L183;L184,1.0,"{""relay_cascade"": 9}"
L140,9,9,0.00086999557,0.00086999557,0.00086999557,0.00086999557,0.7843215399318271,0.9419952630996704,13230.777777777777,13701,81.35922639729833,L140->L183;L140->L061;L140->L051;L140->L181;L140->L016,L183;L061;L051;L181;L016,1.0,"{""relay_cascade"": 9}"
L085,9,9,0.001427943,0.001427943,0.001427943,0.001427943,0.803362743722068,0.9459046721458435,11168.333333333334,11605,81.35922639729833,L085->L051;L085->L183;L085->L181;L085->L061;L085->L016,L051;L183;L181;L061;L016,1.0,"{""relay_cascade"": 9}"
L086,9,9,0.001434404,0.001434404,0.001434404,0.001434404,0.8033686478932699,0.9459052085876465,11149.555555555555,11586,81.35922639729833,L086->L051;L086->L183;L086->L181;L086->L061;L086->L016,L051;L183;L181;L061;L016,1.0,"{""relay_cascade"": 9}"
L153,9,9,0.0015243894,0.0015243894,0.0015243894,0.0015243894,0.7677836649947696,0.861674427986145,10948.0,11441,81.35922639729833,L153->L183;L153->L181;L153->L061;L153->L016;L153->L051,L183;L181;L061;L016;L051,1.0,"{""relay_cascade"": 9}"
L152,9,9,0.002143442,0.002143442,0.002143442,0.002143442,0.7972239090336694,0.9114639163017273,9569.555555555555,10114,81.35922639729833,L152->L183;L152->L181;L152->L016;L152->L061;L152->L051,L183;L181;L016;L061;L051,1.0,"{""relay_cascade"": 9}"
L124,9,9,0.002207962,0.002207962,0.002207962,0.002207962,0.8182190159956614,0.9210411310195923,9356.555555555555,9969,81.35922639729833,L124->L183;L124->L181;L124->L016;L124->L061;L124->L184,L183;L181;L016;L061;L184,1.0,"{""relay_cascade"": 9}"
L148,9,9,0.0023030667,0.0023030667,0.0023030667,0.0023030667,0.8751718766159482,0.9532620906829834,9191.0,9792,81.35922639729833,L148->L181;L148->L061;L148->L016;L148->L183;L148->L147,L181;L061;L016;L183;L147,1.0,"{""relay_cascade"": 9}"
L119,8,8,0.0024959072,0.0024959072,0.0024959072,0.0024959072,0.8198850005865097,0.8930428624153137,8919.25,9439,81.35922639729833,L119->L181;L119->L183;L119->L016;L119->L061;L119->L184,L181;L183;L016;L061;L184,1.0,"{""relay_cascade"": 8}"
L042,8,8,0.0040770248,0.0040770248,0.0040770248,0.0040770248,0.6599557064473629,0.5361088514328003,7243.75,7708,81.35922639729833,L042->L183;L042->L016;L042->L181;L042->L061;L042->L047,L183;L016;L181;L061;L047,1.0,"{""relay_cascade"": 8}"
L154,7,7,0.0025999482999999996,0.0025999483,0.0025999483,0.0025999483,0.8857519328594208,0.9978664517402649,8902.42857142857,9360,81.35922639729833,L154->L181;L154->L183;L154->L016;L154->L061;L154->L147,L181;L183;L016;L061;L147,1.0,"{""relay_cascade"": 7}"
L078,6,6,0.0026894393,0.0026894393,0.0026894393,0.0026894393,0.8757528613011042,0.9820401966571808,8733.0,9164,81.35922639729833,L078->L181;L078->L183;L078->L016;L078->L061;L078->L180,L181;L183;L016;L061;L180,1.0,"{""relay_cascade"": 6}"
L144,6,6,0.0033844427999999995,0.0033844428,0.0033844428,0.0033844428,0.896362101038297,0.9975239932537079,8047.333333333333,8299,81.35922639729833,L144->L183;L144->L181;L144->L016;L144->L047;L144->L061,L183;L181;L016;L047;L061,1.0,"{""relay_cascade"": 6}"
L161,6,6,0.007952171,0.007952171,0.007952171,0.007952171,0.9934996565183004,0.9979742467403412,5370.333333333333,5697,81.35922639729833,L161->L181;L161->L183;L161->L016;L161->L147;L161->L162,L181;L183;L016;L147;L162,1.0,"{""relay_cascade"": 6}"
L145,5,5,0.0031520803,0.0031520803,0.0031520803,0.0031520803,0.8844545602798461,0.9978339076042175,8390.0,8732,81.35922639729833,L145->L183;L145->L181;L145->L016;L145->L180;L145->L061,L183;L181;L016;L180;L061,1.0,"{""relay_cascade"": 5}"
L012,5,5,0.004190824,0.004190824,0.004190824,0.004190824,0.7533957242965699,0.9750139117240906,7287.2,7702,81.35922639729833,L012->L181;L012->L183;L012->L184;L012->L061;L012->L051,L181;L183;L184;L061;L051,1.0,"{""relay_cascade"": 5}"
L106,5,5,0.0047916686,0.0047916686,0.0047916686,0.0047916686,0.8873705327510834,0.9973300695419312,6844.6,7228,81.35922639729833,L106->L181;L106->L183;L106->L016;L106->L147;L106->L061,L181;L183;L016;L147;L061,1.0,"{""relay_cascade"": 5}"
L151,5,5,0.0050427,0.0050427,0.0050427,0.0050427,0.879460197687149,0.9997416138648987,6818.4,7131,81.35922639729833,L151->L183;L151->L181;L151->L016;L151->L147;L151->L061,L183;L181;L016;L147;L061,1.0,"{""relay_cascade"": 5}"
L103,5,5,0.0053495197,0.0053495197,0.0053495197,0.0053495197,0.9942798972129822,0.9997158646583557,6620.0,6950,81.35922639729833,L103->L183;L103->L181;L103->L016;L103->L047;L103->L101,L183;L181;L016;L047;L101,1.0,"{""relay_cascade"": 5}"
L092,5,5,0.0055131633,0.0055131633,0.0055131633,0.0055131633,0.8733073651790619,0.9997414946556091,6480.4,6870,81.35922639729833,L092->L183;L092->L181;L092->L016;L092->L047;L092->L061,L183;L181;L016;L047;L061,1.0,"{""relay_cascade"": 5}"
L082,5,5,0.008850796,0.008850796,0.008850796,0.008850796,0.9941328883171081,0.9997527003288269,5065.8,5268,81.35922639729833,L082->L181;L082->L183;L082->L016;L082->L083;L082->L047,L181;L183;L016;L083;L047,1.0,"{""relay_cascade"": 5}"
L064,5,5,0.009235871,0.009235871,0.009235871,0.009235871,0.9937313318252563,0.9996592998504639,4987.8,5257,81.35922639729833,L064->L183;L064->L181;L064->L016;L064->L180;L064->L047,L183;L181;L016;L180;L047,1.0,"{""relay_cascade"": 5}"
L121,5,5,0.0099588195,0.0099588195,0.0099588195,0.0099588195,0.9923768281936646,0.9997368454933167,4757.0,5158,81.35922639729833,L121->L183;L121->L181;L121->L016;L121->L047;L121->L147,L183;L181;L016;L047;L147,1.0,"{""relay_cascade"": 5}"
L077,4,4,0.003543025,0.003543025,0.003543025,0.003543025,0.862467996776104,0.9985084235668182,7914.75,8228,81.35922639729833,L077->L181;L077->L183;L077->L016;L077->L061,L181;L183;L016;L061,1.0,"{""relay_cascade"": 4}"
L142,4,4,0.004392685,0.004392685,0.004392685,0.004392685,0.8490902632474899,0.9998207986354828,7287.5,7513,81.35922639729833,L142->L183;L142->L181;L142->L016;L142->L061,L183;L181;L016;L061,1.0,"{""relay_cascade"": 4}"
L120,4,4,0.0044830916,0.0044830916,0.0044830916,0.0044830916,0.8528866097331047,0.9985157251358032,7168.25,7417,81.35922639729833,L120->L181;L120->L183;L120->L016;L120->L061,L181;L183;L016;L061,1.0,"{""relay_cascade"": 4}"
L105,4,4,0.004729476,0.004729476,0.004729476,0.004729476,0.8642022684216499,0.9984689056873322,6947.5,7256,81.35922639729833,L105->L181;L105->L183;L105->L016;L105->L061,L181;L183;L016;L061,1.0,"{""relay_cascade"": 4}"
L109,4,4,0.005046738,0.005046738,0.005046738,0.005046738,0.8502340242266655,0.9997924566268921,6858.25,7131,81.35922639729833,L109->L183;L109->L181;L109->L016;L109->L061,L183;L181;L016;L061,1.0,"{""relay_cascade"": 4}"
L057,4,4,0.0056104986,0.0056104986,0.0056104986,0.0056104986,0.9932879656553268,0.9984546899795532,6447.75,6769,81.35922639729833,L057->L181;L057->L183;L057->L016;L057->L051,L181;L183;L016;L051,1.0,"{""relay_cascade"": 4}"
L137,4,4,0.005739973,0.005739973,0.005739973,0.005739973,0.9953052848577499,0.999579131603241,6336.25,6533,81.35922639729833,L137->L181;L137->L183;L137->L016;L137->L047,L181;L183;L016;L047,1.0,"{""relay_cascade"": 4}"
L136,4,4,0.006253417,0.006253417,0.006253417,0.006253417,0.9961525350809097,0.9986757934093475,6085.0,6350,81.35922639729833,L136->L181;L136->L183;L136->L016;L136->L047,L181;L183;L016;L047,1.0,"{""relay_cascade"": 4}"
L127,3,3,0.007957676,0.007957676,0.007957676,0.007957676,0.9998871286710104,0.9999266862869263,5662.0,5782,81.35922639729833,L127->L183;L127->L181;L127->L016,L183;L181;L016,1.0,"{""relay_cascade"": 3}"
L076,3,3,0.008099804,0.008099804,0.008099804,0.008099804,0.9998359084129333,0.9998693466186523,5492.333333333333,5525,81.35922639729833,L076->L181;L076->L183;L076->L016,L181;L183;L016,1.0,"{""relay_cascade"": 3}"
L075,3,3,0.008174051,0.008174051,0.008174051,0.008174051,0.9998359084129333,0.9998693466186523,5466.333333333333,5499,81.35922639729833,L075->L181;L075->L183;L075->L016,L181;L183;L016,1.0,"{""relay_cascade"": 3}"
L123,3,3,0.009068297,0.009068297,0.009068297,0.009068297,0.9997450510660807,0.999665379524231,5146.0,5280,81.35922639729833,L123->L181;L123->L183;L123->L016,L181;L183;L016,1.0,"{""relay_cascade"": 3}"
L108,2,2,0.010631365,0.010631365,0.010631365,0.010631365,0.9864963293075562,0.9864963293075562,4308.5,4387,22.50545676159403,L108->L180;L108->L054,L180;L054,1.0,"{""relay_cascade"": 2}"
