method,acquisition_seed,training_oracle_labels,training_oracle_fraction,validation_s1_average_precision,search_num_valid_paths,search_num_critical_paths,search_path_prob_K90,search_path_prob_K95,search_path_prob_K99,search_path_prob_K100,search_residual_path_prob_K90,search_residual_path_prob_K95,search_residual_path_prob_K99,search_residual_path_prob_K100,search_second_only_K90,search_second_only_K95,search_second_only_K99,search_second_only_K100,search_residual_second_only_K90,search_residual_second_only_K95,search_residual_second_only_K99,search_residual_second_only_K100
active_standalone,20260730,61973,0.05000032272326802,0.495208423761516,32560,1754,1893,3061,15088,32213,13031,21984,28128,30453,1867,2741,15265,32353,12428,22308,28422,30593
active_standalone,20260731,61973,0.05000032272326802,0.48879678897610873,32560,1754,1901,4047,24688,32082,21663,26160,29410,30322,1871,3537,25110,32133,21277,26525,29492,30373
active_standalone,20260732,61973,0.05000032272326802,0.4881476574913425,32560,1754,1860,3117,25977,31380,23778,26758,29606,29620,1831,2595,26853,31884,24841,27093,30096,30124
active_standalone,20260733,61973,0.05000032272326802,0.4588727427380936,32560,1754,1935,4285,23306,30904,21380,25833,28934,29144,1940,4105,23537,30956,20819,25450,29038,29196
active_standalone,20260734,61973,0.05000032272326802,0.43909090913034826,32560,1754,1867,3337,19972,31601,17928,20835,28920,29841,1883,3398,20354,31615,17888,21501,28940,29855
dual_anchor_active_second,20260730,118119,0.0952993742395833,0.495208423761516,32560,1754,1890,2919,14406,32213,12521,21433,28024,30453,1867,2741,15265,32353,12428,22308,28422,30593
dual_anchor_active_second,20260731,118013,0.0952138525735567,0.48879678897610873,32560,1754,1940,3587,24665,31986,22329,25964,29322,30226,1871,3537,25110,32133,21277,26525,29492,30373
dual_anchor_active_second,20260732,118010,0.09521143214904651,0.4881476574913425,32560,1754,1857,2735,26985,31824,24558,26867,30032,30064,1831,2595,26853,31884,24841,27093,30096,30124
dual_anchor_active_second,20260733,118026,0.09522434107976752,0.4588727427380936,32560,1754,1921,4276,23899,30780,21078,25409,28802,29020,1940,4105,23537,30956,20819,25450,29038,29196
dual_anchor_active_second,20260734,118005,0.0952073981081962,0.43909090913034826,32560,1754,1912,3423,20550,31489,18116,21170,28524,29729,1883,3398,20354,31615,17888,21501,28940,29855
dual_anchor_geometric_second,20260730,118119,0.0952993742395833,0.4932640936044557,32560,1754,1883,2992,13947,30138,11657,14919,25009,28378,1905,2677,14589,30397,12191,15387,25177,28637
dual_anchor_geometric_second,20260731,118013,0.0952138525735567,0.4922660028906541,32560,1754,1930,3012,17232,30315,13895,19412,28381,28555,1863,2938,18297,30703,14988,18555,28728,28943
dual_anchor_geometric_second,20260732,118010,0.09521143214904651,0.48827368848051406,32560,1754,1868,2915,20920,31063,18399,21757,27449,29303,1829,2559,20457,31230,17578,21611,27573,29470
dual_anchor_geometric_second,20260733,118026,0.09522434107976752,0.4775575999842571,32560,1754,1933,3199,16869,27872,13148,17062,25789,26112,1936,3218,16260,28379,13192,17792,25977,26619
dual_anchor_geometric_second,20260734,118005,0.0952073981081962,0.4478216287689779,32560,1754,1902,3286,14972,25590,12397,15003,22209,23830,1881,3265,14166,25964,12097,14295,22634,24204
dual_anchor_mean_second,20260730,118119,0.0952993742395833,0.4947866782518422,32560,1754,1886,3155,9879,25544,7173,16321,23362,23784,1903,2699,10397,26265,7571,16345,23373,24505
dual_anchor_mean_second,20260731,118013,0.0952138525735567,0.4965291185147542,32560,1754,1920,3155,13247,29271,8430,13460,25393,27511,1863,2680,12760,29433,9007,13792,26185,27673
dual_anchor_mean_second,20260732,118010,0.09521143214904651,0.4945577119786257,32560,1754,1869,3077,11318,28229,8763,16401,26106,26469,1829,2626,11447,28347,9113,16347,26577,26587
dual_anchor_mean_second,20260733,118026,0.09522434107976752,0.48547612943718144,32560,1754,1924,2966,10760,27271,8642,12814,23878,25511,1937,2848,11432,27360,9084,13438,24604,25600
dual_anchor_mean_second,20260734,118005,0.0952073981081962,0.4483460769294485,32560,1754,1906,3259,12520,24612,9884,14119,19157,22852,1878,2900,12984,25050,8545,12429,15672,23290
random_anchor_standalone,20260730,61973,0.05000032272326802,0.18648241200893073,32560,1754,2129,3675,10878,24846,7207,18294,22791,23086,1917,3507,11659,25452,7990,18477,22762,23692
random_anchor_standalone,20260731,61973,0.05000032272326802,0.2704771973726194,32560,1754,1903,3338,11998,28826,7665,13505,24348,27066,1860,3102,11772,29102,8292,13471,25170,27342
random_anchor_standalone,20260732,61973,0.05000032272326802,0.16981008586619212,32560,1754,2050,3416,13181,26770,10334,14785,24582,25010,1972,2999,12915,26933,9842,14746,25076,25173
random_anchor_standalone,20260733,61973,0.05000032272326802,0.37886808280612677,32560,1754,1869,2957,10196,25817,7836,12706,21831,24057,1876,2739,10302,25896,7861,13040,22636,24136
random_anchor_standalone,20260734,61973,0.05000032272326802,0.265149212926838,32560,1754,1974,3192,10506,24279,8393,12799,18663,22519,1880,2941,10609,24714,8674,11713,17527,22954
