phase,seed,method,critical,relay,load_shed_mw,fallback_critical,fallback_relay,fallback_load_shed_mw,fallback_queries,errors
development,20261216,global_rrf_070,1205,1103,43196.64346572319,63,56,1762.5115229434018,500,0
development,20261216,uncertainty_010,1206,1105,43294.486009827226,64,58,1860.354067047441,500,0
development,20261216,uncertainty_005,1206,1105,43214.54017251903,64,58,1780.408229739247,500,0
development,20261216,uncertainty_002,1211,1110,43309.28739251031,69,63,1875.1554497305274,500,0
development,20261217,global_rrf_070,1226,1146,43385.06436813483,67,66,2084.2988563820404,500,0
development,20261217,uncertainty_010,1236,1152,43643.88898756774,77,72,2343.12347581495,500,0
development,20261217,uncertainty_005,1227,1146,43449.02477075737,68,66,2148.2592590045806,500,0
development,20261217,uncertainty_002,1224,1144,43306.05604434722,65,64,2005.290532594428,500,0
development,20261218,global_rrf_070,1340,1234,51265.97725528045,53,50,1454.8766043129458,500,0
development,20261218,uncertainty_010,1339,1234,51228.33492733127,52,50,1417.2342763637664,500,0
development,20261218,uncertainty_005,1339,1234,51287.40497784497,52,50,1476.3043268774686,500,0
development,20261218,uncertainty_002,1341,1236,51244.17299873449,54,52,1433.0723477669853,500,0
development,20261219,global_rrf_070,1170,1054,35555.95097596865,95,84,2799.2947752613104,621,0
development,20261219,uncertainty_010,1174,1059,36075.37991504051,99,89,3318.723714333174,621,0
development,20261219,uncertainty_005,1177,1063,35799.30664119863,102,93,3042.650440491295,621,0
development,20261219,uncertainty_002,1173,1059,35695.62190829839,98,89,2938.965707591058,621,0
development,20261220,global_rrf_070,1434,1330,45263.48734230423,74,73,2119.0343239827635,500,0
development,20261220,uncertainty_010,1437,1333,45350.39337088166,77,76,2205.940352560194,500,0
development,20261220,uncertainty_005,1433,1329,45274.762655481274,73,72,2130.309637159803,500,0
development,20261220,uncertainty_002,1433,1329,45267.70001713715,73,72,2123.246998815677,500,0
