phase,seed,method,critical,relay,load_shed_mw,fallback_critical,fallback_relay,fallback_load_shed_mw,fallback_queries,errors
prospective,20261221,global_rrf_070,1328,1232,42655.47841725933,72,68,2022.1983271633467,500,0
prospective,20261221,uncertainty_010,1334,1236,42787.5658479783,78,72,2154.285757882316,500,0
prospective,20261222,global_rrf_070,1446,1355,49395.960629760906,89,82,2680.0670548087455,500,0
prospective,20261222,uncertainty_010,1448,1357,49463.82193014244,91,84,2747.928355190276,500,0
prospective,20261223,global_rrf_070,1448,1323,51068.10469442198,85,72,1979.527577225365,500,0
prospective,20261223,uncertainty_010,1445,1321,50874.41672634811,82,70,1785.8396091514905,500,0
prospective,20261224,global_rrf_070,1244,1186,45276.18950785139,80,77,1993.7015125449632,500,0
prospective,20261224,uncertainty_010,1252,1195,45381.11191703413,88,86,2098.623921727705,500,0
prospective,20261225,global_rrf_070,1176,1116,44734.89738518467,79,71,2091.5411688140507,500,0
prospective,20261225,uncertainty_010,1174,1113,44801.74544765093,77,68,2158.389231280312,500,0
