scenario_id,initial_outages,initial_outage_type,initial_outage_order,chronic_index,load_scale,gen_scale,do_nothing_negative_return,best_negative_return,best_improvement,best_action,best_action_line,pf_failed,num_line_outages,load_shed_MW
0,"6,9",common_bus_N-2,2,1714,0.7545742988586426,0.8738421201705933,103.92105608476768,100.1,3.82105608476769,14,13,True,6,0.0
1,"3,7",common_bus_N-2,2,1030,1.0185999870300293,1.11235773563385,109.9449801382734,100.1,9.8449801382734,14,13,True,11,53.87928433418273
2,17,N-1,1,620,1.1178723573684692,0.9817084670066833,-0.0,-0.0,0.0,0,,False,1,0.0
3,"0,1",common_bus_N-2,2,151,1.1584380865097046,0.8814157843589783,100.0,100.0,0.0,0,,True,2,0.0
4,2,N-1,1,353,1.212443470954895,0.9947919845581055,105.87046353340943,100.1,5.7704635334094405,14,13,True,7,14.732976508140567
5,4,N-1,1,1309,0.991551399230957,0.8653970956802368,-0.0,-0.0,0.0,0,,False,1,0.0
6,1,N-1,1,1015,1.0505986213684082,0.8962685465812683,101.98013266932448,100.1,1.8801326693244818,1,0,True,3,0.0
7,11,N-1,1,1957,0.8178005218505859,1.1602017879486084,-0.0,-0.0,0.0,0,,False,1,0.0
8,"10,12",common_bus_N-2,2,1274,1.0791536569595337,0.9158442616462708,107.19655554945895,100.1,7.096555549458955,14,13,True,8,82.55525475740433
9,"6,9",common_bus_N-2,2,1128,0.8068831562995911,1.0389065742492676,104.8770575499286,100.1,4.7770575499286,14,13,True,7,0.0
10,"14,15",common_bus_N-2,2,559,0.8966979384422302,0.9145050644874573,-0.0,-0.0,0.0,0,,False,2,0.0
11,"3,7",common_bus_N-2,2,1352,0.8459248542785645,0.917535662651062,106.91470226760568,100.1,6.814702267605682,14,13,True,8,2.9607369899749756
12,"6,7",common_bus_N-2,2,794,0.9200337529182434,1.0167573690414429,107.97876145155887,100.1,7.878761451558873,14,13,True,9,28.969056010246277
13,"16,19",common_bus_N-2,2,1117,0.8260026574134827,0.9220001697540283,100.0,100.0,0.0,0,,True,2,12.307439595460892
14,"8,16",common_bus_N-2,2,1542,1.0800480842590332,0.9903131723403931,103.92105608476768,100.1,3.82105608476769,14,13,True,6,0.0
15,"6,8",common_bus_N-2,2,1706,0.7865037322044373,0.9499920010566711,-0.0,-0.0,0.0,0,,False,2,0.0
16,"4,6",common_bus_N-2,2,180,1.0277855396270752,1.0895174741744995,112.84310901244667,100.1,12.74310901244668,1,0,True,14,92.29514145851135
17,"4,9",common_bus_N-2,2,44,1.0512813329696655,1.0669963359832764,107.83701400998507,100.1,7.737014009985074,14,13,True,10,40.47433131933212
18,"14,16",common_bus_N-2,2,162,1.091990351676941,0.9824838042259216,102.95544664514918,100.1,2.8554466451491862,8,7,True,5,0.0
