feature,coefficient,abs_coefficient
intercept,-0.6532210009284247,0.6532210009284247
line_id_L15,0.03503629118276972,0.03503629118276972
line_id_L08,-0.03162135107427228,0.03162135107427228
line_id_L14,0.028755819405156913,0.028755819405156913
line_id_L21,-0.025687565919391562,0.025687565919391562
line_id_L17,0.024475953282286748,0.024475953282286748
line_id_L24,0.02343910468257973,0.02343910468257973
label_family_non_line_trip,0.02209630521152221,0.02209630521152221
non_line_trip_label,0.022096305211521616,0.022096305211521616
trip_implementation_unknown,0.022096305211518296,0.022096305211518296
label_family_existing_formal_dynamic,-0.02209630521044549,0.02209630521044549
line_id_L11,-0.02087741810404248,0.02087741810404248
max_frequency_hz,0.016097029980006075,0.016097029980006075
formal_line_trip_label,-0.016046649843036824,0.016046649843036824
fault_type_pilot_line_trip,-0.016046649843009013,0.016046649843009013
handwired_line_trip_label,-0.01604664984297504,0.01604664984297504
trip_implementation_handwired_timed_breaker,-0.01604664984295006,0.01604664984295006
line_id_NO_LINE,0.014923028269581945,0.014923028269581945
line_id_L07,-0.014553448204675128,0.014553448204675128
min_frequency_hz,-0.011759780451299282,0.011759780451299282
fault_type_fault_duration_sweep_smoke,0.011648845468318514,0.011648845468318514
max_rotor_angle_separation_deg,0.010638796068509183,0.010638796068509183
fault_type_three_phase_fault_clear_smoke,0.010447459743104764,0.010447459743104764
line_id_L13,0.010350593696093657,0.010350593696093657
line_id_L06,-0.01001838732260481,0.01001838732260481
line_id_L04,0.009742451953048854,0.009742451953048854
min_voltage_pu,-0.009725662176843924,0.009725662176843924
fault_clear_s,0.009723364948554629,0.009723364948554629
line_id_L01,-0.009514846834617665,0.009514846834617665
line_id_L23,-0.0087550958064548,0.0087550958064548
line_id_L26,-0.008716039181601212,0.008716039181601212
line_id_L10,-0.008009442581092834,0.008009442581092834
fault_type_three_phase_fault_clear,-0.0071732769419454515,0.0071732769419454515
trip_implementation_existing_three_phase_fault_block,-0.0071732769419419785,0.0071732769419419785
line_id_L34,0.006350477089060478,0.006350477089060478
line_id_L05,0.005974297257764863,0.005974297257764863
line_id_L25,-0.004805020240050757,0.004805020240050757
line_id_L18,-0.004730752020907865,0.004730752020907865
line_id_L16,-0.004496347011543169,0.004496347011543169
line_id_L19,-0.00394582127784933,0.00394582127784933
line_id_L31,-0.0038184804825381457,0.0038184804825381457
line_id_L02,0.003559033637058746,0.003559033637058746
line_id_L32,-0.0033715782000287454,0.0033715782000287454
line_id_L30,-0.0033096428347503615,0.0033096428347503615
line_id_L33,0.002858690354313442,0.002858690354313442
line_id_L27,-0.002457778872825245,0.002457778872825245
line_id_L03,0.0019227156281023724,0.0019227156281023724
duration_s,0.0017000400265308824,0.0017000400265308824
line_id_L22,0.0015329604674422835,0.0015329604674422835
line_id_L28,-0.0014692117097673894,0.0014692117097673894
fault_type_basic_relay_proxy,0.0011236215744931752,0.0011236215744931752
trip_implementation_basic_relay_proxy,0.00112362157441245,0.00112362157441245
line_id_L20,0.0010588482509462668,0.0010588482509462668
line_id_numeric,-0.00045282044507182005,0.00045282044507182005
max_speed_deviation,0.00042734859769015884,0.00042734859769015884
line_id_L09,0.00034642642740999405,0.00034642642740999405
max_voltage_pu,0.00020587530114269054,0.00020587530114269054
line_id_L29,-0.0001684639036082086,0.0001684639036082086
physical_fault_or_breaker_action_executed,1.0469630092605793e-12,1.0469630092605793e-12
fault_start_s,5.053267234839096e-13,5.053267234839096e-13
provenance_check_required,3.5217108738477776e-14,3.5217108738477776e-14
breaker_opened,-1.7807664628316398e-14,1.7807664628316398e-14
