feature,coefficient,abs_coefficient
intercept,-0.6747699772805005,0.6747699772805005
line_id_L15,0.0349719867249137,0.0349719867249137
line_id_L08,-0.03173791813745966,0.03173791813745966
line_id_L14,0.02879734901837422,0.02879734901837422
line_id_L21,-0.025766488673932324,0.025766488673932324
line_id_L17,0.02451346061161916,0.02451346061161916
line_id_L24,0.023447950445007925,0.023447950445007925
label_family_existing_formal_dynamic,-0.022840488052305402,0.022840488052305402
trip_implementation_unknown,0.02284048805227247,0.02284048805227247
non_line_trip_label,0.022840488052245974,0.022840488052245974
label_family_non_line_trip,0.022840488052233716,0.022840488052233716
line_id_L11,-0.020906544457432494,0.020906544457432494
max_frequency_hz,0.01629376629786557,0.01629376629786557
formal_line_trip_label,-0.016008567571587043,0.016008567571587043
fault_type_pilot_line_trip,-0.016008567571508515,0.016008567571508515
handwired_line_trip_label,-0.01600856757150667,0.01600856757150667
trip_implementation_handwired_timed_breaker,-0.016008567571463014,0.016008567571463014
line_id_NO_LINE,0.015199111544273197,0.015199111544273197
line_id_L07,-0.014606748712217722,0.014606748712217722
min_frequency_hz,-0.011550978335231953,0.011550978335231953
max_rotor_angle_separation_deg,0.010669596678846786,0.010669596678846786
line_id_L13,0.010276738176450029,0.010276738176450029
line_id_L06,-0.009993715790195415,0.009993715790195415
line_id_L04,0.009754735219159351,0.009754735219159351
fault_clear_s,0.009754608642900928,0.009754608642900928
min_voltage_pu,-0.009723536454806104,0.009723536454806104
line_id_L01,-0.00970061315407551,0.00970061315407551
fault_type_fault_duration_sweep_smoke,0.008789119887514948,0.008789119887514948
line_id_L23,-0.008743870015838276,0.008743870015838276
line_id_L26,-0.008710998733641541,0.008710998733641541
fault_type_three_phase_fault_clear_smoke,0.008430820898881766,0.008430820898881766
line_id_L10,-0.007998388888675767,0.007998388888675767
trip_implementation_existing_three_phase_fault_block,-0.007641376507994749,0.007641376507994749
fault_type_three_phase_fault_clear,-0.0076413765079342,0.0076413765079342
line_id_L34,0.006372809529179024,0.006372809529179024
line_id_L05,0.006001105548094092,0.006001105548094092
provenance_check_required,0.005620547266019224,0.005620547266019224
fault_type_relay_proxy_fault_smoke,0.005620547265872508,0.005620547265872508
line_id_L25,-0.004833501064723973,0.004833501064723973
line_id_L18,-0.004708879691294545,0.004708879691294545
line_id_L16,-0.004471415735733947,0.004471415735733947
line_id_L19,-0.003960685205317848,0.003960685205317848
line_id_L31,-0.0037982951374052228,0.0037982951374052228
line_id_L02,0.003575687258740072,0.003575687258740072
line_id_L32,-0.003348295443195398,0.003348295443195398
line_id_L30,-0.003289211234355851,0.003289211234355851
line_id_L33,0.0028812093086818535,0.0028812093086818535
line_id_L27,-0.0024331640586900127,0.0024331640586900127
line_id_L03,0.0019526549054369388,0.0019526549054369388
duration_s,0.0017503248572128182,0.0017503248572128182
line_id_L28,-0.0014425529750792844,0.0014425529750792844
line_id_L22,0.0014318550405648944,0.0014318550405648944
line_id_L20,0.0010331881095056068,0.0010331881095056068
fault_type_basic_relay_proxy,0.0008094560271502821,0.0008094560271502821
trip_implementation_basic_relay_proxy,0.0008094560270699436,0.0008094560270699436
line_id_numeric,-0.00045277290684779797,0.00045277290684779797
max_speed_deviation,0.000430984002753486,0.000430984002753486
line_id_L09,0.0003859468670427083,0.0003859468670427083
max_voltage_pu,0.00019024348568739762,0.00019024348568739762
line_id_L29,-0.00014450119781752105,0.00014450119781752105
breaker_opened,-4.8924544666083734e-14,4.8924544666083734e-14
fault_start_s,-2.387885731890725e-14,2.387885731890725e-14
physical_fault_or_breaker_action_executed,-1.0661794367200231e-14,1.0661794367200231e-14
