check,value
review_scope,no_training_composition_review
candidate_dataset,v2_plus_all_bus_fault_candidates
total_candidate_rows,79
expected_candidate_rows,79
row_count_check_passed,True
previous_candidate_count,42
num_new_all_remaining_bus_fault_candidates,37
num_total_bus_fault_candidates,39
expected_total_bus_fault_candidates,39
all_ieee39_buses_have_bus_fault_candidate,True
covered_bus_fault_buses,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B9"", ""B10"", ""B11"", ""B12"", ""B13"", ""B14"", ""B15"", ""B16"", ""B17"", ""B18"", ""B19"", ""B20"", ""B21"", ""B22"", ""B23"", ""B24"", ""B25"", ""B26"", ""B27"", ""B28"", ""B29"", ""B30"", ""B31"", ""B32"", ""B33"", ""B34"", ""B35"", ""B36"", ""B37"", ""B38"", ""B39""]"
missing_bus_fault_buses,[]
existing_candidate_buses,"[""B39"", ""B26""]"
newly_exported_candidate_buses,"[""B1"", ""B2"", ""B3"", ""B4"", ""B5"", ""B6"", ""B7"", ""B8"", ""B9"", ""B10"", ""B11"", ""B12"", ""B13"", ""B14"", ""B15"", ""B17"", ""B18"", ""B19"", ""B20"", ""B21"", ""B22"", ""B23"", ""B24"", ""B25"", ""B27"", ""B28"", ""B29"", ""B30"", ""B31"", ""B32"", ""B33"", ""B34"", ""B35"", ""B36"", ""B37"", ""B38"", ""B16""]"
old_formal_gate,35 / 33 / 33
formal_label_gate_changed,False
l12_excluded,True
nf06_provenance_warning_preserved,True
bus_fault_rows_count,39
every_bus_fault_row_has_line_id_NO_LINE,True
every_bus_fault_row_has_target_bus_filled,True
every_bus_fault_row_has_target_bus_or_component_filled,True
every_bus_fault_row_candidate_not_formal_label_true,True
every_bus_fault_row_formal_line_trip_label_false,True
every_bus_fault_row_bus_fault_label_true,True
every_bus_fault_row_temporary_smoke_candidate_true,True
every_bus_fault_row_quality_review_passed_true,True
every_bus_fault_row_signal_source_contains_frequency_proxy,True
every_bus_fault_row_phasor_rms_not_emt_true,True
every_bus_fault_row_generator_speed_proxy_not_direct_frequency_true,True
every_bus_fault_row_temporary_bus_fault_not_engineering_grade_protection_true,True
required_columns_present,True
b1_unstable_false_preserved,True
missing_required_columns,[]
scenario_id_duplicates,[]
label_id_v2_duplicates,[]
