target_bus,special_handling,readiness_status,ready_for_next_round_actual_smoke,failed_checks,warning_checks
B1,False,ready_for_next_round_actual_smoke,True,[],[]
B2,False,ready_for_next_round_actual_smoke,True,[],[]
B3,False,ready_for_next_round_actual_smoke,True,[],[]
B4,False,ready_for_next_round_actual_smoke,True,[],[]
B5,False,ready_for_next_round_actual_smoke,True,[],[]
B6,False,ready_for_next_round_actual_smoke,True,[],[]
B7,False,ready_for_next_round_actual_smoke,True,[],[]
B8,False,ready_for_next_round_actual_smoke,True,[],[]
B9,False,ready_for_next_round_actual_smoke,True,[],[]
B10,False,ready_for_next_round_actual_smoke,True,[],[]
B11,False,ready_for_next_round_actual_smoke,True,[],[]
B12,False,ready_for_next_round_actual_smoke,True,[],[]
B13,False,ready_for_next_round_actual_smoke,True,[],[]
B14,False,ready_for_next_round_actual_smoke,True,[],[]
B15,False,ready_for_next_round_actual_smoke,True,[],[]
B17,False,ready_for_next_round_actual_smoke,True,[],[]
B18,False,ready_for_next_round_actual_smoke,True,[],[]
B19,False,ready_for_next_round_actual_smoke,True,[],[]
B20,False,ready_for_next_round_actual_smoke,True,[],[]
B21,False,ready_for_next_round_actual_smoke,True,[],[]
B22,False,ready_for_next_round_actual_smoke,True,[],[]
B23,False,ready_for_next_round_actual_smoke,True,[],[]
B24,False,ready_for_next_round_actual_smoke,True,[],[]
B25,False,ready_for_next_round_actual_smoke,True,[],[]
B27,False,ready_for_next_round_actual_smoke,True,[],[]
B28,False,ready_for_next_round_actual_smoke,True,[],[]
B29,False,ready_for_next_round_actual_smoke,True,[],[]
B30,False,ready_for_next_round_actual_smoke,True,[],[]
B31,False,ready_for_next_round_actual_smoke,True,[],[]
B32,False,ready_for_next_round_actual_smoke,True,[],[]
B33,False,ready_for_next_round_actual_smoke,True,[],[]
B34,False,ready_for_next_round_actual_smoke,True,[],[]
B35,False,ready_for_next_round_actual_smoke,True,[],[]
B36,False,ready_for_next_round_actual_smoke,True,[],[]
B37,False,ready_for_next_round_actual_smoke,True,[],[]
B38,False,ready_for_next_round_actual_smoke,True,[],[]
B16,True,ready_for_next_round_actual_smoke,True,[],[]
