field,value
diagnosis_scope,gcn_audit_evidence_diagnosis
gcn_training_run,False
formal_gcn_audit_rerun,False
simulink_run,False
labels_exported,False
reranker_retrained,False
production_model_saved,False
source_audit_commit,925b0c9ea66dca330949b8dc19657b618a3e49e7
gcn_dependency_status,torch_and_torch_geometric_available
total_candidate_rows,79
num_total_bus_fault_candidates,39
forbidden_features_detected_in_inputs,[]
audit_level_conclusion_preserved,True
final_engineering_conclusion,False
should_retrain_reranker_now,False
should_deploy_model,False
gcn_vs_baseline_gap,"{""analysis_scope"": ""gcn_vs_baseline_gap"", ""bus_fault_holdout_gcn_rmse"": 0.7032927445152551, ""bus_fault_holdout_best_baseline_rmse"": 0.12218041951744846, ""bus_fault_holdout_gcn_minus_baseline_rmse"": 0.5811123249978067, ""lobo_gcn_rmse"": 0.11934040488715501, ""lobo_best_baseline_rmse"": 0.09590813978528158, ""lobo_gcn_minus_baseline_rmse"": 0.023432265101873434, ""no_dynamic_lobo_gcn_rmse"": 0.11934040488715501, ""no_dynamic_lobo_best_baseline_rmse"": 0.09590813978528158, ""no_dynamic_lobo_gcn_minus_baseline_rmse"": 0.023432265101873434, ""baseline_name"": ""Ridge Regression / Logistic Regression"", ""audit_level_conclusion"": ""audit evidence does not support GCN usefulness over simpler baselines yet"", ""interpretation"": ""GCN RMSE is larger than the best simple baseline in the reported strict holdouts.""}"
