field,value
repair_scope,local_dependency_environment_repair
gcn_training_run,False
formal_gcn_audit_run,False
simulink_run,False
labels_exported,False
reranker_retrained,False
production_model_saved,False
source_commit,b60c5b6abd54b20a4c1f1a2ad5e00a209c301b60
previous_python_executable,E:\Scripts\python.exe
previous_sys_prefix,E:
previous_torch_import_ok,False
previous_torch_import_error,[WinError 87] ?????: 'E:bin'
previous_torch_geometric_import_ok,False
new_venv_path,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\.venv-gcn-audit
new_python_executable,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\.venv-gcn-audit\Scripts\python.exe
new_sys_prefix,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\.venv-gcn-audit
new_sys_base_prefix,C:\Users\24186\.cache\codex-runtimes\codex-primary-runtime\dependencies\python
new_sys_exec_prefix,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\.venv-gcn-audit
new_python_prefix_is_absolute,True
new_python_prefix_is_not_bare_drive,True
pip_upgrade_ok,True
torch_install_attempted,True
torch_import_ok,True
torch_version,2.12.0+cpu
torch_cuda_version,
torch_cuda_available,False
torch_import_error,
torch_geometric_install_attempted,True
torch_geometric_import_ok,True
torch_geometric_version,2.8.0
torch_geometric_import_error,
dependency_blocker_resolved,True
remaining_blockers,[]
should_train_gcn_now,False
should_rerun_formal_gcn_audit_now,False
recommended_next_step,rerun dependency diagnosis and then rerun strict no-leakage GCN audit in a separate round
