library_path,block_name,mask_type,port_structure,physical_port_count,inport_count,outport_count,likely_compatible_with_l01,requires_control_input,note
"ee_lib/Electromechanical/Reluctance & Stepper/Switched Reluctance\nMachine\n(Multi-Phase)","Switched Reluctance\nMachine\n(Multi-Phase)","Switched Reluctance\nMachine\n(Multi-Phase)",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:8;RConn:2;Ifaction:0;Reset:0;Event:0,10,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Switched Reluctance\nMotor/SwitcheReluctanceMotor","SwitcheReluctanceMotor","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:6;RConn:4;Ifaction:0;Reset:0;Event:0,10,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Switches & Breakers/DPDT Switch","DPDT Switch","DPDT Switch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:4;Ifaction:0;Reset:0;Event:0,7,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"ee_lib/Switches & Breakers/SPMT Switch","SPMT Switch","SPMT Switch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:2;RConn:4;Ifaction:0;Reset:0;Event:0,6,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Switched Reluctance\nMotor","Switched Reluctance\nMotor","Switched Reluctance Motor",Inport:1;Outport:1;Enable:0;Trigger:0;State:0;LConn:6;RConn:0;Ifaction:0;Reset:0;Event:0,6,1,1,1,1,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1","Trip Breaker1","Three-Phase Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:3;Ifaction:0;Reset:0;Event:0,6,1,0,1,1,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/ThreePhaseBreaker","ThreePhaseBreaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:3;Ifaction:0;Reset:0;Event:0,6,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2","Trip Breaker2","Three-Phase Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:3;Ifaction:0;Reset:0;Event:0,6,1,0,1,1,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/ThreePhaseBreaker","ThreePhaseBreaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:3;Ifaction:0;Reset:0;Event:0,6,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Power Grid Elements/Three-Phase Breaker","Three-Phase Breaker","Three-Phase Breaker",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:3;RConn:3;Ifaction:0;Reset:0;Event:0,6,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
