line_id,from_bus,to_bus,line_block_path,breaker_block_path,current_measurement_block_path,voltage_measurement_block_path,fault_injection_bus_or_line,mapping_status,note
L01,B1,B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B1 to B2,,,,B1,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L02,B10,B11,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B10 to B11,,,,B10,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L03,B10,B13,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B10 to B13,,,,B10,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L04,B11,B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B11 to B6,,,,B11,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L05,B13,B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B13 to B14,,,,B13,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L06,B14,B15,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B14 to B15,,,,B14,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L07,B15,B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B15 to B16,,,,B15,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L08,B16,B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B16 to B17,,,,B16,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L09,B16,B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B16 to B24,,,,B16,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L10,B17,B27,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B17 to B27,,,,B17,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L11,B18,B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B18 to B17,,,,B18,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L12,B19,B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B19 to B16,,,,B19,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L13,B2,B25,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B2 to B25,,,,B2,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L14,B21,B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B21 to B16,,,,B21,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L15,B21,B22,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B21 to B22,,,,B21,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L16,B23,B22,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B23 to B22,,,,B23,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L17,B23,B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B23 to B24,,,,B23,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L18,B25,B26,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B25 to B26,,,,B25,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L19,B26,B28,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B26 to B28,,,,B26,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L20,B26,B29,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B26 to B29,,,,B26,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L21,B27,B26,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B27 to B26,,,,B27,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L22,B28,B29,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B28 to B29,,,,B28,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L23,B3,B18,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B3 to B18,,,,B3,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L24,B3,B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B3 to B2,,,,B3,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L25,B39,B1,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B39 to B1,,,,B39,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L26,B4,B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B4 to B14,,,,B4,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L27,B4,B3,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B4 to B3,,,,B4,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L28,B5,B4,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B5 to B4,,,,B5,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L29,B6,B5,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B6 to B5,,,,B6,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L30,B7,B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B7 to B6,,,,B7,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L31,B8,B5,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B8 to B5,,,,B8,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L32,B8,B7,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B8 to B7,,,,B8,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L33,B9,B39,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B9 to B39,,,,B9,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L34,B9,B8,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B9 to B8,,,,B9,pilot_line_block_disable,Full map extension from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
