block_path,block_type,mask_type
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Bus
Creator1",BusCreator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From1",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From2",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From3",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From4",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From5",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From6",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From7",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From8",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/From9",From,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/Field Circuit10",SimscapeBlock,Synchronous Machine
Field Circuit
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/Gain",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter",SubSystem,PS-Simulink
Converter
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter/EVAL_KEY",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter/EVAL_KEY/Ground",Ground,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter/EVAL_KEY/output",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter/input",PMIOPort,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter/output",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter1",SubSystem,PS-Simulink
Converter
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter1/EVAL_KEY",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter1/EVAL_KEY/Ground",Ground,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter1/EVAL_KEY/output",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter1/input",PMIOPort,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter1/output",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter2",SubSystem,PS-Simulink
Converter
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter2/EVAL_KEY",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter2/EVAL_KEY/Ground",Ground,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter2/EVAL_KEY/output",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter2/input",PMIOPort,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/PS-Simulink
Converter2/output",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/Rotor velocity
measurement",SimscapeBlock,Synchronous Machine
Measurement
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C",SubSystem,SM AC1C
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_REF",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_S",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_T",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/I_T",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_OEL",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_UEL",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/V_SCLsum",Inport,
