line_id,from_bus,to_bus,x_t_topology_status_available,x_b_branch_flow_available,x_b_branch_flow_value,x_b_branch_flow_unit,x_p_relay_threshold_proxy_value,x_p_relay_threshold_proxy_unit,x_p_relay_threshold_proxy_formula,x_p_relay_ratio_value,x_l_endpoint_load_available,x_l_endpoint_load_max_value,x_l_endpoint_load_unit,ready_for_x_t,ready_for_x_p_with_proxy,ready_for_x_b,ready_for_x_l,ready_for_lx4_feature_vector_with_proxy,relay_threshold_is_proxy,proxy_allowed_for_audit_only_prototype,proxy_allowed_for_production,l12_special_case_flag
L01,B1,B2,True,True,-178.35372641394395,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.24771350890825547,True,97.6,MW,True,True,True,True,True,True,True,False,False
L02,B10,B11,True,True,340.90428325764145,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.4734781711911687,True,0.0,MW,True,True,True,True,True,True,True,False,False
L03,B10,B13,True,True,309.09571674235855,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.4292996065866091,True,0.0,MW,True,True,True,True,True,True,True,False,False
L04,B11,B6,True,True,338.2020541725623,MW,576.0,MVA_or_MW_proxy,beta * RATE_A,0.5871563440495874,True,0.0,MW,True,True,True,True,True,True,True,False,False
L05,B13,B14,True,True,303.26794582743696,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.4212054803158847,True,0.0,MW,True,True,True,True,True,True,True,False,False
L06,B14,B15,True,True,35.06909851954178,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.048707081277141365,True,320.0,MW,True,True,True,True,True,True,True,False,False
L07,B15,B16,True,True,-284.93090148045803,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.39573736316730285,True,329.0,MW,True,True,True,True,True,True,True,False,False
L08,B16,B17,True,True,225.96909851954194,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.3138459701660305,True,329.0,MW,True,True,True,True,True,True,True,False,False
L09,B16,B24,True,True,-45.12423076923042,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.06267254273504225,True,329.0,MW,True,True,True,True,True,True,True,False,False
L10,B17,B27,True,True,25.283807187403617,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.035116398871393915,True,281.0,MW,True,True,True,True,True,True,True,False,False
L11,B18,B17,True,True,-200.68529133213815,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.2787295712946363,True,158.0,MW,True,True,True,True,True,True,True,False,False
L12,B19,B16,True,True,460.0000000000001,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.6388888888888891,True,329.0,MW,True,True,True,True,True,True,True,False,True
L13,B2,B25,True,True,-261.7838071874038,MW,600.0,MVA_or_MW_proxy,beta * RATE_A,0.43630634531233964,True,224.0,MW,True,True,True,True,True,True,True,False,False
L14,B21,B16,True,True,334.7757692307695,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.4649663461538466,True,329.0,MW,True,True,True,True,True,True,True,False,False
L15,B21,B22,True,True,-608.7757692307692,MW,1080.0,MVA_or_MW_proxy,beta * RATE_A,0.5636812678062678,True,274.0,MW,True,True,True,True,True,True,True,False,False
L16,B23,B22,True,True,-41.224230769230786,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.057255876068376094,True,247.5,MW,True,True,True,True,True,True,True,False,False
L17,B23,B24,True,True,353.72423076923087,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.49128365384615397,True,308.6,MW,True,True,True,True,True,True,True,False,False
L18,B25,B26,True,True,54.21619281259633,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.07530026779527269,True,224.0,MW,True,True,True,True,True,True,True,False,False
L19,B26,B28,True,True,-145.36520000000002,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.20189611111111114,True,206.0,MW,True,True,True,True,True,True,True,False,False
L20,B26,B29,True,True,-195.13480000000004,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.2710205555555556,True,283.5,MW,True,True,True,True,True,True,True,False,False
L21,B27,B26,True,True,-255.71619281259626,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.3551613789063837,True,281.0,MW,True,True,True,True,True,True,True,False,False
L22,B28,B29,True,True,-351.3652000000001,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.4880072222222223,True,283.5,MW,True,True,True,True,True,True,True,False,False
L23,B3,B18,True,True,-42.685291332137965,MW,600.0,MVA_or_MW_proxy,beta * RATE_A,0.07114215222022995,True,322.0,MW,True,True,True,True,True,True,True,False,False
L24,B3,B2,True,True,-333.43008077345945,MW,600.0,MVA_or_MW_proxy,beta * RATE_A,0.5557168012890991,True,322.0,MW,True,True,True,True,True,True,True,False,False
L25,B39,B1,True,True,-80.7537264139441,MW,1200.0,MVA_or_MW_proxy,beta * RATE_A,0.06729477201162008,True,1104.0,MW,True,True,True,True,True,True,True,False,False
L26,B4,B14,True,True,-268.1988473078965,MW,600.0,MVA_or_MW_proxy,beta * RATE_A,0.4469980788464941,True,500.0,MW,True,True,True,True,True,True,True,False,False
L27,B4,B3,True,True,-54.11537210559736,MW,600.0,MVA_or_MW_proxy,beta * RATE_A,0.09019228684266227,True,500.0,MW,True,True,True,True,True,True,True,False,False
L28,B5,B4,True,True,177.68578058650667,MW,720.0,MVA_or_MW_proxy,beta * RATE_A,0.24678580637014816,True,500.0,MW,True,True,True,True,True,True,True,False,False
L29,B6,B5,True,True,514.7537351503701,MW,1440.0,MVA_or_MW_proxy,beta * RATE_A,0.35746787163220145,True,0.0,MW,True,True,True,True,True,True,True,False,False
L30,B7,B6,True,True,-448.47831902219184,MW,1080.0,MVA_or_MW_proxy,beta * RATE_A,0.4152577027983258,True,233.8,MW,True,True,True,True,True,True,True,False,False
L31,B8,B5,True,True,-337.0679545638644,MW,1080.0,MVA_or_MW_proxy,beta * RATE_A,0.31209995792950407,True,522.0,MW,True,True,True,True,True,True,True,False,False
L32,B8,B7,True,True,-214.67831902219103,MW,1080.0,MVA_or_MW_proxy,beta * RATE_A,0.19877622131684355,True,522.0,MW,True,True,True,True,True,True,True,False,False
L33,B9,B39,True,True,23.246273586056,MW,1080.0,MVA_or_MW_proxy,beta * RATE_A,0.021524327394496296,True,1104.0,MW,True,True,True,True,True,True,True,False,False
L34,B9,B8,True,True,-29.746273586056304,MW,1080.0,MVA_or_MW_proxy,beta * RATE_A,0.027542845913015097,True,522.0,MW,True,True,True,True,True,True,True,False,False
