pair_id,state_id,prior_outaged_branch,prior_from_bus,prior_to_bus,candidate_next_branch,next_from_bus,next_to_bus,planned_contingency_sequence,shares_bus_with_prior,shared_bus_if_any,prior_x_p_relay_ratio,next_x_p_relay_ratio,selection_bucket,feature_matrix_with_proxy_ready,relay_threshold_is_proxy,proxy_allowed_for_audit_only_prototype,bus_fault_label_used,l12_special_case_flag,label_value,label_status,future_generation_required,exclusion_reason_if_any
SPP001,single_outage_state_L15,L15,B21,B22,L04,B11,B6,L15;L04,False,,0.5636812678062678,0.5871563440495874,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP002,single_outage_state_L04,L04,B11,B6,L15,B21,B22,L04;L15,False,,0.5871563440495874,0.5636812678062678,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP003,single_outage_state_L24,L24,B3,B2,L04,B11,B6,L24;L04,False,,0.5557168012890991,0.5871563440495874,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP004,single_outage_state_L04,L04,B11,B6,L24,B3,B2,L04;L24,False,,0.5871563440495874,0.5557168012890991,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP005,single_outage_state_L24,L24,B3,B2,L15,B21,B22,L24;L15,False,,0.5557168012890991,0.5636812678062678,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP006,single_outage_state_L15,L15,B21,B22,L24,B3,B2,L15;L24,False,,0.5636812678062678,0.5557168012890991,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP007,single_outage_state_L22,L22,B28,B29,L17,B23,B24,L22;L17,False,,0.4880072222222223,0.49128365384615397,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP008,single_outage_state_L17,L17,B23,B24,L22,B28,B29,L17;L22,False,,0.49128365384615397,0.4880072222222223,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP009,single_outage_state_L02,L02,B10,B11,L17,B23,B24,L02;L17,False,,0.4734781711911687,0.49128365384615397,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP010,single_outage_state_L17,L17,B23,B24,L02,B10,B11,L17;L02,False,,0.49128365384615397,0.4734781711911687,high_relay_ratio_pairs,True,True,True,False,False,,planned,True,
SPP011,single_outage_state_L03,L03,B10,B13,L02,B10,B11,L03;L02,True,B10,0.4292996065866091,0.4734781711911687,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP012,single_outage_state_L02,L02,B10,B11,L03,B10,B13,L02;L03,True,B10,0.4734781711911687,0.4292996065866091,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP013,single_outage_state_L26,L26,B4,B14,L05,B13,B14,L26;L05,True,B14,0.4469980788464941,0.4212054803158847,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP014,single_outage_state_L05,L05,B13,B14,L26,B4,B14,L05;L26,True,B14,0.4212054803158847,0.4469980788464941,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP015,single_outage_state_L14,L14,B21,B16,L07,B15,B16,L14;L07,True,B16,0.4649663461538466,0.39573736316730285,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP016,single_outage_state_L07,L07,B15,B16,L14,B21,B16,L07;L14,True,B16,0.39573736316730285,0.4649663461538466,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP017,single_outage_state_L05,L05,B13,B14,L03,B10,B13,L05;L03,True,B13,0.4212054803158847,0.4292996065866091,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP018,single_outage_state_L03,L03,B10,B13,L05,B13,B14,L03;L05,True,B13,0.4292996065866091,0.4212054803158847,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP019,single_outage_state_L14,L14,B21,B16,L08,B16,B17,L14;L08,True,B16,0.4649663461538466,0.3138459701660305,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
SPP020,single_outage_state_L08,L08,B16,B17,L14,B21,B16,L08;L14,True,B16,0.3138459701660305,0.4649663461538466,shared_bus_neighbor_pairs,True,True,True,False,False,,planned,True,
