line_id,from_bus,to_bus,topology_status_available,branch_flow_available,branch_flow_value,branch_flow_unit,branch_flow_source,line_limit_available,line_limit_value,line_limit_unit,line_limit_source,relay_threshold_available,relay_threshold_value,relay_threshold_unit,relay_threshold_source,relay_threshold_is_proxy,endpoint_load_available,from_bus_load_value,to_bus_load_value,endpoint_load_max_value,load_unit,endpoint_load_source,ready_for_x_t,ready_for_x_p,ready_for_x_b,ready_for_x_l,ready_for_lx4_feature_vector,missing_fields,l12_special_case_flag
L01,B1,B2,True,True,-178.35372641394395,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,97.6,0.0,97.6,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L02,B10,B11,True,True,340.90428325764145,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,0.0,0.0,0.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L03,B10,B13,True,True,309.09571674235855,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,0.0,0.0,0.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L04,B11,B6,True,True,338.2020541725623,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,480.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,576.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,0.0,0.0,0.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L05,B13,B14,True,True,303.26794582743696,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,0.0,0.0,0.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L06,B14,B15,True,True,35.06909851954178,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,0.0,320.0,320.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L07,B15,B16,True,True,-284.93090148045803,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,320.0,329.0,329.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L08,B16,B17,True,True,225.96909851954194,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,329.0,0.0,329.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L09,B16,B24,True,True,-45.12423076923042,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,329.0,308.6,329.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
L10,B17,B27,True,True,25.283807187403617,MW,pypower.case39 rundcpf PF column mapped by endpoint bus pair,True,600.0,MVA_or_MW_case_RATE_A,pypower.case39 branch RATE_A column,False,720.0,MVA_or_MW_proxy,proxy proposal only: beta * RATE_A; not approved for training,True,True,0.0,281.0,281.0,MW,pypower.case39 bus PD column,True,False,True,True,False,approved_relay_threshold,False
