feature_group,seed,top_k,critical_found,critical_path_recall,num_features
score_only,20260722,20,20,0.36363636363636365,3
score_only,20260722,50,29,0.5272727272727272,3
score_only,20260722,100,40,0.7272727272727273,3
score_only,20260722,200,48,0.8727272727272727,3
score_only,20260723,20,18,0.34615384615384615,3
score_only,20260723,50,28,0.5384615384615384,3
score_only,20260723,100,39,0.75,3
score_only,20260723,200,52,1.0,3
score_only,20260724,20,19,0.3220338983050847,3
score_only,20260724,50,32,0.5423728813559322,3
score_only,20260724,100,47,0.7966101694915254,3
score_only,20260724,200,54,0.9152542372881356,3
score_only,20260725,20,16,0.3076923076923077,3
score_only,20260725,50,27,0.5192307692307693,3
score_only,20260725,100,35,0.6730769230769231,3
score_only,20260725,200,46,0.8846153846153846,3
score_only,20260726,20,20,0.3076923076923077,3
score_only,20260726,50,35,0.5384615384615384,3
score_only,20260726,100,46,0.7076923076923077,3
score_only,20260726,200,61,0.9384615384615385,3
score_plus_rank,20260722,20,18,0.32727272727272727,6
score_plus_rank,20260722,50,29,0.5272727272727272,6
score_plus_rank,20260722,100,40,0.7272727272727273,6
score_plus_rank,20260722,200,49,0.8909090909090909,6
score_plus_rank,20260723,20,18,0.34615384615384615,6
score_plus_rank,20260723,50,27,0.5192307692307693,6
score_plus_rank,20260723,100,38,0.7307692307692307,6
score_plus_rank,20260723,200,51,0.9807692307692307,6
score_plus_rank,20260724,20,18,0.3050847457627119,6
score_plus_rank,20260724,50,34,0.576271186440678,6
score_plus_rank,20260724,100,46,0.7796610169491526,6
score_plus_rank,20260724,200,55,0.9322033898305084,6
score_plus_rank,20260725,20,18,0.34615384615384615,6
score_plus_rank,20260725,50,27,0.5192307692307693,6
score_plus_rank,20260725,100,35,0.6730769230769231,6
score_plus_rank,20260725,200,44,0.8461538461538461,6
score_plus_rank,20260726,20,20,0.3076923076923077,6
score_plus_rank,20260726,50,35,0.5384615384615384,6
score_plus_rank,20260726,100,47,0.7230769230769231,6
score_plus_rank,20260726,200,62,0.9538461538461539,6
physical_only,20260722,20,14,0.2545454545454545,10
physical_only,20260722,50,25,0.45454545454545453,10
physical_only,20260722,100,38,0.6909090909090909,10
physical_only,20260722,200,47,0.8545454545454545,10
physical_only,20260723,20,11,0.21153846153846154,10
physical_only,20260723,50,20,0.38461538461538464,10
physical_only,20260723,100,35,0.6730769230769231,10
physical_only,20260723,200,40,0.7692307692307693,10
physical_only,20260724,20,17,0.288135593220339,10
physical_only,20260724,50,26,0.4406779661016949,10
physical_only,20260724,100,32,0.5423728813559322,10
physical_only,20260724,200,49,0.8305084745762712,10
physical_only,20260725,20,11,0.21153846153846154,10
physical_only,20260725,50,19,0.36538461538461536,10
physical_only,20260725,100,31,0.5961538461538461,10
physical_only,20260725,200,39,0.75,10
physical_only,20260726,20,15,0.23076923076923078,10
physical_only,20260726,50,31,0.47692307692307695,10
physical_only,20260726,100,42,0.6461538461538462,10
physical_only,20260726,200,58,0.8923076923076924,10
score_plus_physical,20260722,20,18,0.32727272727272727,9
score_plus_physical,20260722,50,34,0.6181818181818182,9
score_plus_physical,20260722,100,53,0.9636363636363636,9
score_plus_physical,20260722,200,55,1.0,9
score_plus_physical,20260723,20,19,0.36538461538461536,9
score_plus_physical,20260723,50,38,0.7307692307692307,9
score_plus_physical,20260723,100,50,0.9615384615384616,9
score_plus_physical,20260723,200,52,1.0,9
score_plus_physical,20260724,20,20,0.3389830508474576,9
score_plus_physical,20260724,50,41,0.6949152542372882,9
score_plus_physical,20260724,100,52,0.8813559322033898,9
score_plus_physical,20260724,200,59,1.0,9
score_plus_physical,20260725,20,20,0.38461538461538464,9
score_plus_physical,20260725,50,38,0.7307692307692307,9
score_plus_physical,20260725,100,46,0.8846153846153846,9
score_plus_physical,20260725,200,51,0.9807692307692307,9
score_plus_physical,20260726,20,20,0.3076923076923077,9
score_plus_physical,20260726,50,40,0.6153846153846154,9
score_plus_physical,20260726,100,61,0.9384615384615385,9
score_plus_physical,20260726,200,65,1.0,9
all_safe_features,20260722,20,18,0.32727272727272727,18
all_safe_features,20260722,50,35,0.6363636363636364,18
all_safe_features,20260722,100,50,0.9090909090909091,18
all_safe_features,20260722,200,55,1.0,18
all_safe_features,20260723,20,19,0.36538461538461536,18
all_safe_features,20260723,50,39,0.75,18
all_safe_features,20260723,100,50,0.9615384615384616,18
all_safe_features,20260723,200,52,1.0,18
all_safe_features,20260724,20,20,0.3389830508474576,18
