seed,method,alpha,num_critical_paths,mean_rank_pio_critical,mean_rank_paper_critical,mean_rank_ensemble_critical,top100_critical_count,top200_critical_count
20260722,ensemble_alpha_0.25,0.25,55,308.72727272727275,395.7090909090909,365.56363636363636,21,31
20260722,ensemble_alpha_0.50,0.5,55,308.72727272727275,395.7090909090909,337.92727272727274,23,31
20260722,ensemble_alpha_0.75,0.75,55,308.72727272727275,395.7090909090909,318.4909090909091,23,29
20260723,ensemble_alpha_0.25,0.25,52,317.15384615384613,388.3269230769231,360.7307692307692,16,30
20260723,ensemble_alpha_0.50,0.5,52,317.15384615384613,388.3269230769231,336.2692307692308,22,30
20260723,ensemble_alpha_0.75,0.75,52,317.15384615384613,388.3269230769231,321.6730769230769,23,29
20260724,ensemble_alpha_0.25,0.25,59,299.59322033898303,368.135593220339,343.1864406779661,26,34
20260724,ensemble_alpha_0.50,0.5,59,299.59322033898303,368.135593220339,320.93220338983053,26,34
20260724,ensemble_alpha_0.75,0.75,59,299.59322033898303,368.135593220339,306.76271186440675,27,33
20260725,ensemble_alpha_0.25,0.25,52,328.78846153846155,403.4807692307692,373.0576923076923,20,28
20260725,ensemble_alpha_0.50,0.5,52,328.78846153846155,403.4807692307692,350.13461538461536,21,27
20260725,ensemble_alpha_0.75,0.75,52,328.78846153846155,403.4807692307692,335.3076923076923,22,26
20260726,ensemble_alpha_0.25,0.25,65,274.5692307692308,348.84615384615387,319.16923076923075,29,40
20260726,ensemble_alpha_0.50,0.5,65,274.5692307692308,348.84615384615387,295.55384615384617,29,39
20260726,ensemble_alpha_0.75,0.75,65,274.5692307692308,348.84615384615387,281.10769230769233,31,39
