seed,method,attempts_to_find_all,found_after_20,found_after_50,found_after_100,recall_at_20,recall_at_50,recall_at_100,total_critical_paths,runtime_seconds,notes
20260722,original_GCN_path_prob,1401,7,8,10,0.12727272727272726,0.14545454545454545,0.18181818181818182,55,3.1990835666656494,weak paper-feature model trained inside this small experiment; preliminary result
20260722,LODF_yP,1148,2,10,11,0.03636363636363636,0.18181818181818182,0.2,55,1.8565645217895508,physical-rule ranking baseline
20260722,random,1381,1,3,4,0.01818181818181818,0.05454545454545454,0.07272727272727272,55,0.00033664703369140625,fixed random seed per test seed
20260722,line_order,1400,0,1,3,0.0,0.01818181818181818,0.05454545454545454,55,0.00011587142944335938,line-number order baseline
20260722,oracle,55,20,50,55,0.36363636363636365,0.9090909090909091,1.0,55,0.0035355091094970703,upper bound only; not a deployable search method
20260723,original_GCN_path_prob,1400,3,4,5,0.057692307692307696,0.07692307692307693,0.09615384615384616,52,3.1287412643432617,weak paper-feature model trained inside this small experiment; preliminary result
20260723,LODF_yP,1334,2,6,10,0.038461538461538464,0.11538461538461539,0.19230769230769232,52,1.9244904518127441,physical-rule ranking baseline
20260723,random,1389,1,1,3,0.019230769230769232,0.019230769230769232,0.057692307692307696,52,0.00034236907958984375,fixed random seed per test seed
20260723,line_order,1400,0,1,3,0.0,0.019230769230769232,0.057692307692307696,52,0.000148773193359375,line-number order baseline
20260723,oracle,52,20,50,52,0.38461538461538464,0.9615384615384616,1.0,52,0.0008070468902587891,upper bound only; not a deployable search method
20260724,original_GCN_path_prob,1399,7,9,9,0.11864406779661017,0.15254237288135594,0.15254237288135594,59,3.3131885528564453,weak paper-feature model trained inside this small experiment; preliminary result
20260724,LODF_yP,1334,2,8,14,0.03389830508474576,0.13559322033898305,0.23728813559322035,59,1.8993070125579834,physical-rule ranking baseline
20260724,random,1400,0,0,2,0.0,0.0,0.03389830508474576,59,0.0002913475036621094,fixed random seed per test seed
20260724,line_order,1063,2,3,5,0.03389830508474576,0.05084745762711865,0.0847457627118644,59,8.630752563476562e-05,line-number order baseline
20260724,oracle,59,20,50,59,0.3389830508474576,0.847457627118644,1.0,59,0.00048542022705078125,upper bound only; not a deployable search method
