path,score,first_probability,second_probability,rank,used_measured_state,initial_offline_lines,simulation_initial_source
L03->L25,0.321744829416275,0.5602876543998718,0.5742493867874146,1,False,,seed_initial_dcopf_case
L03->L26,0.321744829416275,0.5602876543998718,0.5742493867874146,2,False,,seed_initial_dcopf_case
L03->L32,0.3080849051475525,0.5602876543998718,0.549869179725647,3,False,,seed_initial_dcopf_case
L03->L33,0.3080849051475525,0.5602876543998718,0.549869179725647,4,False,,seed_initial_dcopf_case
L03->L02,0.30216124653816223,0.5602876543998718,0.5392966270446777,5,False,,seed_initial_dcopf_case
L03->L38,0.3013487160205841,0.5602876543998718,0.5378464460372925,6,False,,seed_initial_dcopf_case
L03->L30,0.2980147898197174,0.5602876543998718,0.5318960547447205,7,False,,seed_initial_dcopf_case
L03->L01,0.29765138030052185,0.5602876543998718,0.5312474370002747,8,False,,seed_initial_dcopf_case
L02->L03,0.29137900471687317,0.504095733165741,0.5780231356620789,9,False,,seed_initial_dcopf_case
L19->L25,0.2907804548740387,0.5012578368186951,0.5801015496253967,10,False,,seed_initial_dcopf_case
L19->L26,0.2907804548740387,0.5012578368186951,0.5801015496253967,11,False,,seed_initial_dcopf_case
L03->L06,0.28981316089630127,0.5602876543998718,0.517257809638977,12,False,,seed_initial_dcopf_case
L03->L08,0.2891239523887634,0.5602876543998718,0.5160276889801025,13,False,,seed_initial_dcopf_case
L03->L24,0.28899961709976196,0.5602876543998718,0.5158057808876038,14,False,,seed_initial_dcopf_case
L12->L03,0.28853124380111694,0.4889403283596039,0.5901154279708862,15,False,,seed_initial_dcopf_case
L16->L03,0.2878820300102234,0.49615055322647095,0.5802311897277832,16,False,,seed_initial_dcopf_case
L20->L25,0.28770744800567627,0.49756720662117004,0.5782282948493958,17,False,,seed_initial_dcopf_case
L20->L26,0.28770744800567627,0.49756720662117004,0.5782282948493958,18,False,,seed_initial_dcopf_case
L14->L25,0.2873765528202057,0.49722975492477417,0.5779552459716797,19,False,,seed_initial_dcopf_case
L14->L26,0.2873765528202057,0.49722975492477417,0.5779552459716797,20,False,,seed_initial_dcopf_case
L04->L01,0.28628090023994446,0.5148302912712097,0.556068480014801,21,False,,seed_initial_dcopf_case
L09->L03,0.286262571811676,0.4883880317211151,0.586137592792511,22,False,,seed_initial_dcopf_case
L19->L03,0.2854934334754944,0.5012578368186951,0.5695540308952332,23,False,,seed_initial_dcopf_case
L22->L25,0.28372928500175476,0.49243050813674927,0.5761813521385193,24,False,,seed_initial_dcopf_case
L22->L26,0.28372928500175476,0.49243050813674927,0.5761813521385193,25,False,,seed_initial_dcopf_case
L38->L32,0.28256893157958984,0.4883880317211151,0.5785746574401855,26,False,,seed_initial_dcopf_case
L38->L33,0.28256890177726746,0.4883880317211151,0.5785745978355408,27,False,,seed_initial_dcopf_case
L03->L27,0.2824283540248871,0.5602876543998718,0.5040774345397949,28,False,,seed_initial_dcopf_case
L03->L12,0.2822047472000122,0.5602876543998718,0.5036783218383789,29,False,,seed_initial_dcopf_case
L03->L07,0.282101571559906,0.5602876543998718,0.5034942030906677,30,False,,seed_initial_dcopf_case
L20->L03,0.282016783952713,0.49756720662117004,0.5667913556098938,31,False,,seed_initial_dcopf_case
L31->L03,0.28189024329185486,0.49551472067832947,0.5688837170600891,32,False,,seed_initial_dcopf_case
L17->L03,0.2815228998661041,0.49401238560676575,0.569870114326477,33,False,,seed_initial_dcopf_case
L03->L09,0.2813796103000641,0.5602876543998718,0.5022056102752686,34,False,,seed_initial_dcopf_case
L11->L03,0.2809954881668091,0.4883880317211151,0.5753529667854309,35,False,,seed_initial_dcopf_case
L03->L04,0.2806060016155243,0.5602876543998718,0.5008248686790466,36,False,,seed_initial_dcopf_case
L21->L03,0.2805221378803253,0.4958004653453827,0.565796434879303,37,False,,seed_initial_dcopf_case
L03->L21,0.28041842579841614,0.5602876543998718,0.500490128993988,38,False,,seed_initial_dcopf_case
L36->L03,0.2801176905632019,0.49152445793151855,0.5698957443237305,39,False,,seed_initial_dcopf_case
L37->L03,0.2801176905632019,0.49152445793151855,0.5698957443237305,40,False,,seed_initial_dcopf_case
L03->L23,0.28005409240722656,0.5602876543998718,0.4998398423194885,41,False,,seed_initial_dcopf_case
L18->L03,0.27991291880607605,0.4898943305015564,0.5713740587234497,42,False,,seed_initial_dcopf_case
L24->L03,0.27909359335899353,0.4883880317211151,0.5714586973190308,43,False,,seed_initial_dcopf_case
L28->L03,0.278780460357666,0.4883880317211151,0.5708175301551819,44,False,,seed_initial_dcopf_case
L22->L03,0.27862274646759033,0.49243050813674927,0.565811276435852,45,False,,seed_initial_dcopf_case
L32->L03,0.2785787284374237,0.4883880317211151,0.5704044699668884,46,False,,seed_initial_dcopf_case
L33->L03,0.2785787284374237,0.4883880317211151,0.5704044699668884,47,False,,seed_initial_dcopf_case
L38->L03,0.27848201990127563,0.4883880317211151,0.5702064633369446,48,False,,seed_initial_dcopf_case
L25->L03,0.27842050790786743,0.4883880317211151,0.5700805187225342,49,False,,seed_initial_dcopf_case
L26->L03,0.27842050790786743,0.4883880317211151,0.5700805187225342,50,False,,seed_initial_dcopf_case
L13->L03,0.27838003635406494,0.4883880317211151,0.5699976682662964,51,False,,seed_initial_dcopf_case
L34->L03,0.2783593237400055,0.4883880317211151,0.5699552297592163,52,False,,seed_initial_dcopf_case
L35->L03,0.2783593237400055,0.4883880317211151,0.5699552297592163,53,False,,seed_initial_dcopf_case
