path,rank,score,used_measured_state,initial_offline_lines,simulation_initial_source,total_load_shed_mw,critical,final_outage_labels
L03->L25,1,0.32997187972068787,False,,seed_initial_dcopf_case,0.0,False,"L03,L25"
L03->L26,2,0.32997187972068787,False,,seed_initial_dcopf_case,0.0,False,"L03,L26"
L03->L32,3,0.32079240679740906,False,,seed_initial_dcopf_case,0.0,False,"L03,L32"
L03->L33,4,0.32079240679740906,False,,seed_initial_dcopf_case,0.0,False,"L03,L33"
L03->L02,5,0.31308722496032715,False,,seed_initial_dcopf_case,0.0,False,"L02,L03"
L03->L30,6,0.3098684847354889,False,,seed_initial_dcopf_case,0.0,False,"L03,L30"
L03->L38,7,0.30947425961494446,False,,seed_initial_dcopf_case,0.0,False,"L03,L38"
L03->L01,8,0.3019358813762665,False,,seed_initial_dcopf_case,0.0,False,"L01,L03"
L03->L08,9,0.301151305437088,False,,seed_initial_dcopf_case,0.0,False,"L03,L08"
L03->L06,10,0.30114880204200745,False,,seed_initial_dcopf_case,0.0,False,"L03,L06"
L03->L24,11,0.29560714960098267,False,,seed_initial_dcopf_case,0.0,False,"L03,L24"
L02->L03,12,0.295382559299469,False,,seed_initial_dcopf_case,0.0,False,"L02,L03"
L04->L01,13,0.29488080739974976,False,,seed_initial_dcopf_case,0.0,False,"L01,L04"
L19->L26,14,0.29153525829315186,False,,seed_initial_dcopf_case,0.0,False,"L19,L26"
L19->L25,15,0.29153522849082947,False,,seed_initial_dcopf_case,0.0,False,"L19,L25"
L03->L27,16,0.2914489507675171,False,,seed_initial_dcopf_case,0.0,False,"L03,L27"
L03->L12,17,0.2908381223678589,False,,seed_initial_dcopf_case,0.0,False,"L03,L12"
L38->L32,18,0.28996026515960693,False,,seed_initial_dcopf_case,0.0,False,"L32,L38"
L38->L33,19,0.28996026515960693,False,,seed_initial_dcopf_case,0.0,False,"L33,L38"
L03->L04,20,0.2897454798221588,False,,seed_initial_dcopf_case,0.0,False,"L03,L04"
L19->L03,21,0.28955188393592834,False,,seed_initial_dcopf_case,0.0,False,"L03,L19"
L03->L14,22,0.2894585430622101,False,,seed_initial_dcopf_case,0.0,False,"L03,L14"
L25->L03,23,0.2886819541454315,False,,seed_initial_dcopf_case,0.0,False,"L03,L25"
L26->L03,24,0.2886819541454315,False,,seed_initial_dcopf_case,0.0,False,"L03,L26"
L03->L07,25,0.28848809003829956,False,,seed_initial_dcopf_case,0.0,False,"L03,L07"
L03->L09,26,0.2881741523742676,False,,seed_initial_dcopf_case,85.87581470171463,True,"L03,L09"
L20->L25,27,0.28678253293037415,False,,seed_initial_dcopf_case,0.0,False,"L20,L25"
L20->L26,28,0.28678253293037415,False,,seed_initial_dcopf_case,0.0,False,"L20,L26"
L14->L25,29,0.28663623332977295,False,,seed_initial_dcopf_case,0.0,False,"L14,L25"
L14->L26,30,0.28663623332977295,False,,seed_initial_dcopf_case,0.0,False,"L14,L26"
L12->L03,31,0.2864638566970825,False,,seed_initial_dcopf_case,0.0,False,"L03,L12"
L03->L23,32,0.2853414714336395,False,,seed_initial_dcopf_case,0.0,False,"L03,L23"
L03->L21,33,0.28506386280059814,False,,seed_initial_dcopf_case,0.0,False,"L03,L21"
L11->L03,34,0.28433990478515625,False,,seed_initial_dcopf_case,0.0,False,"L03,L11"
L36->L03,35,0.28427013754844666,False,,seed_initial_dcopf_case,0.0,False,"L03,L36"
L37->L03,36,0.28427013754844666,False,,seed_initial_dcopf_case,0.0,False,"L03,L37"
L31->L03,37,0.28411975502967834,False,,seed_initial_dcopf_case,0.0,False,"L03,L31"
L03->L31,38,0.2840830385684967,False,,seed_initial_dcopf_case,0.0,False,"L03,L31"
L18->L03,39,0.28369787335395813,False,,seed_initial_dcopf_case,0.0,False,"L03,L18"
L16->L03,40,0.2834690511226654,False,,seed_initial_dcopf_case,0.0,False,"L03,L16"
L13->L03,41,0.28338369727134705,False,,seed_initial_dcopf_case,0.0,False,"L03,L13"
L28->L03,42,0.28316688537597656,False,,seed_initial_dcopf_case,0.0,False,"L03,L28"
L38->L03,43,0.2831062972545624,False,,seed_initial_dcopf_case,0.0,False,"L03,L38"
L32->L03,44,0.2830888628959656,False,,seed_initial_dcopf_case,0.0,False,"L03,L32"
L33->L03,45,0.2830888628959656,False,,seed_initial_dcopf_case,0.0,False,"L03,L33"
L22->L25,46,0.28306350111961365,False,,seed_initial_dcopf_case,0.0,False,"L22,L25"
L22->L26,47,0.28306350111961365,False,,seed_initial_dcopf_case,0.0,False,"L22,L26"
L20->L03,48,0.28304919600486755,False,,seed_initial_dcopf_case,0.0,False,"L03,L20"
L30->L03,49,0.28300583362579346,False,,seed_initial_dcopf_case,0.0,False,"L03,L30"
L34->L03,50,0.283001571893692,False,,seed_initial_dcopf_case,0.0,False,"L03,L34"
L35->L03,51,0.283001571893692,False,,seed_initial_dcopf_case,0.0,False,"L03,L35"
L19->L32,52,0.28281232714653015,False,,seed_initial_dcopf_case,0.0,False,"L19,L32"
L19->L33,53,0.28281229734420776,False,,seed_initial_dcopf_case,0.0,False,"L19,L33"
L03->L36,54,0.2827548682689667,False,,seed_initial_dcopf_case,0.0,False,"L03,L36"
L03->L37,55,0.2827548682689667,False,,seed_initial_dcopf_case,0.0,False,"L03,L37"
L05->L01,56,0.28226709365844727,False,,seed_initial_dcopf_case,0.0,False,"L01,L05"
L21->L03,57,0.2822277545928955,False,,seed_initial_dcopf_case,0.0,False,"L03,L21"
L09->L03,58,0.2817865014076233,False,,seed_initial_dcopf_case,85.87581470171463,True,"L03,L09"
L24->L03,59,0.28138405084609985,False,,seed_initial_dcopf_case,0.0,False,"L03,L24"
L29->L03,60,0.28042489290237427,False,,seed_initial_dcopf_case,0.0,False,"L03,L29"
L22->L03,61,0.28036749362945557,False,,seed_initial_dcopf_case,0.0,False,"L03,L22"
L38->L25,62,0.27994394302368164,False,,seed_initial_dcopf_case,0.0,False,"L25,L38"
L38->L26,63,0.27994394302368164,False,,seed_initial_dcopf_case,0.0,False,"L26,L38"
L03->L20,64,0.27988922595977783,False,,seed_initial_dcopf_case,0.0,False,"L03,L20"
L03->L16,65,0.2797418534755707,False,,seed_initial_dcopf_case,0.0,False,"L03,L16"
L03->L05,66,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L05"
L03->L10,67,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L10"
L03->L11,68,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L11"
L03->L13,69,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L13"
L03->L15,70,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L15"
L03->L17,71,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L17"
L03->L18,72,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L18"
L03->L19,73,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L19"
L03->L22,74,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L22"
L03->L28,75,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L28"
L03->L29,76,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L29"
L03->L34,77,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L34"
L03->L35,78,0.27964991331100464,False,,seed_initial_dcopf_case,0.0,False,"L03,L35"
L14->L32,79,0.27896618843078613,False,,seed_initial_dcopf_case,0.0,False,"L14,L32"
L14->L33,80,0.27896618843078613,False,,seed_initial_dcopf_case,0.0,False,"L14,L33"
L01->L02,81,0.27869439125061035,False,,seed_initial_dcopf_case,0.0,False,"L01,L02"
L23->L03,82,0.278099924325943,False,,seed_initial_dcopf_case,0.0,False,"L03,L23"
L20->L32,83,0.2779673933982849,False,,seed_initial_dcopf_case,0.0,False,"L20,L32"
L20->L33,84,0.2779673635959625,False,,seed_initial_dcopf_case,0.0,False,"L20,L33"
L14->L03,85,0.27707335352897644,False,,seed_initial_dcopf_case,0.0,False,"L03,L14"
