case_id,sim_completed,converged,frequency_nadir_hz,frequency_zenith_hz,max_rotor_angle_separation_deg,max_rotor_angle_separation_raw_deg,max_rotor_angle_separation_coi_deg,final_rotor_angle_separation_coi_deg,mean_frequency_hz,final_mean_frequency_hz,frequency_drift_hz_per_s,initial_pm_pe_residual_norm,initial_pm_pe_max_abs_residual,mean_pm,mean_pe,total_load_mw,total_generation_mw,pm_update_load_shed_mw,pm_update_old_total_load_mw,pm_update_new_total_load_mw,pm_update_old_total_pm,pm_update_new_total_pm,pm_update_mode,max_line_loading_ratio,dynamic_trip_count,dynamic_unstable,dynamic_unstable_by_frequency,dynamic_unstable_by_rotor_angle,dynamic_unstable_by_unresolved_relay,dynamic_unstable_by_sim_failure,dynamic_unstable_by_other,unstable_reason,passive_relay_trip_count,security_redispatch_count,dynamic_load_shed_mw,max_security_violation_loading_ratio,max_relay_violation_loading_ratio,relay_beta,result_source,dynamic_stress_score,stress_rank,stress_reason,group
dyn_case_0001,1,1,49.2297785881481,50.5689915035791,179.551188814583,321.623805046863,179.551188814583,140.941407331435,50.0,50,0.0,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376229240768313,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2702214118518995,1,low_frequency,learned_mlp_top100
dyn_case_0006,1,1,49.2297785881481,50.5689915035791,179.589424295707,321.623805046863,179.589424295707,137.888251226486,50.0,50,2.1316282072803e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376229240768313,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2702214118518995,2,low_frequency,learned_mlp_top100
dyn_case_0007,1,1,49.2297785881481,50.5689915035791,179.551188814583,321.623805046863,179.551188814583,139.399297257792,50.0000000000001,50,-1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376229240768313,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2702214118518995,3,low_frequency,learned_mlp_top100
dyn_case_0016,1,1,49.2297785881481,50.5689915035791,179.556101478523,321.623805046863,179.556101478523,146.720056781367,50.0000000000002,50,-7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376229240768313,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2702214118518995,4,low_frequency,learned_mlp_top100
dyn_case_0033,1,1,49.2297785881481,50.5689915035791,179.551188814583,321.623805046863,179.551188814583,140.941407331435,50.0,50,0.0,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376229240768313,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2702214118518995,5,low_frequency,learned_mlp_top100
dyn_case_0030,1,1,49.2409831099392,50.5488133611635,179.644203942449,264.920578427921,179.644203942449,142.702093826713,49.9999999999998,50,7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.370166645005446,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2590168900607992,6,low_frequency,learned_mlp_top100
dyn_case_0042,1,1,49.2409831099392,50.5488133611635,179.644203942449,264.920578427921,179.644203942449,146.761400130431,49.9999999999998,50,7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.367759749534988,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2590168900607992,7,low_frequency,learned_mlp_top100
dyn_case_0052,1,1,49.2409831099392,50.5488133611635,179.644203942449,264.920578427921,179.644203942449,139.338578777132,49.9999999999999,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.374246283724943,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2590168900607992,8,low_frequency,learned_mlp_top100
dyn_case_0098,1,1,49.2409831099392,50.5488133611635,179.644203942449,264.920578427921,179.644203942449,143.329277602317,49.9999999999998,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.374228166971039,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2590168900607992,9,low_frequency,learned_mlp_top100
dyn_case_0054,1,1,49.2496900659452,50.5536568744365,179.914707179538,318.098560419222,179.914707179538,140.264699397375,49.9999999999999,50,0.0,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.37342071442968,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.2503099340547976,10,low_frequency,learned_mlp_top100
