policy,subset,episodes,mean_negative_return,mean_improvement_vs_do_nothing,improved_ratio_vs_do_nothing,mean_num_generations,mean_num_line_outages,mean_load_shed_MW,mean_num_proactive_actions
do_nothing,all_test,100,75.18514158804321,0.0,0,1.2,4.7,15.783319732427596,0.0
one_step_oracle,all_test,100,67.06,8.125141588043212,0.6,1.0,2.29,0.3573026455640793,0.6
oracle_bc_full,all_test,100,73.61977943607849,1.5653621519647205,0.28,1.19,3.39,2.766959857940674,0.28
oracle_bc_positive_only,all_test,100,100.1,-24.914858411956786,0.59,1.0,2.69,0.3573026455640793,1.0
ppo_do_nothing_init,all_test,100,75.1901415880432,-0.004999999999999716,0,1.2,4.75,15.783319732427596,0.05
ppo_oracle_bc_init,all_test,100,100.1,-24.914858411956786,0.59,1.0,2.69,0.3573026455640793,1.0
ppo_random_init,all_test,100,78.36826868901316,-3.1831271009699487,0.27,1.14,4.95,12.669115628659725,1.14
safe_oracle_bc_full,all_test,100,74.29057815113192,0.8945634369112851,0.13,1.2,3.92,6.250983098089695,0.13
do_nothing,improvable,60,103.64190264673869,0.0,0,1.3333333333333333,6.766666666666667,25.710028478105862,0.0
one_step_oracle,improvable,60,90.1,13.541902646738686,1,1.0,2.75,0.0,1.0
oracle_bc_full,improvable,60,101.03296572679749,2.608936919941201,0.4666666666666667,1.3166666666666667,4.583333333333333,4.016095353960991,0.4666666666666667
oracle_bc_positive_only,improvable,60,100.1,3.541902646738686,0.9833333333333333,1.0,2.75,0.0,1.0
ppo_do_nothing_init,improvable,60,103.64356931340535,-0.001666666666666572,0,1.3333333333333333,6.783333333333333,25.710028478105862,0.016666666666666666
ppo_oracle_bc_init,improvable,60,100.1,3.541902646738686,0.9833333333333333,1.0,2.75,0.0,1.0
ppo_random_init,improvable,60,100.47563033321681,3.1662723135218713,0.45,1.2166666666666666,6.45,19.65915228565534,1.2166666666666666
safe_oracle_bc_full,improvable,60,102.15096358521987,1.4909390615188085,0.21666666666666667,1.3333333333333333,5.466666666666667,9.822800754209359,0.21666666666666667
do_nothing,non_improvable,40,32.5,0.0,0,1.0,1.6,0.8932566139101983,0.0
one_step_oracle,non_improvable,40,32.5,0.0,0,1.0,1.6,0.8932566139101983,0.0
oracle_bc_full,non_improvable,40,32.5,0.0,0,1.0,1.6,0.8932566139101983,0.0
oracle_bc_positive_only,non_improvable,40,100.1,-67.6,0,1.0,2.6,0.8932566139101983,1.0
ppo_do_nothing_init,non_improvable,40,32.51,-0.009999999999999431,0,1.0,1.7,0.8932566139101983,0.1
ppo_oracle_bc_init,non_improvable,40,100.1,-67.6,0,1.0,2.6,0.8932566139101983,1.0
ppo_random_init,non_improvable,40,45.20722622270768,-12.707226222707678,0,1.025,2.7,2.184060643166304,1.025
safe_oracle_bc_full,non_improvable,40,32.5,0.0,0,1.0,1.6,0.8932566139101983,0.0
do_nothing,high_risk_top10pct,11,109.9222908577521,0.0,0,1.8181818181818181,10.727272727272727,72.29366247870705,0.0
one_step_oracle,high_risk_top10pct,11,91.0090909090909,18.9131999486612,1,1.0,2.5454545454545454,0.0,1.0
oracle_bc_full,high_risk_top10pct,11,103.41958496760131,6.502705890150802,0.8181818181818182,1.7272727272727273,5.0,8.528512196107345,0.8181818181818182
oracle_bc_positive_only,high_risk_top10pct,11,100.1,9.82229085775211,1,1.0,2.5454545454545454,0.0,1.0
ppo_do_nothing_init,high_risk_top10pct,11,109.9222908577521,0.0,0,1.8181818181818181,10.727272727272727,72.29366247870705,0.0
ppo_oracle_bc_init,high_risk_top10pct,11,100.1,9.82229085775211,1,1.0,2.5454545454545454,0.0,1.0
ppo_random_init,high_risk_top10pct,11,104.36609151000226,5.556199347749838,1,1.5454545454545454,6.7272727272727275,37.34991467215798,1.5454545454545454
safe_oracle_bc_full,high_risk_top10pct,11,105.27376630524947,4.648524552502637,0.5454545454545454,1.8181818181818181,6.545454545454546,16.099361507459122,0.5454545454545454
