step,episode_return,negative_return
1,-105.03458650745755,105.03458650745755
2,-104.97705754992859,104.97705754992859
4,-107.23037533331294,107.23037533331294
5,-100.1,100.1
6,-101.11967306676628,101.11967306676628
7,-0.1,0.1
8,-104.02105608476768,104.02105608476768
10,-102.2185687486353,102.2185687486353
11,-103.0789987687013,103.0789987687013
12,-103.92105608476768,103.92105608476768
13,-100.14826254826254,100.14826254826254
15,-103.18013266932446,103.18013266932446
16,-106.14788829437471,106.14788829437471
17,-100.1,100.1
19,-103.23766162685342,103.23766162685342
20,-107.19095205327021,107.19095205327021
22,-106.16433525811341,106.16433525811341
23,-107.83701400998507,107.83701400998507
25,-104.15544664514918,104.15544664514918
26,-103.16509915480168,103.16509915480168
27,-101.09501662508319,101.09501662508319
28,-100.1,100.1
29,-103.05544664514917,103.05544664514917
30,-106.12972424775272,106.12972424775272
31,-100.1,100.1
32,-107.95052752349858,107.95052752349858
33,-103.05544664514917,103.05544664514917
34,-107.99454296751402,107.99454296751402
35,-100.1,100.1
36,-105.11026218313322,105.11026218313322
37,-101.22822125828782,101.22822125828782
38,-100.9950166250832,100.9950166250832
39,-100.1,100.1
40,-101.98013266932448,101.98013266932448
41,-0.1,0.1
42,-0.1,0.1
43,-101.13718921493641,101.13718921493641
45,-102.19501662508318,102.19501662508318
46,-103.92105608476768,103.92105608476768
47,-107.82311439608546,107.82311439608546
49,-104.17514929440766,104.17514929440766
50,-103.05544664514917,103.05544664514917
51,-104.97705754992859,104.97705754992859
52,-103.05544664514917,103.05544664514917
53,-100.1,100.1
54,-108.02452418966257,108.02452418966257
55,-100.1,100.1
56,-101.2046691347357,101.2046691347357
57,-105.93706015508863,105.93706015508863
58,-104.05580511951672,104.05580511951672
59,-105.08434154766879,105.08434154766879
60,-103.05544664514917,103.05544664514917
61,-102.08013266932447,102.08013266932447
62,-104.31642288013447,104.31642288013447
63,-100.1,100.1
64,-104.02105608476768,104.02105608476768
65,-100.1,100.1
66,0.0,-0.0
67,-108.16163069195412,108.16163069195412
68,-105.25891083178188,105.25891083178188
69,-100.1,100.1
70,-100.1,100.1
71,-101.98013266932448,101.98013266932448
72,-100.1,100.1
73,-103.05544664514917,103.05544664514917
75,-102.19501662508318,102.19501662508318
76,-0.1,0.1
77,-103.1886512783538,103.1886512783538
79,-105.24797229808549,105.24797229808549
80,-103.05544664514917,103.05544664514917
81,-100.1,100.1
82,-104.99229171091285,104.99229171091285
83,-107.90842811206312,107.90842811206312
84,-103.05544664514917,103.05544664514917
85,-100.1,100.1
86,-103.05544664514917,103.05544664514917
87,-102.22878131797312,102.22878131797312
89,-108.26938415029811,108.26938415029811
90,-103.05544664514917,103.05544664514917
91,-100.1,100.1
93,-109.94129704433468,109.94129704433468
94,-100.1,100.1
95,-103.05544664514917,103.05544664514917
96,-0.1,0.1
97,-104.0892632712766,104.0892632712766
99,-112.2391788018524,112.2391788018524
100,-103.05544664514917,103.05544664514917
101,-105.09095716382821,105.09095716382821
102,-105.96416301542368,105.96416301542368
103,-103.05544664514917,103.05544664514917
104,-0.1,0.1
105,-102.08013266932447,102.08013266932447
106,-102.08013266932447,102.08013266932447
107,-100.14826254826254,100.14826254826254
108,-0.1,0.1
109,-104.02105608476768,104.02105608476768
111,-107.20862514016011,107.20862514016011
113,-102.2185687486353,102.2185687486353
114,-100.1,100.1
115,-110.04161574215271,110.04161574215271
116,-103.05544664514917,103.05544664514917
117,-100.1,100.1
118,-101.09501662508319,101.09501662508319
120,-102.09501662508319,102.09501662508319
121,-102.18978517897698,102.18978517897698
122,-0.1,0.1
124,-107.96650121200105,107.96650121200105
125,-100.1,100.1
126,-103.05544664514917,103.05544664514917
127,-101.09501662508319,101.09501662508319
128,-104.02105608476768,104.02105608476768
129,-100.1,100.1
130,-100.1,100.1
131,-100.1,100.1
132,-107.00730254758992,107.00730254758992
133,-103.06896015866269,103.06896015866269
134,-102.08013266932447,102.08013266932447
135,-106.08570880373728,106.08570880373728
136,-105.93706015508863,105.93706015508863
137,-100.1,100.1
138,-106.09497521300369,106.09497521300369
139,-0.1,0.1
140,-100.1,100.1
141,-104.02105608476768,104.02105608476768
142,-0.1,0.1
144,-108.14172928982433,108.14172928982433
145,-103.05544664514917,103.05544664514917
146,-100.1,100.1
147,-0.1,0.1
148,-100.1,100.1
149,-100.1,100.1
150,-104.97705754992859,104.97705754992859
151,-100.1,100.1
152,-100.12355212355212,100.12355212355212
153,-103.05544664514917,103.05544664514917
155,-107.07207417501178,107.07207417501178
156,-102.96037518306169,102.96037518306169
