policy,negative_return,survival_probability
agent,-0.0,1.0
agent,-0.0,0.99
agent,-0.0,0.98
agent,-0.0,0.97
agent,-0.0,0.96
agent,-0.0,0.95
agent,-0.0,0.94
agent,-0.0,0.9299999999999999
agent,-0.0,0.92
agent,-0.0,0.91
agent,-0.0,0.9
agent,-0.0,0.89
agent,-0.0,0.88
agent,-0.0,0.87
agent,-0.0,0.86
agent,-0.0,0.85
agent,-0.0,0.84
agent,-0.0,0.83
agent,-0.0,0.8200000000000001
agent,-0.0,0.81
agent,-0.0,0.8
agent,-0.0,0.79
agent,-0.0,0.78
agent,100.0,0.77
agent,100.0,0.76
agent,100.0,0.75
agent,100.0,0.74
agent,100.0,0.73
agent,100.0,0.72
agent,100.0,0.71
agent,100.0,0.7
agent,100.0,0.69
agent,100.0,0.6799999999999999
agent,100.0,0.6699999999999999
agent,100.0,0.6599999999999999
agent,101.01964855465184,0.65
agent,101.1046691347357,0.64
agent,101.12822125828782,0.63
agent,101.98013266932448,0.62
agent,101.98013266932448,0.61
agent,101.98013266932448,0.6
agent,101.98013266932448,0.5900000000000001
agent,101.98013266932448,0.5800000000000001
agent,101.98013266932448,0.5700000000000001
agent,101.98013266932448,0.56
agent,102.95544664514918,0.55
agent,102.95544664514918,0.54
agent,102.95544664514918,0.53
agent,102.95544664514918,0.52
agent,102.95544664514918,0.51
agent,102.95544664514918,0.5
agent,102.95544664514918,0.49
agent,102.95544664514918,0.48
agent,102.95544664514918,0.47
agent,102.95544664514918,0.45999999999999996
agent,102.95544664514918,0.44999999999999996
agent,102.95544664514918,0.43999999999999995
agent,102.95544664514918,0.43000000000000005
agent,103.03112232082485,0.42000000000000004
agent,103.08865127835381,0.41000000000000003
agent,103.08865127835381,0.4
agent,103.92105608476768,0.39
agent,103.92105608476768,0.38
agent,103.92105608476768,0.37
agent,103.92105608476768,0.36
agent,103.9345695982812,0.35
agent,103.95039971411131,0.33999999999999997
agent,103.95435961382503,0.32999999999999996
agent,103.96108154246336,0.31999999999999995
agent,104.8770575499286,0.31000000000000005
agent,104.8770575499286,0.30000000000000004
agent,104.8770575499286,0.29000000000000004
agent,104.8770575499286,0.28
agent,104.88890095186123,0.27
agent,104.89057106344211,0.26
agent,104.95046327023238,0.25
agent,104.99095716382821,0.24
agent,105.06011577988488,0.22999999999999998
agent,105.82354664157512,0.21999999999999997
agent,105.87046353340943,0.20999999999999996
agent,105.9295862233644,0.19999999999999996
agent,105.93744625547474,0.18999999999999995
agent,105.97016591949085,0.18000000000000005
agent,105.97219529022377,0.17000000000000004
agent,106.8230128641651,0.16000000000000003
agent,106.91470226760568,0.15000000000000002
agent,107.1077881870779,0.14
agent,107.19655554945895,0.13
agent,107.80226497523604,0.12
agent,107.83701400998507,0.10999999999999999
agent,107.86142040951546,0.09999999999999998
agent,107.88858333615548,0.08999999999999997
agent,107.97876145155887,0.07999999999999996
agent,108.85194185916214,0.06999999999999995
