step,episode,episode_return,negative_return,initial_outages,initial_outage_type,initial_outage_order,chronic_index,policy_loss,value_loss,entropy,approx_kl,clip_fraction,num_generations,num_line_outages,load_shed_MW,num_proactive_actions,num_invalid_actions
1,1,-105.09380969316663,105.09380969316663,"6,9",common_bus_N-2,2,1714,0.0,0.0,0.0,0.0,0.0,1,8,22.817425155639647,1,0
2,2,-105.38857441019852,105.38857441019852,"3,7",common_bus_N-2,2,1715,0.0,0.0,0.0,0.0,0.0,1,8,84.42671689391136,1,0
4,3,-107.23037533331294,107.23037533331294,17,N-1,1,748,0.0,0.0,0.0,0.0,0.0,2,8,72.06223533153533,1,0
5,4,-100.1,100.1,"0,1",common_bus_N-2,2,1737,0.0,0.0,0.0,0.0,0.0,1,3,76.82003271579742,1,0
6,5,-101.35700815218271,101.35700815218271,2,N-1,1,3,0.0,0.0,0.0,0.0,0.0,1,3,59.749064326286316,1,0
7,6,0.0,-0.0,4,N-1,1,1142,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0
8,7,-104.61491425444062,104.61491425444062,1,N-1,1,979,0.0,0.0,0.0,0.0,0.0,1,6,177.3137365221977,1,0
10,8,-102.2185687486353,102.2185687486353,11,N-1,1,1292,0.0,0.0,0.0,0.0,0.0,2,4,6.532502138614654,2,0
11,9,-103.22380591587415,103.22380591587415,"10,12",common_bus_N-2,2,589,0.0,0.0,0.0,0.0,0.0,1,6,43.078358680009835,1,0
12,10,-104.03625062589555,104.03625062589555,"6,9",common_bus_N-2,2,1382,0.0,0.0,0.0,0.0,0.0,1,6,23.14426675438881,0,0
14,11,-105.29756751733662,105.29756751733662,"14,15",common_bus_N-2,2,1354,0.0,0.0,0.0,0.0,0.0,2,7,53.7187385559082,1,0
16,12,-103.18013266932446,103.18013266932446,"3,7",common_bus_N-2,2,771,0.0,0.0,0.0,0.0,0.0,2,6,0.0,2,0
17,13,-104.8770575499286,104.8770575499286,"6,7",common_bus_N-2,2,707,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0,0
18,14,-100.1,100.1,"16,19",common_bus_N-2,2,1466,0.0,0.0,0.0,0.0,0.0,1,3,13.476019018888474,1,0
19,15,-100.15752895752895,100.15752895752895,"8,16",common_bus_N-2,2,1199,0.0,0.0,0.0,0.0,0.0,1,3,15.197351396083832,1,0
20,16,-104.02105608476768,104.02105608476768,"6,8",common_bus_N-2,2,1555,0.0,0.0,0.0,0.0,0.0,1,7,0.0,1,0
22,17,-106.29712188660751,106.29712188660751,"4,6",common_bus_N-2,2,1399,0.0,0.0,0.0,0.0,0.0,2,8,53.43479013442993,1,0
23,18,-107.88544298564224,107.88544298564224,"4,9",common_bus_N-2,2,1222,0.0,0.0,0.0,0.0,0.0,1,10,53.812777364253996,0,0
25,19,-104.15544664514918,104.15544664514918,"14,16",common_bus_N-2,2,563,0.0,0.0,0.0,0.0,0.0,2,7,0.0,2,0
26,20,0.0,-0.0,18,N-1,1,1538,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0
27,21,-101.09501662508319,101.09501662508319,"10,12",common_bus_N-2,2,1402,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
28,22,-100.1,100.1,"7,13",common_bus_N-2,2,1466,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
29,23,-103.54728641542481,103.54728641542481,0,N-1,1,491,0.0,0.0,0.0,0.0,0.0,1,5,122.36784678697586,1,0
30,24,-106.12972424775272,106.12972424775272,"1,9",common_bus_N-2,2,1371,0.0,0.0,0.0,0.0,0.0,1,9,42.58479473590851,1,0
31,25,-100.1,100.1,"11,18",common_bus_N-2,2,1558,0.0,0.0,0.0,0.0,0.0,1,3,6.6520310759544365,1,0
32,26,-106.08268865484403,106.08268865484403,"4,9",common_bus_N-2,2,1613,0.0,0.0,0.0,0.0,0.0,1,9,38.37144491672516,1,0
33,27,-103.28808796528844,103.28808796528844,2,N-1,1,231,0.0,0.0,0.0,0.0,0.0,1,5,52.89097809791565,1,0
34,28,-107.99454296751402,107.99454296751402,"9,11",common_bus_N-2,2,343,0.0,0.0,0.0,0.0,0.0,1,11,62.17995843887329,1,0
35,29,-100.1,100.1,"8,16",common_bus_N-2,2,1001,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
36,30,-105.12784466666425,105.12784466666425,"11,12",common_bus_N-2,2,1059,0.0,0.0,0.0,0.0,0.0,1,8,37.47547152042389,1,0
38,31,-103.12323788337102,103.12323788337102,11,N-1,1,1135,0.0,0.0,0.0,0.0,0.0,2,3,28.781313568353653,0,0
39,32,-101.34314081237905,101.34314081237905,5,N-1,1,1761,0.0,0.0,0.0,0.0,0.0,1,3,61.66125612258911,1,0
40,33,-100.0,100.0,"11,18",common_bus_N-2,2,1595,0.0,0.0,0.0,0.0,0.0,1,2,6.153650367259979,0,0
41,34,-102.55434228714763,102.55434228714763,1,N-1,1,1389,0.0,0.0,0.0,0.0,0.0,1,4,97.25823068618774,1,0
42,35,-0.1,0.1,"4,6",common_bus_N-2,2,1695,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
43,36,-0.1,0.1,5,N-1,1,1170,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
45,37,-106.60974587736436,106.60974587736436,19,N-1,1,1547,0.0,0.0,0.0,0.0,0.0,2,7,164.8785277366638,1,0
47,38,-103.39140905687803,103.39140905687803,"3,5",common_bus_N-2,2,881,0.0,0.0,0.0,0.0,0.0,2,5,75.0319818854332,1,0
48,39,-104.53005770671186,104.53005770671186,"2,3",common_bus_N-2,2,547,0.0,0.0,0.0,0.0,0.0,1,7,123.95166123509406,1,0
49,40,-110.2548282458942,110.2548282458942,"1,9",common_bus_N-2,2,312,0.0,0.0,0.0,0.0,0.0,1,13,171.58237355947495,1,0
50,41,-102.48778222987848,102.48778222987848,1,N-1,1,1115,0.0,0.0,0.0,0.0,0.0,1,4,83.76544564366341,1,0
51,42,-103.43786485599209,103.43786485599209,0,N-1,1,850,0.0,0.0,0.0,0.0,0.0,1,5,84.42209219932555,1,0
52,43,-101.34254402492641,101.34254402492641,8,N-1,1,757,0.0,0.0,0.0,0.0,0.0,1,3,65.76153709888459,1,0
53,44,-104.56331033130247,104.56331033130247,0,N-1,1,620,0.0,0.0,0.0,0.0,0.0,1,6,156.99829751253125,1,0
54,45,-100.1,100.1,"7,13",common_bus_N-2,2,1984,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
55,46,-106.46259272004708,106.46259272004708,"3,8",common_bus_N-2,2,652,0.0,0.0,0.0,0.0,0.0,1,9,170.2207350730896,1,0
56,47,-110.2899652829848,110.2899652829848,"6,9",common_bus_N-2,2,453,0.0,0.0,0.0,0.0,0.0,1,13,197.58468968868254,1,0
57,48,-103.30755794952691,103.30755794952691,16,N-1,1,294,0.0,0.0,0.0,0.0,0.0,1,5,63.53679020404816,1,0
58,49,-100.1,100.1,"6,7",common_bus_N-2,2,1915,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
59,50,-100.12355212355212,100.12355212355212,"9,11",common_bus_N-2,2,488,0.0,0.0,0.0,0.0,0.0,1,3,6.1769156575202935,1,0
60,51,-105.60921013848444,105.60921013848444,"1,6",common_bus_N-2,2,663,0.0,0.0,0.0,0.0,0.0,1,8,202.4778751730919,1,0
61,52,-103.67570228602035,103.67570228602035,"3,4",common_bus_N-2,2,700,0.0,0.0,0.0,0.0,0.0,1,6,201.02789896726608,1,0
62,53,-100.12355212355212,100.12355212355212,"18,19",common_bus_N-2,2,1001,0.0,0.0,0.0,0.0,0.0,1,3,6.961496376991271,1,0
64,54,-103.2133373025291,103.2133373025291,"10,12",common_bus_N-2,2,616,0.0,0.0,0.0,0.0,0.0,2,5,38.52481931447983,1,0
65,55,-100.1,100.1,"16,19",common_bus_N-2,2,1775,0.0,0.0,0.0,0.0,0.0,1,3,15.524118745326996,1,0
66,56,-103.446243342049,103.446243342049,"1,6",common_bus_N-2,2,724,0.0,0.0,0.0,0.0,0.0,1,5,146.34899604320526,0,0
67,57,-100.1,100.1,"7,14",common_bus_N-2,2,1343,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
68,58,-100.13474903474903,100.13474903474903,"15,16",common_bus_N-2,2,1741,0.0,0.0,0.0,0.0,0.0,1,3,7.893427848815918,1,0
69,59,-107.4480959648974,107.4480959648974,"6,9",common_bus_N-2,2,1790,0.0,0.0,0.0,0.0,0.0,1,10,165.2074251651764,1,0
70,60,-100.17567567567566,100.17567567567566,"11,12",common_bus_N-2,2,1305,0.0,0.0,0.0,0.0,0.0,1,3,20.568924045562746,1,0
71,61,-100.0,100.0,"7,14",common_bus_N-2,2,530,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0,0
72,62,-100.1,100.1,"8,14",common_bus_N-2,2,98,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
73,63,-100.559177758084,100.559177758084,"1,6",common_bus_N-2,2,870,0.0,0.0,0.0,0.0,0.0,1,3,106.64969074726105,1,0
74,64,-105.179436612042,105.179436612042,"12,18",common_bus_N-2,2,91,0.0,0.0,0.0,0.0,0.0,1,8,63.16828775405884,1,0
75,65,-0.1,0.1,8,N-1,1,1139,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
77,66,-106.2273887340068,106.2273887340068,"5,7",common_bus_N-2,2,1151,0.0,0.0,0.0,0.0,0.0,2,9,24.259881508350375,2,0
78,67,-0.1,0.1,"8,15",common_bus_N-2,2,1694,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
79,68,-102.1133373025291,102.1133373025291,"11,12",common_bus_N-2,2,1461,0.0,0.0,0.0,0.0,0.0,1,4,31.586886048316956,0,0
81,69,-108.6287670020707,108.6287670020707,"3,8",common_bus_N-2,2,1513,0.0,0.0,0.0,0.0,0.0,2,11,152.8493738412857,2,0
82,70,-103.59107274145781,103.59107274145781,"1,4",common_bus_N-2,2,591,0.0,0.0,0.0,0.0,0.0,1,6,138.1058591246605,1,0
83,71,-100.0,100.0,"0,1",common_bus_N-2,2,533,0.0,0.0,0.0,0.0,0.0,1,2,98.26275658607483,0,0
84,72,-106.40871407520515,106.40871407520515,"2,3",common_bus_N-2,2,1851,0.0,0.0,0.0,0.0,0.0,1,8,174.52147915363312,0,0
85,73,-100.1,100.1,"3,6",common_bus_N-2,2,1797,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
86,74,-103.30255089225342,103.30255089225342,"8,15",common_bus_N-2,2,47,0.0,0.0,0.0,0.0,0.0,1,6,68.51239013671875,1,0
87,75,-103.05544664514917,103.05544664514917,"12,19",common_bus_N-2,2,398,0.0,0.0,0.0,0.0,0.0,1,6,0.0,1,0
89,76,-110.47411550662217,110.47411550662217,4,N-1,1,972,0.0,0.0,0.0,0.0,0.0,2,11,182.79170228242873,1,0
90,77,-102.1696333591937,102.1696333591937,"14,16",common_bus_N-2,2,1023,0.0,0.0,0.0,0.0,0.0,1,5,24.021610975265503,1,0
92,78,-108.44248974019898,108.44248974019898,"4,6",common_bus_N-2,2,1026,0.0,0.0,0.0,0.0,0.0,2,9,171.0651237845421,0,0
93,79,-103.51522459992908,103.51522459992908,"0,4",common_bus_N-2,2,846,0.0,0.0,0.0,0.0,0.0,1,6,108.9053236246109,1,0
94,80,-100.1,100.1,"7,13",common_bus_N-2,2,1891,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
95,81,-106.47617241863068,106.47617241863068,"5,6",common_bus_N-2,2,1194,0.0,0.0,0.0,0.0,0.0,1,9,141.60224613547325,1,0
96,82,-0.1,0.1,16,N-1,1,1082,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
97,83,-103.47847774312727,103.47847774312727,"0,2",common_bus_N-2,2,1355,0.0,0.0,0.0,0.0,0.0,1,6,90.73179739713669,1,0
99,84,-106.36317695695512,106.36317695695512,"8,15",common_bus_N-2,2,1737,0.0,0.0,0.0,0.0,0.0,2,9,55.049774169921875,2,0
100,85,-104.29611283531494,104.29611283531494,"5,8",common_bus_N-2,2,329,0.0,0.0,0.0,0.0,0.0,1,7,80.5891886472702,1,0
101,86,-105.1026667678261,105.1026667678261,"3,7",common_bus_N-2,2,844,0.0,0.0,0.0,0.0,0.0,1,8,28.76640709638596,1,0
102,87,-104.55745709226574,104.55745709226574,"0,3",common_bus_N-2,2,1264,0.0,0.0,0.0,0.0,0.0,1,7,148.0222728252411,1,0
103,88,-108.98873475473046,108.98873475473046,"9,11",common_bus_N-2,2,600,0.0,0.0,0.0,0.0,0.0,1,12,76.27849626541138,1,0
104,89,-100.1,100.1,"1,6",common_bus_N-2,2,1300,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
105,90,-103.42947439165343,103.42947439165343,"0,2",common_bus_N-2,2,1645,0.0,0.0,0.0,0.0,0.0,1,6,79.26956236362457,1,0
106,91,-100.17567567567566,100.17567567567566,"12,19",common_bus_N-2,2,1340,0.0,0.0,0.0,0.0,0.0,1,3,16.918117356300353,1,0
107,92,0.0,-0.0,17,N-1,1,326,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0
108,93,-102.08013266932447,102.08013266932447,14,N-1,1,1873,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
109,94,-101.30060047451086,101.30060047451086,"8,15",common_bus_N-2,2,1710,0.0,0.0,0.0,0.0,0.0,1,4,40.337998366355905,1,0
110,95,-0.1,0.1,"6,8",common_bus_N-2,2,1622,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
111,96,-106.48386751181022,106.48386751181022,3,N-1,1,1059,0.0,0.0,0.0,0.0,0.0,1,8,139.25784423351288,1,0
113,97,-102.2185687486353,102.2185687486353,5,N-1,1,71,0.0,0.0,0.0,0.0,0.0,2,4,7.13201857805252,2,0
115,98,-105.68696865732622,105.68696865732622,"1,4",common_bus_N-2,2,1712,0.0,0.0,0.0,0.0,0.0,2,8,110.43227927684784,2,0
116,99,-100.1,100.1,"10,17",common_bus_N-2,2,279,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
117,100,-110.2966663171055,110.2966663171055,"1,9",common_bus_N-2,2,419,0.0,0.0,0.0,0.0,0.0,1,13,225.2346409678459,1,0
118,101,-108.98873475473046,108.98873475473046,"9,12",common_bus_N-2,2,212,0.0,0.0,0.0,0.0,0.0,1,12,65.59123283624649,1,0
119,102,-100.0,100.0,"0,1",common_bus_N-2,2,96,0.0,0.0,0.0,0.0,0.0,1,2,161.78738009929657,0,0
120,103,-100.1,100.1,15,N-1,1,1500,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
121,104,-101.22822125828782,101.22822125828782,"10,11",common_bus_N-2,2,12,0.0,0.0,0.0,0.0,0.0,1,4,32.464692771434784,1,0
122,105,-100.15212355212354,100.15212355212354,"12,18",common_bus_N-2,2,1616,0.0,0.0,0.0,0.0,0.0,1,3,12.910968393087387,1,0
123,106,0.0,-0.0,5,N-1,1,776,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0
125,107,-107.61331413443509,107.61331413443509,3,N-1,1,1198,0.0,0.0,0.0,0.0,0.0,2,9,141.02453166246414,2,0
126,108,-100.1,100.1,"7,13",common_bus_N-2,2,285,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
127,109,-103.57418227232944,103.57418227232944,"0,3",common_bus_N-2,2,307,0.0,0.0,0.0,0.0,0.0,1,6,137.31279355287552,1,0
128,110,-107.39607527722558,107.39607527722558,"5,6",common_bus_N-2,2,1632,0.0,0.0,0.0,0.0,0.0,1,10,123.22203651070595,1,0
129,111,-106.12972424775272,106.12972424775272,9,N-1,1,1505,0.0,0.0,0.0,0.0,0.0,1,8,55.70241844654083,1,0
