step,episode,episode_return,negative_return,initial_outages,initial_outage_type,initial_outage_order,chronic_index,mask_enabled,mean_valid_action_count,sampled_invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,num_generations,num_line_outages,load_shed_MW,num_proactive_actions,num_invalid_actions
1,1,-102.08484742651449,102.08484742651449,"76,77",common_bus_N-2,2,1714,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,15.091485977172852,1,0
2,2,-108.70688147287719,108.70688147287719,"66,68,97,105",N-4,4,1715,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,1,0
3,3,-100.1,100.1,"20,35,177",N-3,3,748,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
4,4,-113.18138532386293,113.18138532386293,"41,42,179",N-3,3,1737,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,18,62.79114866256714,1,0
6,5,-132.01152076045423,132.01152076045423,"40,178",common_bus_N-2,2,3,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,38,316.43781661987305,2,0
8,6,-108.06190497644307,108.06190497644307,"68,69",common_bus_N-2,2,1142,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,11,16.344594955444336,2,0
9,7,-100.1,100.1,"16,18",common_bus_N-2,2,979,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,16.13941979408264,1,0
10,8,-108.71041754076968,108.71041754076968,"147,152",common_bus_N-2,2,1292,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,12,16.06352984905243,1,0
11,9,-107.82231161310446,107.82231161310446,"123,124,150,152",N-4,4,589,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,13,142.260666847229,1,0
12,10,-103.06322599451269,103.06322599451269,"78,79,84",N-3,3,1382,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,25.5991593003273,1,0
13,11,-102.08909070798548,102.08909070798548,"147,149,155,156",N-4,4,1354,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,31.895501017570496,1,0
15,12,-124.35262146034593,124.35262146034593,"66,68,69,75",N-4,4,771,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,31,99.88438987731934,2,0
16,13,-134.42997148384086,134.42997148384086,"70,74,98",N-3,3,707,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,46,178.22948813438416,1,0
17,14,-110.52106548967768,110.52106548967768,"158,159,166",N-3,3,1466,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,15,17.184185326099396,1,0
18,15,-100.1,100.1,"105,115,118",N-3,3,1199,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
19,16,-109.62309459432956,109.62309459432956,"75,76,77",N-3,3,1555,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,14,31.156060099601746,1,0
20,17,-100.1,100.1,"67,68,98,105",N-4,4,1399,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
21,18,-123.0092214290729,123.0092214290729,"67,74,97,98",N-4,4,1222,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,31,64.30994820594788,1,0
22,19,-109.61861557499905,109.61861557499905,"153,157,162,166",N-4,4,563,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,15,9.32049572467804,1,0
23,20,-132.4333891827996,132.4333891827996,"22,35,38",N-3,3,1538,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,43,178.61897921562195,1,0
24,21,-102.08013266932447,102.08013266932447,"123,126,147,152",N-4,4,1402,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,1,0
26,22,-103.19151746046566,103.19151746046566,"83,88",common_bus_N-2,2,1466,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,6,43.67883825302124,2,0
27,23,-100.1,100.1,"2,9",common_bus_N-2,2,491,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
28,24,-113.16417646011942,113.16417646011942,"64,67,97,98",N-4,4,1371,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,19,0.0,1,0
29,25,-128.27245777790506,128.27245777790506,"135,138,140,141",N-4,4,1558,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,38,299.9014947414398,1,0
30,26,-114.91367390865939,114.91367390865939,"67,70,75",N-3,3,1613,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,20,110.78233194351196,1,0
31,27,-107.79991651645193,107.79991651645193,"32,33",common_bus_N-2,2,231,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,11,43.01214098930359,1,0
32,28,-121.4834185138067,121.4834185138067,"117,120,122,127",N-4,4,343,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,29,228.22606468200684,1,0
33,29,-114.02920235749421,114.02920235749421,"105,118",common_bus_N-2,2,1001,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,18,0.0,1,0
34,30,-100.1,100.1,"131,132,134,135",N-4,4,1059,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,1,0
35,31,-101.1006743337112,101.1006743337112,"147,155",common_bus_N-2,2,1135,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,4,20.021783351898193,1,0
36,32,-122.23783777018153,122.23783777018153,"75,98",common_bus_N-2,2,1761,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,28,72.92175197601318,1,0
37,33,-105.92354664157513,105.92354664157513,"136,140",common_bus_N-2,2,1595,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,9,0.0,1,0
39,34,-111.90174154855603,111.90174154855603,"20,38",common_bus_N-2,2,1389,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,15,67.40920281410217,2,0
40,35,-104.9770575499286,104.9770575499286,"67,68,75,97",N-4,4,1695,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,0.0,1,0
41,36,-108.7339913267197,108.7339913267197,"70,74",common_bus_N-2,2,1170,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,12,106.94590866565704,1,0
42,37,-111.41573567764776,111.41573567764776,"36,53",common_bus_N-2,2,1547,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,15,35.38594973087311,1,0
43,38,-114.03603875541972,114.03603875541972,"65,74,75",N-3,3,881,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,19,27.876372933387756,1,0
45,39,-129.57332786093016,129.57332786093016,"64,74,105",N-3,3,547,True,0.0,0,0.0,0.0,0.0,0.0,0.0,2,37,122.2297078371048,2,0
46,40,-111.41597141550726,111.41597141550726,"64,68,75,98",N-4,4,312,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,17,35.27307152748108,1,0
47,41,-0.1,0.1,"25,44",common_bus_N-2,2,1115,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
48,42,-105.92354664157513,105.92354664157513,"4,10",common_bus_N-2,2,850,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,9,0.0,1,0
49,43,-112.30170128682128,112.30170128682128,"107,109",common_bus_N-2,2,757,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,16,48.927727699279785,1,0
50,44,-114.04240367762623,114.04240367762623,"9,11",common_bus_N-2,2,620,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,18,62.60085201263428,1,0
51,45,-0.1,0.1,"83,88",common_bus_N-2,2,1984,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
52,46,-133.09948175582704,133.09948175582704,"66,74",common_bus_N-2,2,652,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,43,162.84705877304077,1,0
53,47,-114.89245750130438,114.89245750130438,"77,84",common_bus_N-2,2,453,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,19,32.83828043937683,1,0
54,48,-109.618063027328,109.618063027328,"17,20,43",N-3,3,294,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,14,7.449727296829224,1,0
55,49,-108.71371787080268,108.71371787080268,"73,74,75,83",N-4,4,1915,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,14,27.238458931446075,1,0
56,50,-108.74059198678572,108.74059198678572,"117,120",common_bus_N-2,2,488,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,12,144.80310475826263,1,0
57,51,-133.7748276939241,133.7748276939241,"64,67,68,69",N-4,4,663,True,0.0,0,0.0,0.0,0.0,0.0,0.0,1,46,207.80811649560928,1,0
